homeTeamAbbrev,awayTeamAbbrev,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder,bestBets,bestBetReturn,bestBetPercent
AUB,NMSU,NCAAF,-2100.0,1100.0,26.0,-110.0,-110.0,48.5,-110.0,-110.0,30.33563595879318,27.79550249134452,Auburn Tigers,New Mexico State Aggies,19.353933643441778,17.179650870736694,2023.0,0.05994884456305771,0.9372470472546203,0.7889456902435119,0.21105430975643247,0.5740591726676445,0.4259408273323555,0.059699780842197465,0.0002490637208602517,0.7264613205564697,0.21078572669815046,0.44652125339142,0.10202464101883761,0.31387913771765186,0.08654841135726116,0.0,0.4857929416649336,0.0,0.0,0.38403688370437794,0.10175605796055562,-0.9741074264175787,0.0,0.2,0.1578579634972187,0.2,0.10123380900206819,-0.6567859495114918,0.0,-8.370698201311821,0.0,0.2,0.8222579855976533,-0.2964745445963641,0.0,0.2,0.32886384136511,-0.37844447274851084,0.0,-0.08815907379497437,0.0,-0.10695749321715997,0.0,0.2,1.2381942090222808,-0.7959507179623249,0.0,0.044857330177766004,0.04408686534853563,awayWinOver,1.2381942090222808,0.2
ARK,FIU,NCAAF,-4500.0,1700.0,29.0,-110.0,-110.0,50.0,-112.0,-108.0,29.32059000704764,13.653533289618515,Arkansas Razorbacks,Florida International Panthers,18.076995817275,18.6791624841991,2023.0,0.13660527521585386,0.8557042010365291,0.41231829214424975,0.5776143327892942,0.7801488041400306,0.21985119585996937,0.08064713958732743,0.053911988441271826,0.3288321841745709,0.5188507889828117,0.2301102799516536,0.5312743098273125,0.17353542333193703,0.03366266231307854,0.0,0.6251705491591896,0.0,0.0,0.14662417198197467,0.4725107660208299,-0.813128922046707,0.0,0.2,0.1267234222139475,-0.2458852206541905,0.0,0.12143781220173194,0.01365476132624364,-9.11315500955859,0.0,0.17396008973408522,0.5144559179449467,-0.2715953356665701,0.0,0.07167976431808465,0.013410150279136982,-0.2991059263194476,0.0,0.2,0.18187418069134942,-0.5977281287024824,0.0,0.14854405421587827,0.7297006629383651,0.048051948824541835,0.002239720092261298,0.0049624146835293426,0.0008291425880723276,awayWinOver,0.7297006629383651,0.14854405421587827
MISS,ULM,NCAAF,-50000.0,4000.0,37.5,-108.0,-112.0,62.5,-112.0,-108.0,42.4055612326471,12.190728320826317,Ole Miss Rebels,UL Monroe Warhawks,23.48995056993049,19.03213656482693,2023.0,0.2755197599596655,0.724480240040276,0.4203277302446628,0.5796722697552786,0.8795551544015773,0.12044484559842272,0.12719005692721952,0.1483297030324459,0.2931376733174433,0.43134256672283283,0.30526947501395757,0.5692107853404332,0.10778305730870724,0.007586894242470165,0.0,0.5989605003947253,0.0,0.0,0.17807941808673802,0.4208810823079873,-0.5069188992838958,0.0,0.2,0.07426751944381875,-0.2289052118813148,0.0,0.12571832109097958,0.014634348386976529,-59.34286764480978,0.0,0.09845596673838329,0.38774309545558544,-0.20217218574175427,0.0,0.019160027316452333,0.0009471351486593758,-0.16593977924340433,0.0,0.2,0.11488007370766798,-0.46665333052608965,0.0,0.0961368369368068,0.7080519453961683,0.10599657602907114,0.01044880494079459,-0.005142878791874754,0.0,awayWinOver,0.7080519453961683,0.0961368369368068
CLEM,UNC,NCAAF,-310.0,250.0,7.5,-110.0,-110.0,59.0,-110.0,-110.0,25.581204685134946,30.689973467495417,Clemson Tigers,North Carolina Tar Heels,22.648522149481533,11.31616346451197,2023.0,0.22503519803610333,0.7749648019638576,0.4034082126564463,0.5709612546541953,0.35883587102774506,0.6411641289722549,0.2197701975445386,0.0037679149137522247,0.18363801511190767,0.5671933397404432,0.30110717732283404,0.03269428096542095,0.08216547061970512,0.5239913407529374,0.0,0.11659507416676963,0.0,0.0,0.08133697977829542,0.028926366051668716,-0.627426084124183,0.0,0.2,0.09589565165892747,-0.25284275342146295,0.0,0.09901863477381018,0.008913354574972018,-1.6287729287862454,0.0,0.2,0.24881489028057846,-0.07577139429465127,0.0,-0.12559000946691515,0.0,-0.37359272337649313,0.0,0.2,0.2129167513310426,-0.15869073233319625,0.0,-0.07942511553879751,0.0,-0.6036910605046969,0.0,0.2,0.5000524312459244,awayWinUnder,0.5000524312459244,0.2
LSU,GAST,NCAAF,-20000.0,3500.0,32.0,-110.0,-110.0,74.0,-108.0,-112.0,51.05077881212152,23.52307943502108,LSU Tigers,Georgia State Panthers,18.62047857124575,21.771030700859757,2023.0,0.3655953262243866,0.591544201977392,0.5156637667244189,0.4760737116470156,0.908747159793241,0.09125284020675895,0.10158389492613051,0.2612675776643206,0.4013395619333331,0.18511768966993414,0.41888718754130855,0.4758972445922708,0.08537776059190287,0.00012557651123910944,0.0,0.4945580866585172,0.0,0.0,0.30456298275022264,0.18494122261518928,-0.33224981492878813,0.0,0.14224282415252315,0.018393655475350573,-0.0074193652132086285,0.0,-0.11072373130832691,0.0,-17.341820881558547,0.0,0.06528863564123777,0.1491912080363006,-0.23364599502680583,0.0,0.1779588014606962,0.08487381784643766,-0.021771664609886054,0.0,-0.12709775490097236,0.0,-0.1993179320955974,0.0,0.07199239194843592,0.3541478643795819,-0.10643915030520612,0.0,-0.014766803939889293,0.0,awayWinOver,0.3541478643795819,0.07199239194843592
UTAH,PHX,NBA,550.0,-920.0,-8.5,-130.0,100.0,258.5,-110.0,-120.0,108.03987719907396,126.20044145295826,Utah Jazz,Phoenix Suns,14.228652271193692,16.021576360986113,2024.0,0.4820640077289508,0.5179359922708314,0.2632769363776435,0.7367230636221389,0.3829009704872665,0.6170990295127334,0.17434156384116326,0.3077224438877876,0.08893537253648026,0.4290006197343512,0.1440093361073505,0.23242023769988812,0.11445545595202346,0.49617217688046444,0.09269164056165648,0.0,0.02552008341554321,0.06717155714611325,0.0,0.0,-0.19125278222341308,0.0,0.03587198454166285,0.0012867992749572984,-0.5471184336069487,0.0,0.2,0.0701317899947843,0.2,0.29777126163344647,-2.9055898989701188,0.0,-0.17257374546927237,0.0,-0.2341371903938459,0.0,-0.001330036519450073,0.0,0.2,0.1148864548850138,0.0689882437416494,0.05430450040769798,-0.6762093155193841,0.0,0.16212905067606836,0.2870412534785047,0.007018950550818304,5.0743636839878844e-05,homeWin,0.29777126163344647,0.2
ISU,TEX,NCAAF,235.0,-290.0,-7.5,-112.0,-108.0,46.0,-110.0,-110.0,20.622512247075367,35.46638516900654,Iowa State Cyclones,Texas Longhorns,15.02035655738941,13.10004240875239,2023.0,0.25126701238758387,0.7487329876123826,0.8878640828418517,0.10385025791704712,0.10713580463094527,0.8928641953690547,0.24988424144254057,0.0011850818139068423,0.6379798413993112,0.1026651761031403,0.09723134389526052,9.230076437615597e-06,0.7708579520943423,0.10383659195615544,0.13423854437624264,0.0,0.13287811069503094,0.0011714158530151584,0.0,0.0,-0.5873139337383222,0.0,0.2,0.08840085448773256,0.2,0.1390026498123434,-0.881914458374201,0.0,-0.2728064061643971,0.0,0.2,0.04014968013374576,-0.03751643233426383,0.0,0.2,0.26955316326989304,-0.38150262630337023,0.0,-0.23216125072404614,0.0,-0.0699480368648764,0.0,0.2,0.19622098737649196,-0.1851742458353332,0.0,-0.4669681265431086,0.0,awayCoverOver,0.26955316326989304,0.2
GASO,ODU,NCAAF,-225.0,185.0,5.5,-108.0,-112.0,62.0,-112.0,-108.0,24.8382627893121,28.962519324516663,Georgia Southern Eagles,Old Dominion Monarchs,15.97393710600698,17.913371790059205,2023.0,0.2268759769194461,0.7731240230805031,0.28885335685241453,0.6723981276319707,0.37116580323743315,0.6288341967625668,0.08242597996775994,0.13334078057614623,0.20642737688465457,0.5390573470558244,0.10735465588998329,0.22567684252506506,0.17443493127470774,0.406195821688531,0.0,0.1175252431133399,0.0,0.0,0.02492867592222339,0.09233606194891886,-0.608097968007552,0.0,0.2,0.09268266588047616,-0.5076308834728811,0.0,0.2,0.05899779731009245,-1.0437111394783423,0.0,0.2,0.1584354921546631,-0.26382836721421743,0.0,-0.10115891114454911,0.0,-0.18645966939575553,0.0,0.2,0.19351186335075182,-0.408625311803668,0.0,-0.01362089303629277,0.0,-0.2093361672923141,0.0,0.2,0.2460030122140071,awayWinUnder,0.2460030122140071,0.2
MIZ,FLA,NCAAF,-425.0,330.0,11.0,-112.0,-108.0,57.0,-112.0,-108.0,46.60143431560971,17.979550813006725,Missouri Tigers,Florida Gators,17.178798302300166,17.348070658017146,2023.0,0.8468502127633066,0.13875158802123708,0.7704734689683179,0.2169890190615374,0.9326655659557224,0.06733443404427764,0.6178380655721847,0.21664262293392858,0.13843700479856205,0.0002533276688058048,0.6988732257199592,0.2169865608865175,0.06306467911586304,6.653267368853619e-07,0.0,0.06714847548661255,0.0,0.0,0.06683676155020299,0.0002508694937858932,0.2,0.12059329483182323,-0.7913966969158268,0.0,0.2,0.09167924182372036,-0.6286628403520023,0.0,0.2,0.030423257471413792,-0.215291495033214,0.0,0.2,0.24237205494968422,-0.186681106598207,0.0,-0.0789639344494946,0.0,-0.3686568835235168,0.0,0.2,0.12707266963694092,-0.06815875518163515,0.0,-0.35041448194933944,0.0,-0.13736188064486518,0.0,homeCoverOver,0.24237205494968422,0.2
FRES,UNM,NCAAF,-2100.0,1000.0,23.0,-108.0,-112.0,59.0,-110.0,-110.0,51.885651735942176,20.510837261808565,Fresno State Bulldogs,New Mexico Lobos,17.957975634488673,19.559027469574133,2023.0,0.710106915872529,0.28257312462161954,0.8736834667916434,0.09361923697203149,0.9355858552503695,0.06441414474963048,0.5858053731719338,0.09195873692727959,0.28089279385658267,0.0013891358344076928,0.805048271933344,0.09361923298110512,0.06019308359357804,1.9626798586276254e-09,0.0,0.21393792322554772,0.0,0.0,0.2122575989982831,0.001389131843481334,0.2,0.07352266389164082,-0.5209449758021665,0.0,0.2,0.13358823277499116,-0.903399602358734,0.0,-0.41711118449187046,0.0,-0.029144440775406483,0.0,0.2,0.2311527546545433,0.005372791502782914,7.534257906950183e-05,-0.24686262989089963,0.0,-0.38122039066581925,0.0,0.2,0.12201930877333762,0.013202737773256944,0.003486245694187715,-0.8127615340377898,0.0,-0.04999999793918614,0.0,homeCoverOver,0.2311527546545433,0.2
