homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LA,Los Angeles Kings,17 - 10,0.6296296296296297,0.8709677419354839,3.501341924751061,2.299733344066143,1.2016085806849182,0.1580848528871954,0.007133950277851248,8.0,4.0,2.0,1.0,4.988687333175123,1.0
NYR,New York Rangers,21 - 8,0.7241379310344828,0.967741935483871,3.695163088648779,2.283331535007135,1.411831553641644,0.0904353708534788,-0.003402865430748463,16.0,1.0,1.0,6.0,4.796666918111758,2.0
VGK,Vegas Golden Knights,21 - 11,0.65625,0.9032258064516129,3.3719793556095143,2.4506012895517757,0.9213780660577386,0.1013020574607878,-0.025288298533510757,31.0,2.5,3.0,3.0,4.0326988879652905,3.0
BOS,Boston Bruins,19 - 10,0.6551724137931034,0.7419354838709677,3.177413766904654,2.548392684708249,0.6290210821964051,0.1389738216167715,-0.020641624529596753,30.0,7.5,7.0,2.0,3.503347051034848,4.0
DAL,Dallas Stars,18 - 12,0.6,0.8064516129032258,3.629275430754278,2.72018693483712,0.9090884959171577,0.0713322813699772,0.0036954188792823633,12.0,5.5,4.0,7.0,3.2844018843151974,5.0
COL,Colorado Avalanche,19 - 12,0.6129032258064516,0.8064516129032258,3.4218769871634076,2.599628389180678,0.8222485979827296,0.0670229069978896,-0.020232412649826108,29.0,5.5,6.0,8.0,3.11486032896818,6.0
VAN,Vancouver Canucks,21 - 11,0.65625,0.6451612903225806,3.634399646892056,2.7795788477316,0.8548207991604562,0.0909722896293567,-0.034476112524269645,32.0,12.0,5.0,5.0,2.851317090021575,7.0
TOR,Toronto Maple Leafs,16 - 12,0.5714285714285714,0.9032258064516129,3.3296825908354744,2.826231387659149,0.5034512031763252,0.0103942887025327,-0.008716353219151077,19.0,2.5,9.0,15.0,2.3502799248346857,8.0
WPG,Winnipeg Jets,18 - 12,0.6,0.5806451612903226,2.9868042509508546,2.540077469479253,0.4467267814716016,0.0917772115812534,-0.0006813628327289092,14.0,14.0,10.0,4.0,2.073425530897456,9.0
NJ,New Jersey Devils,16 - 13,0.5517241379310345,0.7096774193548387,3.422694934395862,2.846122269905213,0.5765726644906488,0.0258612817341391,-0.016308446213966137,25.0,9.0,8.0,11.0,1.9157257948311326,10.0
PHI,Philadelphia Flyers,17 - 13,0.5666666666666667,0.6774193548387096,2.96599332157817,2.630780871970217,0.33521244960795293,0.0382112956703086,0.0038049377729953934,11.0,10.0,12.0,10.0,1.6243323388770203,11.0
FLA,Florida Panthers,18 - 13,0.5806451612903226,0.6451612903225806,2.913455032427467,2.489770774024146,0.4236842584033207,0.0253610261928316,-0.014844238474489202,24.0,12.0,11.0,13.0,1.4635792015476237,12.0
OTT,Ottawa Senators,11 - 15,0.4230769230769231,0.7419354838709677,3.2992058136487175,2.974987734738379,0.3242180789103384,-0.0613097864906095,0.00998075700469456,5.0,7.5,13.0,25.0,0.6218263830917019,13.0
EDM,Edmonton Oilers,13 - 15,0.4642857142857143,0.6451612903225806,3.1041774943017884,2.788295623977782,0.3158818703240063,-0.050153140697402,-0.0017858925062680772,15.0,12.0,14.0,23.0,0.3866784451724007,14.0
NYI,New York Islanders,14 - 16,0.4666666666666667,0.3870967741935484,3.0127878511826207,3.1162444068818953,-0.10345655569927459,0.0565166911682821,-0.01155657571871711,21.0,20.5,17.0,9.0,0.1775068008972991,15.0
PIT,Pittsburgh Penguins,14 - 16,0.4666666666666667,0.5161290322580645,3.003718898254721,3.1790768006700096,-0.1753579024152887,0.0061793840917178,-0.01718217961523864,26.0,15.0,19.0,16.0,-0.05807051184397717,16.0
NSH,Nashville Predators,18 - 13,0.5806451612903226,0.41935483870967744,2.913231456631473,2.936230908959925,-0.022999452328451575,0.0183234562919999,-0.019275784241620495,28.0,17.5,16.0,14.0,-0.06576572043559414,17.0
DET,Detroit Red Wings,15 - 16,0.4838709677419355,0.3548387096774194,3.1334736152549665,3.291257567540733,-0.15778395228576647,0.0254971111933124,-0.011785148349037069,22.0,23.0,18.0,12.0,-0.3988991544872696,18.0
CAR,Carolina Hurricanes,16 - 15,0.5161290322580645,0.3870967741935484,3.141761604404384,3.041034094520347,0.10072750988403723,-0.0394692531856053,-0.011547413097078464,20.0,20.5,15.0,21.0,-0.7342683864861683,19.0
TB,Tampa Bay Lightning,14 - 18,0.4375,0.45161290322580644,3.03813056085431,3.289826428393002,-0.2516958675386922,-0.0318681692091939,-0.01807762399501616,27.0,16.0,20.0,20.0,-0.8713297274950127,20.0
ARI,Arizona Coyotes,15 - 15,0.5,0.3870967741935484,2.82464411792732,3.105463408954401,-0.2808192910270808,-0.0092740735474142,0.006644311965248286,9.0,20.5,21.0,17.0,-0.8725035915452699,21.0
CGY,Calgary Flames,13 - 19,0.40625,0.3870967741935484,2.6121923067855355,2.898560381386507,-0.2863680746009716,-0.0812495302468536,0.010635199559872069,3.0,20.5,22.0,28.0,-1.7687318938974297,22.0
STL,St. Louis Blues,15 - 15,0.5,0.22580645161290322,2.776801468248234,3.190940467235637,-0.41413899898740336,-0.0307886230917548,-0.005556862950370836,18.0,26.5,24.0,19.0,-1.919683695807604,23.0
MTL,Montreal Canadiens,14 - 17,0.4516129032258064,0.41935483870967744,2.7258358807720056,3.129002828905414,-0.40316694813340836,-0.117051867397415,0.010138206877907922,4.0,17.5,23.0,30.0,-2.2467155182603085,24.0
