homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LA,Los Angeles Kings,0.9354838709677419,3.5178357820417587,2.1380781964528652,1.3797575855888935,1.1711931346683269,1.0099143164076152,9.0,2.0,2.0,1.0,5.330293987772203,1.0
NYR,New York Rangers,1.0,3.6648868916202226,2.1523174094550463,1.5125694821651763,1.096525019783176,0.9993776560281183,16.0,1.0,1.0,5.0,4.815425535345602,2.0
BOS,Boston Bruins,0.7741935483870968,3.1982605201824224,2.3393738884197277,0.8588866317626946,1.1507975855872672,0.9826722242645854,30.0,6.5,7.0,2.0,3.867993518725319,3.0
VGK,Vegas Golden Knights,0.8709677419354839,3.333529196260113,2.343890158578597,0.9896390376815161,1.1061835752052054,0.9794388337718513,31.0,3.5,3.0,3.0,3.832766480863337,4.0
COL,Colorado Avalanche,0.8064516129032258,3.395643289970141,2.4591954197072785,0.9364478702628625,1.0711335390118888,0.9833492092438512,29.0,5.0,5.0,8.0,3.108897562848107,5.0
DAL,Dallas Stars,0.7741935483870968,3.5741273370093483,2.6355500823454903,0.938577254663858,1.0777448185492495,1.006364843653415,11.0,6.5,4.0,7.0,3.0756001839743097,6.0
VAN,Vancouver Canucks,0.6451612903225806,3.576184181032615,2.665751302838353,0.9104328781942623,1.0983547271035294,0.9680014934304573,32.0,12.0,6.0,4.0,2.82688336854676,7.0
WPG,Winnipeg Jets,0.7419354838709677,2.945367017563324,2.3879663157700093,0.5574007017933149,1.095903858509782,1.0027615624942636,14.0,8.0,9.0,6.0,2.717532954531965,8.0
TOR,Toronto Maple Leafs,0.8709677419354839,3.3571122395167516,2.8310598034940013,0.5260524360227503,1.0093737298890073,0.9955615169701232,19.0,3.5,10.0,15.0,2.09170428970949,9.0
NJ,New Jersey Devils,0.6774193548387096,3.4330646533747937,2.803494486410153,0.6295701669646405,1.0272518462867284,0.9869053301375051,25.0,10.5,8.0,11.0,1.7368731351937465,10.0
PHI,Philadelphia Flyers,0.7096774193548387,2.9100820049321006,2.579165306895857,0.3309166980362437,1.0392667356470966,1.0065764078879589,10.0,9.0,12.0,10.0,1.636902841416605,11.0
FLA,Florida Panthers,0.6774193548387096,2.8853545253735424,2.4426024638737696,0.44275206149977286,1.0267898694435162,0.989173203753112,24.0,10.5,11.0,13.0,1.5044601217502156,12.0
NYI,New York Islanders,0.4838709677419355,3.0149713719246365,3.0280393807635355,-0.013068008838899026,1.0594112439573642,0.9914487677848436,21.0,16.0,16.0,9.0,0.6500558004482878,13.0
PIT,Pittsburgh Penguins,0.5483870967741935,2.9960908140609543,3.106059723573454,-0.10996890951249982,1.0062550905892715,0.9853454237457129,26.0,15.0,18.0,16.0,0.11814945322655193,14.0
NSH,Nashville Predators,0.45161290322580644,2.911820492575219,2.932265528930157,-0.020445036354938217,1.0160668179044177,0.9840226680339195,28.0,17.5,17.0,14.0,-0.0027994390530463598,15.0
OTT,Ottawa Senators,0.6129032258064516,3.3001339681742996,3.0278230210730124,0.2723109471012872,0.9381891286694432,1.0123764041827683,6.0,13.0,13.0,25.0,-0.01351850496366791,16.0
EDM,Edmonton Oilers,0.5806451612903226,3.091366311154044,2.8279885275556333,0.2633777835984108,0.94857505865065,1.0014472934712892,15.0,14.0,14.0,23.0,-0.014303641097009656,17.0
DET,Detroit Red Wings,0.41935483870967744,3.0782345222035796,3.2766041874738394,-0.1983696652702598,1.0272459921448909,0.9917056441900164,20.0,20.0,19.0,12.0,-0.1990792502257432,18.0
CAR,Carolina Hurricanes,0.45161290322580644,3.187896598447167,3.0862969499399298,0.10159964850723746,0.959748274832569,0.9908723950099245,22.0,17.5,15.0,21.0,-0.5401020878269397,19.0
ARI,Arizona Coyotes,0.41935483870967744,2.8148053147209406,3.11530221216078,-0.3004968974398392,0.9905488076154152,1.0108955118271783,7.0,20.0,21.0,17.0,-0.7697041474728739,20.0
TB,Tampa Bay Lightning,0.41935483870967744,3.053704410625488,3.301134299051932,-0.24742988842644387,0.9669384359209994,0.9845203934704004,27.0,20.0,20.0,20.0,-0.9926476955418599,21.0
STL,St. Louis Blues,0.2903225806451613,2.7682990652448476,3.1886901820669804,-0.4203911168221328,0.970920664083774,0.9978543924486389,18.0,24.0,23.0,19.0,-1.619544457890462,22.0
CBJ,Columbus Blue Jackets,0.25806451612903225,2.8023692576957115,3.444942570261278,-0.6425733125655664,0.958677262496124,1.0108795800602914,8.0,25.5,26.0,22.0,-2.154630544930532,23.0
CGY,Calgary Flames,0.22580645161290322,2.6168383126018604,3.0229466336346986,-0.4061083210328382,0.9238546159569871,1.0132633413743,4.0,27.0,22.0,27.0,-2.407750947414901,24.0
BUF,Buffalo Sabres,0.16129032258064516,2.746955301669868,3.27992641876024,-0.5329711170903719,0.945127913609954,1.012392052025709,5.0,28.0,24.0,24.0,-2.535535816107466,25.0
MIN,Minnesota Wild,0.3225806451612903,2.6796179950110743,3.702102435096452,-1.0224844400853779,0.9287085246297913,1.0055019281959752,13.0,23.0,29.0,26.0,-2.747883714803641,26.0
SEA,Seattle Kraken,0.3870967741935484,2.768451571864043,3.935849503404774,-1.167397931540731,0.9231205883412412,0.9985815245542056,17.0,22.0,30.0,28.0,-2.759116566812529,27.0
MTL,Montreal Canadiens,0.25806451612903225,2.7460074287698153,3.280874291660292,-0.5348668628904769,0.8907409120602734,1.0138902132607255,3.0,25.5,25.0,29.0,-2.8507411317898055,28.0
WSH,Washington Capitals,0.0,2.480725361137876,3.1913176496148123,-0.7105922884769362,0.9763826230101814,0.9902276503596454,23.0,32.0,27.0,18.0,-2.952501758637627,29.0
ANA,Anaheim Ducks,0.12903225806451613,2.6150991868088953,3.5246857594276637,-0.9095865726187684,0.8846832739781452,1.0294423689592824,2.0,29.0,28.0,30.0,-3.8447617135934786,30.0
SJ,San Jose Sharks,0.03225806451612903,2.6054356985039187,4.28166107568963,-1.6762253771857116,0.8582575197729166,1.0298959043925895,1.0,31.0,31.0,31.0,-5.446111388225346,31.0
CHI,Chicago Blackhawks,0.06451612903225806,2.2738153994340036,4.011130837125136,-1.7373154376911324,0.8534195881561071,1.0063323987482495,12.0,30.0,32.0,32.0,-5.4628064279655835,32.0
