homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LA,Los Angeles Kings,0.9354838709677419,3.510756869115021,2.145157109379603,1.3655997597354181,1.1715274368349704,1.0099016912177616,9.0,2.0,2.0,1.0,5.3275060785506545,1.0
NYR,New York Rangers,1.0,3.6614648317633423,2.1557394693119263,1.505725362451416,1.0963339372416163,0.9993935493274615,16.0,1.0,1.0,5.0,4.815700138820148,2.0
BOS,Boston Bruins,0.7741935483870968,3.1925508981363087,2.345083510465842,0.8474673876704668,1.150742048815425,0.9826968760737637,30.0,6.5,7.0,2.0,3.860054482716961,3.0
VGK,Vegas Golden Knights,0.8709677419354839,3.329624497157164,2.347794857681546,0.9818296394756176,1.1060668459720295,0.9822444229149007,31.0,3.5,3.0,3.0,3.829033525479355,4.0
COL,Colorado Avalanche,0.8064516129032258,3.3930908346403506,2.4671242191230904,0.9259666155172601,1.071012462111209,0.9871910146813779,25.0,5.0,5.0,8.0,3.101466050852515,5.0
DAL,Dallas Stars,0.7741935483870968,3.5715523877574156,2.6381250315974234,0.9334273561599922,1.077469902350278,1.0063407558464303,11.0,6.5,4.0,7.0,3.0729586492077465,6.0
VAN,Vancouver Canucks,0.6451612903225806,3.572373431800138,2.66956205207083,0.9028113797293082,1.0983754059061148,0.9679757502804738,32.0,12.0,6.0,4.0,2.8250945276062884,7.0
WPG,Winnipeg Jets,0.7419354838709677,2.9417530301929395,2.3915803031403935,0.550172727052546,1.095856266409546,1.0027675750333531,14.0,8.0,9.0,6.0,2.7122543765890477,8.0
TOR,Toronto Maple Leafs,0.8709677419354839,3.3566351850251555,2.8315368579855975,0.5250983270395579,1.0094493563212763,0.9972306850626399,19.0,3.5,10.0,15.0,2.0945451398513697,9.0
NJ,New Jersey Devils,0.6774193548387096,3.4373094204829284,2.8046260633880395,0.6326833570948889,1.0273062678056992,0.9869119738684283,26.0,10.5,8.0,11.0,1.7459435007164181,10.0
PHI,Philadelphia Flyers,0.7096774193548387,2.908482661982604,2.5807646498453525,0.3277180121372516,1.0393254584232057,1.0066013138641907,10.0,9.0,12.0,10.0,1.6358765691378117,11.0
FLA,Florida Panthers,0.6774193548387096,2.8842730035246245,2.4436839857226875,0.44058901780193693,1.0268227995718238,0.9891906765353171,24.0,10.5,11.0,13.0,1.5053250420696205,12.0
NYI,New York Islanders,0.4838709677419355,3.0075333966100537,3.0354773560781187,-0.02794395946806505,1.059263061776972,0.9914787899594208,21.0,16.0,17.0,9.0,0.6302909725985941,13.0
