homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LA,Los Angeles Kings,0.8709677419354839,3.4935759029600013,2.3021230217711817,1.1914528811888196,0.1584668351200033,0.007158139893534563,8.0,4.0,2.0,1.0,4.9545039354353015,1.0
NYR,New York Rangers,0.967741935483871,3.687250369338431,2.2912442543174825,1.3960061150209486,0.0920602030851482,8.468650239230371e-05,14.0,1.0,1.0,4.0,4.774477378460901,2.0
VGK,Vegas Golden Knights,0.9032258064516129,3.3609433260463284,2.450884630942919,0.9100586951034093,0.1004779390352374,-0.02180590193925766,31.0,3.0,4.0,3.0,3.987270198562398,3.0
BOS,Boston Bruins,0.7419354838709677,3.1824085704906415,2.554150569294305,0.6282580011963366,0.1403100696433673,-0.02073221440303878,30.0,7.5,7.0,2.0,3.498782821930854,4.0
DAL,Dallas Stars,0.8064516129032258,3.640883164026929,2.724708233822534,0.9161749302043951,0.0734499637467515,0.0037419320523918334,12.0,5.5,3.0,7.0,3.3050310164790244,5.0
COL,Colorado Avalanche,0.8064516129032258,3.4208428924217467,2.606038828008361,0.8148040644133858,0.0679389969826058,-0.020538685279797523,29.0,5.5,6.0,8.0,3.1017936970773694,6.0
VAN,Vancouver Canucks,0.6451612903225806,3.640411014981273,2.778943823728404,0.8614671912528689,0.0915438506978708,-0.03510863423590767,32.0,11.5,5.0,6.0,2.8543877783147824,7.0
TOR,Toronto Maple Leafs,0.9354838709677419,3.33708472886926,2.8295819377974065,0.5075027910718535,0.0079938870257062,-0.006107347683860094,19.0,2.0,9.0,15.0,2.4353075811349894,8.0
WPG,Winnipeg Jets,0.5806451612903226,2.983249471592287,2.527503216579756,0.45574625501253063,0.0919600589146887,-0.0007427369302490957,15.0,14.0,10.0,5.0,2.0766071264693524,9.0
NJ,New Jersey Devils,0.7096774193548387,3.423108912202328,2.8510846361847686,0.5720242760175593,0.0259293638605658,-0.016021787816068677,25.0,9.0,8.0,12.0,1.9027794086712044,10.0
PHI,Philadelphia Flyers,0.6451612903225806,2.968673365984066,2.6334771716503425,0.3351961943337236,0.0376328662457568,0.003816080655600048,10.0,11.5,13.0,10.0,1.4893981894314412,11.0
FLA,Florida Panthers,0.6451612903225806,2.9129186295117075,2.4849308328538844,0.42798779665782316,0.0257417361198294,-0.015152269103153553,24.0,11.5,11.0,13.0,1.4680111969979597,12.0
OTT,Ottawa Senators,0.7419354838709677,3.306421516313919,2.9623956879871565,0.34402582832676254,-0.0624900258389967,0.0102659575723864,4.0,7.5,12.0,25.0,0.6343405190704369,13.0
EDM,Edmonton Oilers,0.6451612903225806,3.1092146273000885,2.788634835065503,0.32057979223458544,-0.0523013041606544,-0.0019662482084260966,16.0,11.5,14.0,23.0,0.36833626581151246,14.0
NYI,New York Islanders,0.41935483870967744,3.01693774547268,3.112094512591836,-0.095156767119156,0.057403814025323,-0.011506863515818613,20.0,18.0,17.0,9.0,0.3166897136522206,15.0
PIT,Pittsburgh Penguins,0.5161290322580645,3.003938405949102,3.189609981147672,-0.1856715751985698,0.0061378602441744,-0.017416577314108447,26.0,15.0,19.0,16.0,-0.07300812037501589,16.0
NSH,Nashville Predators,0.41935483870967744,2.9124486044715447,2.9316374170338313,-0.01918881256228655,0.016930359099639,-0.019572421615004658,28.0,18.0,16.0,14.0,-0.07729368259854386,17.0
DET,Detroit Red Wings,0.3225806451612903,3.1289183443726385,3.285060150251017,-0.15614180587837856,0.0272197881551424,-0.011840539874501878,22.0,24.0,18.0,11.0,-0.494055768819442,18.0
CAR,Carolina Hurricanes,0.3870967741935484,3.1478190146563416,3.040353028354411,0.10746598630193072,-0.0400694458928787,-0.01169019518717813,21.0,21.0,15.0,21.0,-0.7256145243846558,19.0
TB,Tampa Bay Lightning,0.45161290322580644,3.0440592574476186,3.2892740758857144,-0.24521481843809578,-0.0323580356142367,-0.01840417065946843,27.0,16.0,20.0,20.0,-0.863825333029006,20.0
ARI,Arizona Coyotes,0.3870967741935484,2.81088072152979,3.108474117179887,-0.2975933956500967,-0.0083749424553268,0.006689132909194781,9.0,21.0,22.0,17.0,-0.8798226323079921,21.0
STL,St. Louis Blues,0.2903225806451613,2.791174186577669,3.1819440929922234,-0.3907699064145542,-0.0304987098948475,-0.005559922069847297,18.0,26.0,23.0,19.0,-1.6349541359242528,22.0
CGY,Calgary Flames,0.3870967741935484,2.6124155258564907,2.9037135064015738,-0.29129798054508305,-0.0802737320589485,0.010755070014322809,3.0,21.0,21.0,27.0,-1.7519900686613958,23.0
MTL,Montreal Canadiens,0.41935483870967744,2.729245321706235,3.130969732057206,-0.40172441035097073,-0.1174564410517853,0.010239011342411217,5.0,18.0,24.0,29.0,-2.2354611047301685,24.0
WSH,Washington Capitals,0.1935483870967742,2.4367786612339266,3.1599955323144604,-0.7232168710805338,-0.0252656524215369,-0.013034650173646087,23.0,27.0,27.0,18.0,-2.375421141711888,25.0
