MSST,MISS,probability
38,28,0.000632327
28,41,0.000631078
52,24,0.000629067
17,33,0.000628387
34,35,0.00062547
27,48,0.000624611
10,36,0.00062211
59,24,0.00061845
42,38,0.000618203
17,66,0.000616809
52,27,0.000615054
23,38,0.000614102
42,31,0.000614046
23,31,0.000609973
17,23,0.000608382
35,34,0.000607502
16,34,0.000604714
59,27,0.000604674
35,45,0.000602996
20,37,0.000601959
16,45,0.000600228
3,77,0.000599108
13,44,0.000598816
38,42,0.000596074
24,20,0.000595272
14,44,0.000594062
38,52,0.00059164
49,38,0.000589563
7,43,0.000588795
49,31,0.000585599
24,21,0.000585468
28,35,0.000584005
21,49,0.000577572
6,63,0.000577029
52,41,0.000567471
41,24,0.000565482
66,34,0.00056353
7,69,0.000563444
10,70,0.000561576
66,45,0.00055935
59,41,0.000557894
45,28,0.000556024
81,34,0.000554064
41,27,0.000552885
24,56,0.000550918
31,49,0.000550885
81,45,0.000549954
3,81,0.000549407
56,38,0.000547972
77,38,0.000544849
56,31,0.000544288
27,49,0.000542408
77,31,0.000541185
17,63,0.000540304
73,34,0.000538131
34,28,0.00053454
35,24,0.000534344
73,45,0.000534139
20,20,0.000533568
16,24,0.000531891
52,35,0.000525143
20,21,0.00052478
45,42,0.000524146
30,38,0.000523718
6,40,0.000523438
35,27,0.000522441
45,52,0.000520246
30,31,0.000520197
16,27,0.000520043
7,47,0.000517375
13,17,0.000516588
59,35,0.00051628
9,34,0.000516082
38,48,0.000515446
24,55,0.000514154
7,25,0.000513763
10,43,0.00051325
14,17,0.000512486
9,45,0.000512254
48,34,0.000512098
41,41,0.000510112
48,45,0.0005083
21,30,0.000508174
34,42,0.000503894
34,52,0.000500145
63,38,0.000499776
28,28,0.000499103
63,31,0.000496415
66,24,0.000495667
13,33,0.000493963
20,56,0.000493812
10,69,0.000491152
17,40,0.000490124
14,33,0.000490041
21,59,0.000487685
42,34,0.000487679
81,24,0.000487341
13,66,0.000484863
31,30,0.000484694
66,27,0.000484626
23,34,0.000484444
42,45,0.000484061
35,41,0.000482023
3,54,0.00048191
14,66,0.000481013
23,45,0.00048085
55,38,0.000480739
16,41,0.00047981
13,23,0.000478238
55,31,0.000477507
27,30,0.000477235
81,27,0.000476485
14,23,0.000474441
73,24,0.000473326
41,35,0.000472062
7,77,0.000470843
28,42,0.000470488
28,52,0.000466988
6,32,0.000465355
31,59,0.000465151
49,34,0.000465086
3,22,0.000463249
73,27,0.000462783
49,45,0.000461636
20,55,0.000460859
3,50,0.000458681
27,59,0.000457993
9,24,0.000453933
45,48,0.000453247
10,47,0.000450994
48,24,0.000450429
52,28,0.000448798
10,25,0.000447845
38,49,0.00044761
66,41,0.000447133
35,35,0.000446068
21,37,0.000444711
16,35,0.000444021
9,27,0.000443821
59,28,0.000441224
48,27,0.000440395
81,41,0.000439622
6,62,0.000439203
24,44,0.000438864
17,32,0.000435737
34,48,0.000435734
3,46,0.000435383
56,34,0.000432277
7,81,0.000431782
3,58,0.000431349
77,34,0.000429813
56,45,0.00042907
42,24,0.00042895
73,41,0.00042698
77,45,0.000426624
23,24,0.000426105
13,63,0.000424723
31,37,0.000424163
52,42,0.000423068
14,63,0.000421351
52,52,0.00041992
42,27,0.000419395
70,38,0.000419087
27,37,0.000417635
23,27,0.000416613
70,31,0.000416269
59,42,0.000415928
66,35,0.000413781
30,34,0.000413143
59,52,0.000412834
17,62,0.00041125
10,77,0.000410432
30,45,0.000410079
9,41,0.000409485
49,24,0.000409078
28,48,0.000406848
81,35,0.000406831
48,41,0.000406325
41,28,0.000403434
6,39,0.000401123
49,27,0.000399966
73,35,0.000395131
63,34,0.000394256
21,20,0.000394186
38,30,0.000393827
45,49,0.000393596
20,44,0.000393373
63,45,0.000391332
6,26,0.000391087
21,21,0.000387694
42,41,0.000386949
13,40,0.000385278
23,41,0.000384382
14,40,0.000382219
35,28,0.00038122
41,42,0.000380305
56,24,0.00038022
16,28,0.00037947
55,34,0.000379238
9,35,0.000378941
7,54,0.000378736
24,17,0.0003786
34,49,0.000378388
77,24,0.000378052
38,59,0.000377948
41,52,0.000377475
55,45,0.000376426
10,81,0.000376383
48,35,0.000376016
31,20,0.000375972
17,39,0.000375593
56,27,0.00037175
27,20,0.000370186
31,21,0.00036978
77,27,0.000369631
49,41,0.000369023
3,53,0.000366936
17,26,0.000366196
52,48,0.000365841
21,56,0.000364815
27,21,0.00036409
7,22,0.00036407
30,24,0.000363391
24,33,0.000362019
6,29,0.000361662
6,73,0.000360611
7,50,0.00036048
59,48,0.000359667
35,42,0.000359363
42,35,0.000358086
16,42,0.000357714
35,52,0.00035669
23,35,0.000355711
24,66,0.000355349
30,27,0.000355296
16,52,0.000355053
62,38,0.000353746
66,28,0.000353626
28,49,0.000353303
62,31,0.000351368
6,51,0.000350904
24,23,0.000350494
31,56,0.000347959
81,28,0.000347686
63,24,0.000346778
37,38,0.000346739
45,30,0.000346304
38,37,0.000344644
37,31,0.000344407
56,41,0.00034299
27,56,0.000342604
13,32,0.000342525
7,46,0.00034217
49,35,0.000341497
77,41,0.000341035
21,55,0.00034047
14,32,0.000339806
20,17,0.000339356
63,27,0.000339053
7,58,0.000338999
17,29,0.000338644
69,38,0.000338491
73,28,0.000337688
17,73,0.00033766
69,31,0.000336215
55,24,0.000333569
66,42,0.000333352
34,30,0.000332923
45,59,0.000332341
66,52,0.000330872
70,34,0.000330603
10,54,0.000330142
41,48,0.000328863
17,51,0.000328571
70,45,0.000328151
30,41,0.000327809
81,42,0.000327752
55,27,0.000326138
81,52,0.000325314
31,55,0.000324739
20,33,0.000324493
9,28,0.000323851
13,62,0.000323276
48,28,0.000321352
14,62,0.000320709
27,55,0.000319741
34,59,0.0003195
20,66,0.000318515
73,42,0.000318327
52,49,0.000317694
56,35,0.000317406
10,22,0.000317359
73,52,0.000315959
77,35,0.000315597
10,50,0.000314229
20,23,0.000314163
6,36,0.000312978
63,41,0.000312823
59,49,0.000312332
24,63,0.000311274
28,30,0.000310852
35,48,0.000310754
16,48,0.000309328
42,28,0.000306028
38,20,0.000305488
9,42,0.000305284
23,28,0.000303998
3,14,0.000303974
30,35,0.000303357
45,37,0.000303056
9,52,0.000303013
48,42,0.000302928
3,65,0.000301298
55,41,0.000300907
48,52,0.000300674
38,21,0.000300457
28,59,0.000298319
10,46,0.000298268
10,58,0.000295504
13,39,0.000295247
17,36,0.000293059
14,39,0.000292903
