homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
PUR,Purdue Boilermakers,0.9976851851851852,96.17975314596993,52.49414746282348,43.68560568314645,1.4413575916511034,1.182788307065416,1.0,1.0,2.0,1.0,7.191924979082941,1.0
HOU,Houston Cougars,0.9907407407407408,78.27160524504103,37.478884543600415,40.792720701440615,1.4369876927903382,1.0208000858966806,111.0,3.0,3.0,2.0,6.9251513351347285,2.0
CONN,UConn Huskies,0.9861111111111112,88.99016255406559,51.44955252612466,37.54061002794093,1.3913716606649076,1.057881539400114,54.0,5.0,5.0,4.0,6.393316454912899,3.0
ARIZ,Arizona Wildcats,0.9900462962962964,98.82348409347023,54.94881384961666,43.874670243853565,1.286605098040182,1.1378155588243373,3.0,4.0,1.0,21.0,6.255714997443633,4.0
ALA,Alabama Crimson Tide,0.9770833333333333,101.44473077034803,61.516006779966595,39.928723990381435,1.3320554679008043,1.1770333587118802,2.0,8.0,4.0,9.0,6.18659439264093,5.0
AUB,Auburn Tigers,0.9972222222222222,86.47661891931686,54.85314696524012,31.62347195407674,1.404576154919257,1.014427659947737,125.0,2.0,11.0,3.0,6.067857703443697,6.0
CREI,Creighton Bluejays,0.9775462962962963,87.92834742161388,53.8172420981685,34.11110532344538,1.3762589488230594,1.0605619213540454,51.0,7.0,6.0,5.0,6.016611427774928,7.0
FAU,Florida Atlantic Owls,0.9668981481481481,85.67865458317225,52.57372544180878,33.10492914136346,1.3322161719176888,1.103758393068803,14.0,12.0,8.0,8.0,5.641357265128647,8.0
OSU,Ohio State Buckeyes,0.9719907407407408,81.76959356475258,50.72808838198879,31.041505182763792,1.3369660859574282,1.033892724256723,87.0,9.0,12.0,7.0,5.532965056089722,9.0
UK,Kentucky Wildcats,0.9643518518518519,92.76792977993111,61.85132818918562,30.916601590745486,1.310621714518389,1.0588224933053396,53.0,13.0,13.0,13.0,5.339791493428219,10.0
TENN,Tennessee Volunteers,0.969212962962963,83.16565147099895,51.29046157065594,31.87518990034301,1.289775892550144,1.1310783382751104,5.0,11.0,9.0,17.0,5.304006807156727,11.0
