oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Golden State Warriors,Boston Celtics,DraftKings,113.75,119.25,NBA,185.0,-225.0,-5.5,-108.0,-112.0,233.0,-110.0,-108.0,GS,BOS,110.11122436546475,115.85600026909879,Golden State Warriors,Boston Celtics,11.807319455889145,11.680318054847108,114.16710875331566,116.07448275862068,2024.0,0.4941399999999999,0.505763,0.32543,0.652545,0.3647785,0.6352215,0.16196000000000002,0.320978,0.16347,0.33156700000000006,0.11623700000000001,0.229158,0.20149299999999998,0.408388,0.11801199999999999,0.0,0.038023,0.076821,0.0,0.0,-0.052188800000000146,0.0,-0.04778244000000009,0.0,-0.416597,0.0,0.2772936000000001,0.07119605611200004,0.021415527027027037,0.000848455876013851,-0.1855301250000001,0.0,-0.15074149253731342,0.0,-0.1570395785440613,0.0,0.0704163763837638,0.013437443030783898,0.07932813207547179,0.016676324227246256,-0.08280872072072068,0.0,-0.25220415909090915,0.0,0.05747826726057906,0.01483384292068071,0.07602170786516849,0.010287154118791898
Milwaukee Bucks,San Antonio Spurs,DraftKings,133.0,116.5,NBA,-1450.0,850.0,16.5,-110.0,-110.0,249.5,-112.0,-108.0,MIL,SA,126.62529183375673,112.7766015586156,Milwaukee Bucks,San Antonio Spurs,11.477255875384868,11.667098527166829,122.75331564986736,108.93103448275862,2024.0,0.43576499999999996,0.5641079999999999,0.26874899999999996,0.7311240000000001,0.8011865,0.19881349999999998,0.114403,0.321362,0.15434599999999998,0.409762,0.21133500000000002,0.581292,0.052619000000000006,0.137508,0.0,0.356862,0.0,0.0,0.09693199999999999,0.25993,-0.18489350000000015,0.0,0.08462679999999989,0.006510632071127263,-0.5502521200000001,0.0,0.4407379200000002,0.17986103159808026,-2.0816092499999996,0.0,0.10455626470588232,0.09292210615859553,-0.22490619540229886,0.0,-0.16965936398467435,0.0,0.06813886567164174,0.012442985440248341,0.18952394029850747,0.09626378817600958,-0.5618659803921567,0.0,-0.0031749340400471088,0.0,0.18628445283018874,0.03678401120821738,0.08765297109826589,0.13291664982271445
New Orleans Pelicans,Memphis Grizzlies,DraftKings,119.5,111.0,NBA,-355.0,280.0,8.5,-110.0,-110.0,230.5,-110.0,-110.0,NO,MEM,116.37373298934321,104.12017133699393,New Orleans Pelicans,Memphis Grizzlies,11.66491598551477,11.842266654931768,115.96296296296296,104.8606896551724,2024.0,0.5882510000000001,0.411694,0.274612,0.7253330000000001,0.7688065000000001,0.23119349999999994,0.160175,0.428076,0.11443699999999998,0.297257,0.20742500000000003,0.552179,0.062301999999999996,0.159634,0.0,0.171353,0.0,0.0,0.04725000000000001,0.124103,0.13532710000000014,0.01664856726764549,-0.23544260000000006,0.0,-0.5233147999999999,0.0,0.4231993000000002,0.16281604320044563,-0.05193042499999967,0.0,-0.04338025000000012,0.0,-0.1579405303030303,0.0,-0.2210035303030303,0.0,0.21143812121212124,0.11802404882851882,0.03106646969696969,0.002547931424102421,-0.33917844827586213,0.0,-0.08772968,0.0,0.24333693103448273,0.08585864990765688,0.025175439999999993,0.00396126736996
Portland Trail Blazers,Phoenix Suns,DraftKings,112.5,119.5,NBA,235.0,-290.0,-7.0,-108.0,-112.0,232.0,-108.0,-112.0,POR,PHX,105.58587091650523,114.51132909191266,Portland Trail Blazers,Phoenix Suns,11.809119287168286,11.674027478246114,105.25379310344827,112.9162895927602,2024.0,0.442646,0.533457,0.228099,0.753242,0.295979,0.704021,0.10189999999999999,0.33215799999999995,0.120526,0.402871,0.066216,0.214107,0.15725,0.523578,0.136215,0.0,0.031051,0.10249399999999999,0.0,0.0,-0.15929632000000005,0.0,0.01092883999999994,0.00010664244977285462,-0.6055540799999999,0.0,0.47687303999999997,0.20304276453467998,-0.00360440425531916,0.0,-0.1543180999999999,0.0,-0.22950221402214022,0.0,-0.21135098113207548,0.0,0.08014215094339616,0.017020325548260353,0.17142565116279068,0.07581782500159394,-0.10512051376146789,0.0,-0.3727814465408805,0.0,0.06693602621722847,0.02392550477472366,0.2162089677419355,0.0724567924846516
Alabama State Hornets,USC Trojans,DraftKings,66.75,82.75,NCAAB,950.0,-1600.0,-16.0,105.0,-125.0,149.5,-108.0,-112.0,ALST,USC,66.95101747363772,82.34973481050429,Alabama State Hornets,USC Trojans,10.78063948530343,10.87747056735097,66.4,77.57777777777778,2024.0,0.502001,0.47179600000000005,0.495001,0.504798,0.1571535,0.8428465,0.246893,0.255108,0.23488499999999998,0.23691099999999998,0.072925,0.076361,0.41408300000000003,0.420695,0.33698,0.0,0.16597499999999998,0.171005,0.0,0.0,0.027716238095238155,0.0008065993468595222,-0.18845899999999977,0.0,-0.050397919999999985,0.0,-0.04982824000000008,0.0,0.06843281578947367,0.04448897763032236,-1.671609499999999,0.0,-0.008397508474576237,0.0,-0.07487815789473681,0.0,-0.003535055555555555,0.0,-0.07972343983402491,0.0,0.024690088449531737,0.011716520988150365,-0.1439331904761904,0.0,0.027439442796610168,0.014215186636261777,-0.15287430693069298,0.0
Binghamton Bearcats,Niagara Purple Eagles,DraftKings,75.5,70.0,NCAAB,-250.0,205.0,5.5,-108.0,-112.0,145.5,-122.0,102.0,BING,NIA,74.97528817947043,68.10592850199151,Binghamton Bearcats,Niagara Purple Eagles,10.839564160410664,10.787039662839302,70.55555555555556,67.425,2024.0,0.5357590000000001,0.464059,0.437151,0.562667,0.673299,0.326701,0.235095,0.30066400000000004,0.202056,0.26200300000000004,0.289815,0.371668,0.13680699999999998,0.177896,0.0,0.125724,0.0,0.0,0.054720000000000005,0.071004,0.034378720000000196,0.0010943485081837219,-0.13619492,0.0,-0.24952477999999984,0.0,0.13390915686274518,0.018290295537525134,-0.1434535,0.0,-0.0017375365853658509,0.0,-0.07086699999999996,0.0,-0.1249702295081967,0.0,0.058679224913494865,0.00995099665133622,0.00030193617021279096,2.5708657148939084e-07,-0.168368870967742,0.0,-0.05290574725274727,0.0,0.02831718032786884,0.0014674087441495067,0.01857351937984497,0.0017800742103119397
Butler Bulldogs,Georgetown Hoyas,DraftKings,80.0,70.0,NCAAB,-600.0,440.0,10.0,-112.0,-108.0,150.0,-105.0,-115.0,BUT,GTWN,75.54594172872633,70.06844101779754,Butler Bulldogs,Georgetown Hoyas,10.811139440175374,10.775191058067811,77.45185185185186,73.72727272727273,2024.0,0.37118500000000004,0.603598,0.37449899999999997,0.6002230000000001,0.6400705,0.3599295,0.139686,0.222492,0.22569699999999998,0.363039,0.235868,0.376596,0.129855,0.20927199999999999,0.0,0.231607,0.0,0.0,0.087066,0.139412,-0.33308779999999977,0.0,0.17548383999999995,0.028513498241801463,-0.2822770500000002,0.0,0.14047945000000012,0.017160413802002197,-1.5195065,0.0,0.21445893181818185,0.20236758712102051,-0.1789488148148148,0.0,-0.054847565217391314,0.0,-0.08361351181102364,0.0,0.11805400000000002,0.036235541981600006,-0.36111012500000006,0.0,0.038644832285115296,0.01424725601476834,-0.1517124745762713,0.0,0.12237881318681317,0.13628682264481756
Cincinnati Bearcats,Merrimack Warriors,DraftKings,80.0,61.5,NCAAB,-2100.0,1100.0,18.5,-115.0,-105.0,141.5,-110.0,-110.0,CIN,MRMK,86.95939834340106,55.39969137656719,Cincinnati Bearcats,Merrimack Warriors,10.898037365978857,10.667824576019854,82.58,65.66666666666667,2024.0,0.8044450000000001,0.195387,0.522918,0.476914,0.9806785,0.01932149999999999,0.423025,0.38142,0.09989300000000001,0.09549399999999998,0.5125090000000001,0.466632,0.008809,0.008806999999999999,0.0,0.174696,0.0,0.0,0.089484,0.085212,0.5795567500000002,0.2920748056265762,-0.6494566500000001,0.0,-0.0018721999999999905,0.0,-0.09848059999999997,0.0,0.5749270000000002,0.015740050253761885,-0.06983109090909091,0.0,0.1985211089494163,0.10128532089516046,-0.22981652380952378,0.0,0.1407273929961089,0.05089679178846688,-0.23582687912087918,0.0,0.025018000000000207,0.0006259003240000104,-0.036430205842081245,0.0,-0.06673600000000007,0.0,-0.03643229712460064,0.0
Drake Bulldogs,Alcorn State Braves,DraftKings,86.75,64.75,NCAAB,-4062.0,1293.75,22.0,-108.0,-112.0,151.5,-108.0,-112.0,DRKE,ALCN,83.26118981643005,66.93305482732384,Drake Bulldogs,Alcorn State Braves,10.891139013738874,10.768481999867774,76.6,68.8,2024.0,0.344028,0.6315619999999998,0.46635,0.53352,0.8568319999999999,0.14316800000000007,0.162213,0.181815,0.292516,0.33904600000000007,0.397227,0.45221599999999995,0.062177,0.073472,0.0,0.481135,0.0,0.0,0.223393,0.257742,-0.36442176000000004,0.0,0.21891143999999968,0.04278769514542271,-0.10999199999999992,0.0,0.011062400000000028,0.00010926490514285809,-4.958652160000003,0.0,0.07693943961352664,0.07658582594906296,-0.1469334944649447,0.0,0.025540905660377367,0.0017286953341735841,-0.12693405660377355,0.0,0.08286227906976756,0.01771468581500098,-0.22418846391752578,0.0,0.02588354024767802,0.017311705824661863,-0.1305329361702129,0.0,0.036965774625689514,0.03468097036952913
Florida State Seminoles,North Florida Ospreys,DraftKings,83.75,67.75,NCAAB,-1650.0,950.0,16.0,-112.0,-108.0,151.5,-110.0,-110.0,FSU,UNF,76.82561622992645,74.91949371347584,Florida State Seminoles,North Florida Ospreys,10.841044623569998,10.828811125240616,73.95555555555556,72.625,2024.0,0.170545,0.812185,0.506594,0.49318199999999995,0.5494290000000001,0.45057099999999994,0.08651299999999999,0.08403200000000001,0.41119300000000003,0.40099200000000007,0.271915,0.264566,0.221336,0.21606299999999995,0.0,0.34889000000000003,0.0,0.0,0.176514,0.17237599999999997,-0.7584446,0.0,0.6093448000000001,0.3437973011917038,-0.03615260000000009,0.0,-0.06431780000000004,0.0,-6.884992499999999,0.0,0.3927363684210526,1.4652976232652892,-0.26348201915708813,0.0,0.19148889552238813,0.09827023225046931,-0.26691359386973185,0.0,0.17748155223880607,0.08441919971205741,-0.44189382352941176,0.0,0.18046124934383204,0.6203873009057346,-0.4564477254901959,0.0,0.1749114514435695,0.5828160018681321
