oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_tie,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Atlanta Hawks,Oklahoma City Thunder,DraftKings,122.75,124.25,NBA,100.0,-120.0,-1.5,-110.0,-110.0,247.0,-110.0,-110.0,ATL,OKC,112.7608428174856,122.519470109923,Atlanta Hawks,Oklahoma City Thunder,11.64102733830554,11.294785269719537,121.75412735849056,120.67865566037736,2024.0,0.305185,0.6947329999999999,0.241551,0.739367,0.263369,0.716023,0.020608000000000005,0.072034,0.22689600000000001,0.153926,0.5280619999999999,0.062384999999999996,0.19564499999999999,0.158558,0.543722,0.021208,0.0,0.004632,0.015660000000000004,0.0,0.0,-0.45911149999999995,0.0,0.35893929999999985,0.11712492825862718,-0.5927429000000001,0.0,0.4526707,0.18628251148953634,-0.473262,0.0,0.37525059999999993,0.11734417733363335,-0.2794682727272727,0.0,-0.1665565757575757,0.0,-0.06594642424242422,0.0,0.34929760606060595,0.3221032784631295,-0.27010258865248227,0.0,-0.1780188,0.0,-0.08958726950354615,0.0,0.36121080000000005,0.32618310509160015
Cleveland Cavaliers,Washington Wizards,DraftKings,124.5,115.0,NBA,-440.0,340.0,9.5,-110.0,-110.0,239.5,-110.0,-110.0,CLE,WSH,125.74377800145744,100.12232197369131,Cleveland Cavaliers,Washington Wizards,11.552394717250678,12.395579214220644,111.568324757004,116.6875,2024.0,0.827392,0.172468,0.21834399999999998,0.781516,0.930113,0.062263999999999986,0.0076230000000000004,0.17103700000000002,0.656355,0.041576,0.13089199999999998,0.19509300000000002,0.73502,0.015628000000000003,0.046496,0.0,0.102721,0.0,0.0,0.024056,0.078665,0.6375232000000001,0.3694871186711274,-0.7378171999999998,0.0,-0.6414776000000001,0.0,0.5411836,0.26625426264450913,0.6226101999999998,0.08810078662364546,-0.21354070588235297,0.0,-0.14296413636363633,0.0,-0.3214633939393939,0.0,0.5261864393939395,0.73094252616547,-0.19831557575757577,0.0,-0.4055838656716418,0.0,-0.11739524324324324,0.0,0.5372737313432836,0.38680850360465674,-0.08235589189189188,0.0
Dallas Mavericks,Portland Trail Blazers,DraftKings,123.0,111.5,NBA,-625.0,455.0,11.5,-110.0,-110.0,234.5,-110.0,-110.0,DAL,POR,123.73425715514531,100.98120745155056,Dallas Mavericks,Portland Trail Blazers,11.650500474603303,12.3471271343495,118.29411764705884,107.72995283018868,2024.0,0.7440819999999999,0.255849,0.29167000000000004,0.708261,0.9042170000000002,0.08608999999999989,0.009692999999999997,0.206159,0.5379229999999999,0.07875200000000002,0.177097,0.254526,0.649691,0.027451000000000003,0.058570000000000004,0.0,0.160135,0.0,0.0,0.04836700000000001,0.111768,0.4625721999999998,0.1945209456480362,-0.5627171000000001,0.0,-0.4874929999999999,0.0,0.38734810000000003,0.13639868233964547,0.30557325000000113,0.014940001778490081,-0.1147693406593408,0.0,-0.09453834848484846,0.0,-0.27020557575757576,0.0,0.36289383333333325,0.34766670647639314,-0.13460868181818175,0.0,-0.361568214876033,0.0,-0.0738561875,0.0,0.3601794297520661,0.15697235815599353,-0.039495625,0.0
Houston Rockets,Brooklyn Nets,DraftKings,114.75,108.25,NBA,-258.0,210.0,6.5,-112.0,-108.0,223.0,-112.0,-108.0,HOU,BKN,113.36686406830349,102.09803924955172,Houston Rockets,Brooklyn Nets,11.765692759338432,12.146251681472553,112.2976262933658,114.30355160932298,2024.0,0.608653,0.39127300000000004,0.332165,0.646255,0.7362869999999999,0.24460400000000004,0.019109,0.19082700000000002,0.40462299999999995,0.12861,0.25436,0.231957,0.488349,0.081099,0.157906,0.0,0.127634,0.0,0.0,0.04113,0.08372600000000001,0.17034436000000003,0.02590821516411572,-0.26615216,0.0,-0.41581019999999996,0.0,0.26421040000000007,0.06463623654459266,0.05590745999999969,0.0012114899549037067,-0.11510838095238085,0.0,-0.12280594573643405,0.0,-0.20021641509433963,0.0,0.17995243396226407,0.085814627995699,-0.020783911439114455,0.0,-0.23923502453987736,0.0,-0.10758703696098562,0.0,0.18197115568862265,0.05529954750943045,-0.011529412474849121,0.0
Indiana Pacers,Milwaukee Bucks,DraftKings,126.75,130.25,NBA,130.0,-155.0,-3.5,-110.0,-110.0,257.0,-110.0,-110.0,IND,MIL,128.20048014525355,130.74338691128173,Indiana Pacers,Milwaukee Bucks,11.088268257566288,11.041648854310882,125.9090909090909,123.9028016009148,2024.0,0.525231,0.47465999999999997,0.547455,0.426986,0.422937,0.551105,0.025958000000000002,0.28271199999999996,0.22874700000000003,0.253475,0.209507,0.22735699999999998,0.184513,0.29414,0.242473,0.076336,0.0,0.040665,0.032966,0.0,0.0,0.002985099999999963,8.10074728181828e-06,-0.10321400000000003,0.0,0.04965550000000002,0.0022415169820454626,-0.2033294000000001,0.0,-0.02095761538461538,0.0,-0.14468225000000012,0.0,0.011011999999999966,0.0003201373401599983,-0.029299621212121207,0.0,-0.06339428787878781,0.0,-0.08992216666666664,0.0,-0.0005612890855457298,0.0,-0.03570112149532706,0.0,-0.056043637168141563,0.0,-0.11151157943925233,0.0
Los Angeles Lakers,Miami Heat,DraftKings,117.25,111.25,NBA,-230.0,190.0,6.0,-110.0,-110.0,228.5,-110.0,-110.0,LAL,MIA,107.39026390564506,107.48338819137903,Los Angeles Lakers,Miami Heat,12.03119636109946,12.06887557764411,113.79299191374662,113.0,2024.0,0.34891599999999995,0.628912,0.231358,0.76849,0.48593400000000003,0.490471,0.023594999999999998,0.07396199999999999,0.274954,0.134001,0.494911,0.10304900000000003,0.38288500000000003,0.104714,0.38560500000000003,0.0,0.11499799999999999,0.0,0.0,0.024589999999999997,0.09040799999999999,-0.3672764000000001,0.0,0.22071520000000006,0.04428654501003638,-0.6141482,0.0,0.513829,0.24001840112818182,-0.6964177999999996,0.0,0.22229784210526315,0.09389102814884735,-0.2768099696969697,0.0,-0.1940289242424242,0.0,0.0003153636363635859,2.625591490908264e-07,0.3035894090909091,0.24331963738412182,-0.41244008045977,0.0,-0.09248555947136564,0.0,0.028221206896551776,0.0013857995425344885,0.250275704845815,0.28437619509975565
Memphis Grizzlies,Toronto Raptors,DraftKings,116.0,115.0,NBA,-115.0,-105.0,1.0,-110.0,-110.0,231.0,-110.0,-110.0,MEM,TOR,105.53993854304436,107.9623085360028,Memphis Grizzlies,Toronto Raptors,11.937175219595067,11.966963192004076,106.07261292166952,113.3236134934248,2024.0,0.40839000000000003,0.5683640000000001,0.16399899999999998,0.822056,0.431541,0.544889,0.02357,0.058617,0.34423499999999996,0.08213899999999999,0.47849400000000003,0.061781,0.36364099999999994,0.07864800000000001,0.45841499999999996,0.0,0.0,0.0,0.0,0.0,0.0,-0.24238099999999996,0.0,0.09356440000000016,0.0079584517703273,-0.7556021,0.0,0.6263176,0.3566124873361456,-0.2221868500000001,0.0,0.0670224499999999,0.004278103622859504,-0.29796746969696963,0.0,-0.26553562121212126,0.0,0.09583916666666661,0.0242487850898333,0.2809538484848485,0.2083885715431007,-0.3032847587548638,0.0,-0.2588435750915751,0.0,0.11603049416342401,0.03460010422982752,0.26003221611721605,0.18459373683340743
Minnesota Timberwolves,New Orleans Pelicans,DraftKings,115.0,108.5,NBA,-265.0,215.0,6.5,-110.0,-110.0,223.5,-112.0,-108.0,MIN,NO,108.4936824019639,102.86665865619727,Minnesota Timberwolves,New Orleans Pelicans,11.85301929348331,12.000133890675516,112.69516509433964,115.5338512763596,2024.0,0.477185,0.5226930000000001,0.254143,0.745735,0.6179929999999999,0.35936400000000013,0.022642999999999996,0.11206300000000001,0.365122,0.12497299999999999,0.39772,0.145307,0.472686,0.08619299999999998,0.27304900000000004,0.0,0.140808,0.0,0.0,0.033244,0.10756399999999999,-0.09791149999999998,0.0,-0.0023446999999998663,0.0,-0.58121684,0.0,0.47112880000000007,0.20552069091614825,-0.39432555000000036,0.0,0.06139376744186065,0.008103768563516325,-0.22814274712643678,0.0,-0.21028638697318008,0.0,0.128227223880597,0.044065152130254345,0.17298865671641797,0.08019920194483586,-0.38555821739130436,0.0,-0.09804228225806454,0.0,0.1531017575757575,0.03867624448509694,0.12966615976331367,0.08524349684796949
New York Knicks,Chicago Bulls,DraftKings,114.0,104.5,NBA,-410.0,320.0,9.5,-110.0,-110.0,218.5,-108.0,-112.0,NY,CHI,114.47794959583716,97.33303615678594,New York Knicks,Chicago Bulls,11.749080695579185,12.232372529883602,115.24242424242424,108.25283018867924,2024.0,0.6674410000000001,0.33243599999999995,0.363156,0.636721,0.8335620000000001,0.1519529999999999,0.014485000000000001,0.23290799999999998,0.43453299999999995,0.120828,0.21160800000000002,0.29242399999999996,0.541138,0.056247,0.09558300000000002,0.0,0.166121,0.0,0.0,0.059516,0.106605,0.3016261000000001,0.08270754927382734,-0.40188440000000014,0.0,-0.32463552,0.0,0.22984852,0.047169948344812834,0.1511662000000007,0.005573468298156144,-0.11306168750000012,0.0,-0.053320358208955226,0.0,-0.20722125373134326,0.0,0.21787897701149417,0.12389995890753126,-0.09045790038314178,0.0,-0.21298742857142866,0.0,-0.07686343723554304,0.0,0.20124022222222226,0.05467179650406671,-0.03454894244604316,0.0
Phoenix Suns,LA Clippers,DraftKings,115.0,118.5,NBA,130.0,-155.0,-3.5,-112.0,-108.0,233.5,-110.0,-110.0,PHX,LAC,109.40510640415324,110.41511369075442,Phoenix Suns,LA Clippers,11.64897484754534,11.625602039361306,114.17935371936672,116.3502358490566,2024.0,0.5601510000000001,0.439729,0.22222699999999998,0.7776529999999999,0.46336799999999995,0.5123200000000001,0.024312,0.113924,0.446227,0.089189,0.35053999999999996,0.094197,0.3691709999999999,0.10371799999999998,0.40848199999999996,0.07247100000000001,0.0,0.014528999999999997,0.057942,0.0,0.0,0.06752012000000018,0.004070505897155732,-0.16536367999999996,0.0,-0.6333233000000001,0.0,0.5330712999999998,0.25833182807608174,0.050574153846153824,0.0033250685484307613,-0.2435839999999997,0.0,-0.2255687203065134,0.0,-0.2506658507462686,0.0,0.23405343678160914,0.1429784394128279,0.10820417910447758,0.03137782692680595,-0.1730015250737463,0.0,-0.3151053644859813,0.0,0.18308574926253676,0.11363412746645302,0.1320717196261682,0.0373278897275282
