oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_tie,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Boston Celtics,Utah Jazz,DraftKings,126.25,112.25,NBA,-1200.0,750.0,14.0,-110.0,-110.0,238.5,-112.0,-108.0,BOS,UTAH,120.63891975980329,95.0985729765428,Boston Celtics,Utah Jazz,11.721397364306686,11.248521059494424,119.44311034877072,113.53482665675249,2024,0.7465610000000001,0.233865,0.089027,0.9108989999999999,0.937137,0.05554800000000004,0.007315,0.063807,0.6827540000000001,0.016982,0.216883,0.077907,0.8592299999999999,0.0038050000000000002,0.05166899999999999,0.0,0.17107599999999998,0.0,0.0,0.012698,0.158378,0.4677781000000003,0.19892395530873663,-0.6088835,0.0,-0.9312627600000001,0.0,0.8146699199999998,0.6145250727340799,0.18278099999999997,0.002784074496749977,-0.07037893333333328,0.0,-0.2948876360153257,0.0,-0.3596532490421456,0.0,0.5643786268656718,0.8536422683602536,-0.07532483582089555,0.0,-0.8002768095238095,0.0,-0.0622118986083499,0.0,0.7300832110091742,0.5809934295472382,-0.010031130123617449,0.0
Brooklyn Nets,Oklahoma City Thunder,DraftKings,114.25,119.75,NBA,170.0,-205.0,-5.5,-110.0,-110.0,234.0,-110.0,-110.0,BKN,OKC,108.7302470469813,121.15868957078958,Brooklyn Nets,Oklahoma City Thunder,11.176784675840915,11.359758482872309,113.9234501347709,121.20354488279015,2024,0.331767,0.6682199999999998,0.398154,0.5784680000000001,0.20850100000000002,0.7729699999999999,0.018529000000000004,0.12591299999999997,0.198151,0.26064000000000004,0.3910410000000001,0.07882999999999998,0.12486400000000002,0.30079500000000003,0.453604,0.10473699999999998,0.0,0.040155,0.06256300000000001,0.0,0.0,-0.40328930000000013,0.0,0.3032619999999996,0.08360712785818161,-0.2638766,0.0,0.11478280000000018,0.011977355614400057,-0.25708664705882345,0.0,0.3075584999999998,0.04614255166939018,-0.20518056060606063,0.0,-0.019420606060606027,0.0,-0.10557968181818181,0.0,0.16037471212121224,0.06790092748021889,-0.14313867469879518,0.0,-0.07920771739130428,0.0,-0.08601214457831323,0.0,0.15664965217391308,0.04515196888822263
Chicago Bulls,Charlotte Hornets,DraftKings,114.25,105.75,NBA,-360.0,285.0,8.5,-112.0,-108.0,220.0,-110.0,-110.0,CHI,CHA,125.93899666518926,107.04038737970228,Chicago Bulls,Charlotte Hornets,11.705616552899208,11.4335536550057,108.02358490566036,109.6745283018868,2024,0.7372749999999999,0.26261,0.7808649999999999,0.20168,0.8694540000000001,0.11797399999999991,0.012571999999999998,0.576066,0.148371,0.201764,0.055865000000000005,0.677979,0.17618,0.09031399999999999,0.0255,0.0,0.132179,0.0,0.0,0.101913,0.027809,0.44302299999999983,0.17524051654374986,-0.5337712,0.0,0.5398164999999998,0.26491077606568164,-0.6764720000000001,0.0,0.3994884000000003,0.04433082825960007,-0.19150880701754397,0.0,0.4136391800766283,0.4465641390785544,-0.09608525373134325,0.0,-0.17792363601532565,0.0,-0.29642417910447755,0.0,0.45435330555555553,0.2972691738277344,-0.0529436377952756,0.0,-0.39591722222222225,0.0,-0.12796456692913388,0.0
Cleveland Cavaliers,Washington Wizards,DraftKings,123.75,113.75,NBA,-500.0,380.0,10.0,-110.0,-110.0,237.5,-110.0,-110.0,CLE,WSH,131.8013038765399,105.64346171384216,Cleveland Cavaliers,Washington Wizards,11.87136198306544,11.449511297577802,112.40455049944508,116.21212121212122,2024,0.827662,0.157137,0.49983799999999995,0.5000469999999999,0.939702,0.053342,0.006956000000000002,0.413954,0.41370799999999996,0.074798,0.08233900000000001,0.467939,0.47176300000000004,0.024943,0.028284000000000004,0.0,0.096954,0.0,0.0,0.046468999999999996,0.050484999999999995,0.6380902,0.3701446393964,-0.7700123000000001,0.0,-0.05034020000000011,0.0,-0.04990130000000026,0.0,0.6382120000000002,0.08146291138880006,-0.1957785263157895,0.0,0.19196687878787877,0.09728738593611878,-0.275657303030303,0.0,0.19162769696969692,0.09694390000920239,-0.2652598636363636,0.0,0.05548861240310077,0.003971892077283803,-0.09454927941176469,0.0,0.0622769534883722,0.0050031604271728,-0.0907988431372549,0.0
Dallas Mavericks,Portland Trail Blazers,DraftKings,124.75,114.25,NBA,-535.0,400.0,10.5,-110.0,-110.0,239.0,-110.0,-110.0,DAL,POR,126.7997203494522,105.42425957553068,Dallas Mavericks,Portland Trail Blazers,11.778778601739518,11.418557166144648,118.51428571428572,107.40480274442538,2024,0.745905,0.25394300000000003,0.335592,0.6419170000000001,0.898212,0.09132499999999999,0.010462999999999997,0.24856499999999998,0.480367,0.079931,0.16864600000000002,0.297027,0.5809409999999999,0.028102,0.060975999999999995,0.0,0.152307,0.0,0.0,0.048462,0.100574,0.46640050000000005,0.1977540240002274,-0.5667196999999999,0.0,-0.3952568000000001,0.0,0.24802570000000013,0.055924316236809185,0.3536462,0.023376754163446735,-0.13584375,0.0,-0.036069469696969725,0.0,-0.2685799848484849,0.0,0.2835363181818182,0.21223710744218724,-0.14626081818181813,0.0,-0.2564950472440945,0.0,-0.08557028070175438,0.0,0.2509732834645668,0.079994238046492,-0.04885136842105262,0.0
Denver Nuggets,Orlando Magic,DraftKings,116.5,107.0,NBA,-410.0,320.0,9.5,-110.0,-110.0,223.5,-112.0,-108.0,DEN,ORL,111.93595822971872,101.90883274574288,Denver Nuggets,Orlando Magic,11.153750807986857,10.954757524229716,115.45714285714286,112.87423935091276,2024,0.512187,0.487717,0.284289,0.715615,0.728166,0.250908,0.020926,0.140665,0.371522,0.12842,0.35929700000000003,0.19804100000000002,0.5301250000000001,0.06532199999999999,0.18549000000000002,0.0,0.21597899999999998,0.0,0.0,0.057376,0.158603,-0.02440730000000013,0.0,-0.07579430000000004,0.0,-0.5173073199999999,0.0,0.4084792,0.15449560817837038,-0.38635340000000007,0.0,0.016816750000000047,0.0009049698578000065,-0.1885821264367816,0.0,-0.20551869731800768,0.0,0.1370152835820896,0.05031214366601555,0.1202287164179105,0.03873925059401555,-0.3960027037037036,0.0,-0.06916404316546762,0.0,0.19450000000000012,0.052962350000000075,0.07060847672778563,0.03534759902945136
Golden State Warriors,Detroit Pistons,DraftKings,124.75,114.75,NBA,-470.0,360.0,10.0,-110.0,-110.0,239.5,-110.0,-110.0,GS,DET,128.6149329979097,108.93749097495962,Golden State Warriors,Detroit Pistons,11.3383790775292,11.028425239627424,116.51858204688392,110.7214206437292,2024,0.718952,0.259984,0.45713200000000004,0.542751,0.8872390000000001,0.10106999999999988,0.011691,0.327548,0.39140400000000003,0.11367000000000001,0.14631400000000003,0.401857,0.485382,0.043584,0.05736900000000001,0.0,0.14734000000000003,0.0,0.0,0.064864,0.082476,0.4097992000000001,0.15266853120058188,-0.5540336,0.0,-0.14002279999999984,0.0,0.0397770999999999,0.0014383797131000008,0.3572623000000006,0.027156670425806467,-0.14863277777777792,0.0,0.07283133333333336,0.014003624223893348,-0.22206106060606057,0.0,0.1608752121212122,0.06832540143011884,-0.17705190909090904,0.0,-0.05128163636363631,0.0,-0.07934864781491004,0.0,0.09551987878787876,0.012043742361619392,-0.06379179691516709,0.0
Houston Rockets,Minnesota Timberwolves,DraftKings,107.0,110.5,NBA,136.0,-162.0,-3.5,-110.0,-110.0,217.5,-110.0,-110.0,HOU,MIN,104.3792198422894,102.6068793327391,Houston Rockets,Minnesota Timberwolves,11.003841292258697,11.024263440058718,112.28832547169812,112.49228130360208,2024,0.632428,0.367473,0.26961599999999997,0.7302850000000001,0.5320029999999999,0.44227400000000006,0.025723,0.15827299999999997,0.474155,0.09229400000000001,0.275179,0.133063,0.39893999999999996,0.11083,0.331345,0.07470200000000002,0.0,0.018536000000000004,0.056166,0.0,0.0,0.2280988,0.0472991477831273,-0.3283067000000001,0.0,-0.5338064000000001,0.0,0.43359850000000016,0.17091605382022745,0.18788755882352925,0.04801035927450467,-0.46124211999999987,0.0,-0.16056298484848489,0.0,-0.25153403030303023,0.0,0.2749712878787879,0.19960831217637884,0.0006255909090909784,1.033200921818294e-06,-0.11392759829059834,0.0,-0.31461019138755986,0.0,0.2276978347578347,0.18198052687645572,0.011414377990430602,0.00027230197205861217
Indiana Pacers,Atlanta Hawks,DraftKings,132.5,129.5,NBA,-148.0,124.0,3.0,-110.0,-110.0,262.0,-110.0,-110.0,IND,ATL,136.81955953582627,129.8691412463166,Indiana Pacers,Atlanta Hawks,11.6645237254316,11.54325135988512,126.38235294117646,122.33733562035448,2024,0.575693,0.3994,0.6010409999999999,0.375548,0.6467270000000002,0.3290859999999999,0.024187000000000007,0.338802,0.222576,0.237365,0.15236899999999998,0.38175000000000003,0.24940999999999997,0.195104,0.126138,0.0,0.046215000000000006,0.0,0.0,0.027358999999999998,0.017604000000000005,0.10895530000000003,0.010792052180081835,-0.26126000000000005,0.0,0.16218609999999983,0.02391302821200904,-0.3113492,0.0,0.12388296000000043,0.010369586336730872,-0.21197367741935502,0.0,0.08834821212121213,0.020606273384438795,-0.05151189393939393,0.0,-0.07190278787878784,0.0,-0.16870334848484853,0.0,0.10072727272727278,0.02232116363636367,-0.05029112195121954,0.0,-0.09176727272727275,0.0,-0.14028334146341467,0.0
Los Angeles Lakers,Memphis Grizzlies,DraftKings,115.5,111.5,NBA,-175.0,145.0,4.0,-110.0,-110.0,227.0,-110.0,-110.0,LAL,MEM,119.28448784773258,102.56946457006003,Los Angeles Lakers,Memphis Grizzlies,11.482682056571711,11.201512654457517,113.47870619946092,106.2175360710322,2024,0.776334,0.20533599999999996,0.372834,0.6033869999999999,0.843585,0.14188299999999998,0.014531999999999996,0.28531300000000004,0.472374,0.07163699999999999,0.128682,0.309108,0.514293,0.04919400000000001,0.089094,0.0,0.049035999999999996,0.0,0.0,0.017143000000000002,0.030356000000000008,0.5303013999999999,0.2556541589472363,-0.6687944000000001,0.0,-0.3170486,0.0,0.16711269999999978,0.02538786772844541,0.5698587500000001,0.18556513997232144,-0.4499218275862069,0.0,0.01459822727272736,0.0005626057522963693,-0.2800156515151515,0.0,0.2725156666666667,0.19605904184797338,-0.20136269696969697,0.0,-0.03633800000000004,0.0,-0.2091771956521739,0.0,0.2714395,0.14735880432050003,-0.15843480434782606,0.0
