oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_tie,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Atlanta Hawks,Philadelphia 76ers,DraftKings,124.0,122.5,NBA,-125.0,105.0,1.5,-110.0,-110.0,246.5,-110.0,-110.0,ATL,PHI,118.85617500654492,122.20535849795688,Atlanta Hawks,Philadelphia 76ers,12.907408501569696,12.910489099837903,121.50727762803236,119.1935309973046,2024.0,0.395418,0.604559,0.396459,0.603518,0.41658900000000004,0.5617329999999999,0.021678000000000003,0.151345,0.244073,0.23163100000000003,0.37292800000000004,0.159698,0.25689100000000004,0.215083,0.346627,0.0,0.021171000000000002,0.0,0.0,0.008352999999999998,0.012817999999999998,-0.2696222,0.0,0.1695738999999999,0.026141188692009078,-0.26743609999999995,0.0,0.16738779999999998,0.025471523262581817,-0.31267474999999983,0.0,0.14433585714285702,0.02187448164002137,-0.1701152272727272,0.0,-0.05941786363636359,0.0,-0.042262984848484814,0.0,0.13540072727272734,0.0484000623373964,-0.1846880655737705,0.0,-0.05464792783505154,0.0,-0.04766186885245899,0.0,0.1221001958762887,0.04338361229411167
Boston Celtics,Minnesota Timberwolves,DraftKings,115.75,107.75,NBA,-305.0,245.0,8.0,-110.0,-110.0,223.5,-112.0,-108.0,BOS,MIN,116.1216577490778,105.04087585636265,Boston Celtics,Minnesota Timberwolves,12.801819725568892,12.775977887905311,119.90618448637318,112.64570230607968,2024.0,0.554859,0.42323,0.4609919999999999,0.538932,0.719577,0.261976,0.018447,0.25145799999999996,0.303401,0.189472,0.23375800000000002,0.325307,0.39427,0.117238,0.144662,0.0,0.14288299999999998,0.0,0.0,0.06378700000000001,0.079096,0.06520389999999998,0.003865044159281812,-0.211217,0.0,-0.14269696000000026,0.0,0.04097855999999994,0.0015548540552533282,-0.13571314999999995,0.0,-0.03925828571428569,0.0,-0.03533970114942536,0.0,-0.12107512643678162,0.0,0.043476000000000015,0.005065635703680002,-0.05215319402985069,0.0,-0.12150955629139071,0.0,-0.04239346473779386,0.0,0.0059815384615384826,5.581493169230846e-05,-0.0069936737588652265,0.0
Charlotte Hornets,Sacramento Kings,DraftKings,112.25,119.75,NBA,230.0,-285.0,-7.5,-108.0,-112.0,232.0,-110.0,-110.0,CHA,SAC,111.04815674735768,122.65158323579185,Charlotte Hornets,Sacramento Kings,13.243241649535245,13.23152356977342,108.8829078801332,116.7871936673173,2024.0,0.414112,0.585837,0.534615,0.44466999999999995,0.25946900000000006,0.7228169999999999,0.017714000000000008,0.217937,0.187519,0.308159,0.264999,0.136637,0.11746600000000001,0.380264,0.327204,0.13692900000000002,0.0,0.072105,0.062204999999999996,0.0,0.0,-0.21864703999999996,0.0,0.12197444000000013,0.01328371786903003,0.022691499999999865,0.0004680947020454508,-0.1661930000000002,0.0,-0.06250099999999992,0.0,-0.06715455000000026,0.0,-0.07387755223880593,0.0,0.04308581992337168,0.004845172362804645,-0.11564555223880596,0.0,-0.01661057854406134,0.0,-0.026261679245283026,0.0,-0.01197397468354433,0.0,-0.049049849056603756,0.0,-0.09861625316455691,0.0
Chicago Bulls,Houston Rockets,DraftKings,110.75,106.25,NBA,-180.0,150.0,4.5,-110.0,-110.0,217.0,-112.0,-108.0,CHI,HOU,105.50259304151014,105.22333184071132,Chicago Bulls,Houston Rockets,13.007302919600278,12.957934849316782,107.91112214498511,111.80646900269542,2024.0,0.408017,0.591895,0.37372400000000006,0.605505,0.49493400000000004,0.482939,0.022127,0.147562,0.251729,0.212108,0.36783,0.178561,0.30589299999999997,0.173036,0.299612,0.0,0.086917,0.0,0.0,0.030999,0.05416399999999999,-0.24316429999999994,0.0,0.14297949999999987,0.01858467038204543,-0.32770511999999985,0.0,0.1794503999999999,0.029817079685333328,-0.41418479999999996,0.0,0.1382316666666667,0.028661990504166675,-0.17904259770114947,0.0,-0.08976632950191574,0.0,-0.027476597014925386,0.0,0.13194567164179105,0.04665788951020897,-0.24486116494845364,0.0,-0.04867016621983916,0.0,-0.041160500000000044,0.0,0.11578312860892387,0.051075842236493016
Detroit Pistons,San Antonio Spurs,DraftKings,117.5,120.5,NBA,124.0,-148.0,-3.0,-112.0,-108.0,238.0,-112.0,-108.0,DET,SA,120.98472980388576,123.60105700557833,Detroit Pistons,San Antonio Spurs,13.157083327280224,13.089909210903482,110.74400815910248,110.69056603773583,2024.0,0.497773,0.480552,0.6365,0.344075,0.43342099999999995,0.5450160000000001,0.021563000000000006,0.31347,0.17402700000000002,0.300917,0.169668,0.273296,0.151592,0.341641,0.192483,0.042788999999999994,0.0,0.026811,0.015106999999999999,0.0,0.0,-0.0647212399999999,0.0,-0.08045184000000005,0.0,0.22937999999999992,0.04697784321428564,-0.364324,0.0,-0.02349754838709689,0.0,-0.12836031999999986,0.0,0.047373100775193855,0.005790063546806217,0.03711209433962259,0.003649864997623576,-0.1376609245283019,0.0,-0.13672757195571952,0.0,0.04900464197530863,0.00778071398981531,0.0382497557603686,0.003174805080129441,-0.10472461631419938,0.0,-0.16963224663677132,0.0
Golden State Warriors,New Orleans Pelicans,DraftKings,116.0,117.5,NBA,100.0,-120.0,-1.5,-110.0,-110.0,233.5,-110.0,-110.0,GS,NO,116.07421831385662,113.10674761450689,Golden State Warriors,New Orleans Pelicans,12.694716116392726,12.660445013872208,116.46037735849056,115.49056603773585,2024.0,0.598285,0.40164800000000006,0.418219,0.581714,0.554569,0.423393,0.022038000000000002,0.24298,0.355305,0.16242600000000001,0.23922200000000002,0.22516299999999997,0.329406,0.171018,0.252308,0.021678000000000003,0.0,0.008592,0.013085999999999999,0.0,0.0,0.15639849999999988,0.02223680982022726,-0.2565391999999999,0.0,-0.2217401,0.0,0.12159939999999991,0.013442194618509066,0.10913799999999996,0.01191110304399999,-0.2685354,0.0,-0.04377,0.0,-0.15483687878787877,0.0,0.11110234848484848,0.032587452054560616,-0.0489514848484848,0.0,-0.0496018936170213,0.0,-0.16057480000000002,0.0,0.09160670921985811,0.02366484547093842,-0.046768800000000055,0.0
Indiana Pacers,Washington Wizards,DraftKings,130.5,123.0,NBA,-325.0,260.0,7.5,-112.0,-108.0,253.5,-108.0,-112.0,IND,WSH,141.65394090437036,122.11861828718897,Indiana Pacers,Washington Wizards,14.444895167060428,14.087522679413288,126.51351351351352,115.5,2024.0,0.6960890000000002,0.303811,0.665538,0.33436199999999994,0.809971,0.175261,0.014767999999999996,0.454036,0.24205300000000002,0.20728899999999997,0.09652200000000001,0.5322479999999999,0.27772300000000005,0.11852200000000002,0.056638999999999995,0.0,0.113882,0.0,0.0,0.07821199999999999,0.03567,0.3557086800000004,0.1129720223458417,-0.44807311999999994,0.0,0.30431903999999993,0.08575007232085334,-0.4111525600000001,0.0,0.19237674999999999,0.011387327366326938,-0.1419463076923077,0.0,0.24801184905660376,0.16300117477206033,-0.08522428413284136,0.0,-0.051724906976744145,0.0,-0.24441309433962266,0.0,0.22451642105263148,0.07661958744986942,-0.030125217537942645,0.0,-0.21030199999999993,0.0,-0.10572950258175562,0.0
LA Clippers,Toronto Raptors,DraftKings,123.75,113.75,NBA,-485.0,370.0,10.0,-110.0,-110.0,237.5,-108.0,-112.0,LAC,TOR,120.22210460784792,104.21942170718508,LA Clippers,Toronto Raptors,12.759162224549817,12.619320689971516,116.83909853249476,114.85619581845997,2024.0,0.6185660000000001,0.360247,0.24622200000000002,0.7537249999999999,0.805224,0.17970399999999997,0.015071999999999995,0.14688000000000004,0.47168599999999994,0.082737,0.27751000000000003,0.190128,0.615096,0.04102200000000001,0.138629,0.0,0.16552399999999998,0.0,0.0,0.038139,0.127385,0.19898860000000013,0.03599678448178186,-0.3434813000000001,0.0,-0.5678582399999998,0.0,0.47789699999999974,0.20391566304374972,-0.13943959999999977,0.0,-0.041997621621621656,0.0,-0.17144835820895518,0.0,-0.25952531343283575,0.0,0.2692668429118773,0.18923709132541428,0.0006939080459770208,1.2567368620690277e-06,-0.423411393939394,0.0,-0.07810570186335403,0.0,0.31438974999999997,0.12651637107848004,0.029594696202531648,0.006919183742229115
Miami Heat,Oklahoma City Thunder,DraftKings,115.0,119.5,NBA,150.0,-180.0,-4.5,-110.0,-110.0,234.5,-110.0,-110.0,MIA,OKC,113.88106902197016,114.23862800551171,Miami Heat,Oklahoma City Thunder,12.713992298226133,12.70844798498902,112.66666666666669,121.44905660377358,2024.0,0.591142,0.40881900000000004,0.3762729999999999,0.6236879999999999,0.4809109999999999,0.4968070000000001,0.022282000000000003,0.213842,0.37729999999999997,0.14806000000000002,0.260759,0.174182,0.30672900000000003,0.179809,0.316959,0.087949,0.0,0.031749,0.0562,0.0,0.0,0.14139819999999986,0.01817586451203634,-0.24148009999999998,0.0,-0.3098267000000003,0.0,0.2097447999999998,0.039993528297309004,0.13485166666666648,0.027277458004166612,-0.40894039999999965,0.0,-0.0839451212121212,0.0,-0.17464454545454539,0.0,0.14142878787878785,0.052805549387878785,-0.01925653030303026,0.0,-0.04486786737400528,0.0,-0.23653160913705584,0.0,0.12283748806366052,0.05688571274618807,-0.029762319796954317,0.0
Utah Jazz,Denver Nuggets,DraftKings,115.25,122.25,NBA,205.0,-250.0,-7.0,-110.0,-110.0,237.5,-110.0,-110.0,UTAH,DEN,110.0237931312916,113.6048825464408,Utah Jazz,Denver Nuggets,12.747134932562725,12.781987632771823,113.75576139437727,116.0,2024.0,0.564656,0.413585,0.238588,0.7613780000000001,0.410722,0.567491,0.021787,0.124836,0.43982,0.09229000000000001,0.321295,0.09063400000000002,0.320088,0.126167,0.44129,0.13214700000000001,0.0,0.02924,0.10290700000000001,0.0,0.0,0.08577760000000006,0.006688906056145469,-0.23147150000000005,0.0,-0.5989652,0.0,0.4988938000000002,0.22626820334403658,0.12326931707317068,0.031150415289956063,-0.5137815000000001,0.0,-0.20666551515151516,0.0,-0.2515395454545455,0.0,0.22763060606060606,0.13679342903296968,0.06420977272727274,0.010884442572136369,-0.09803114522821574,0.0,-0.3970862934131736,0.0,0.1790274190871369,0.15448493690370654,0.10673311377245509,0.01902456915119162
