oddsHomeTeam,oddsAwayTeam,sport,bookie,homeScoreOddsImplied,awayScoreOddsImplied,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_tie,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Boston Celtics,Denver Nuggets,NBA,DraftKings,120.5,113.5,-258.0,210.0,7.0,-110.0,-110.0,234.0,-110.0,-110.0,BOS,DEN,120.11158629725658,108.72538295758385,Boston Celtics,Denver Nuggets,13.430018955031354,13.445824465336074,119.52784169351128,116.2439024390244,2024.0,0.5796349999999999,0.399779,0.394164,0.5861590000000001,0.715742,0.26664699999999997,0.017611,0.22196700000000003,0.34566399999999997,0.153106,0.238366,0.27426399999999995,0.42710200000000004,0.10228899999999999,0.15905699999999998,0.0,0.11559200000000001,0.0,0.0,0.044245,0.068975,0.11723349999999977,0.012494266838409039,-0.2604641,0.0,-0.2722556000000001,0.0,0.13093390000000021,0.015585169244736428,-0.01764363999999996,0.0,-0.08256871428571433,0.0,-0.07274246969696962,0.0,-0.16768718181818185,0.0,0.0978094545454545,0.025256060011985437,-0.05013172727272727,0.0,-0.1655760000000001,0.0,-0.08017258536585367,0.0,0.07989109090909097,0.010531267570963645,-0.011866373983739853,0.0
Boston Celtics,Denver Nuggets,NBA,BetMGM,120.5,113.0,-275.0,220.0,7.5,-105.0,-115.0,233.5,-115.0,-105.0,BOS,DEN,120.11158629725658,108.72538295758385,Boston Celtics,Denver Nuggets,13.430018955031354,13.445824465336074,119.52784169351128,116.2439024390244,2024.0,0.5796349999999999,0.42029400000000006,0.41377,0.5861590000000001,0.715742,0.26664699999999997,0.017611,0.23397099999999998,0.34566399999999997,0.169465,0.25082899999999997,0.28864,0.42710200000000004,0.107519,0.15905699999999998,0.0,0.136107,0.0,0.0,0.05466900000000001,0.081438,0.13825174999999978,0.0182033775029166,-0.24636789999999986,0.0,-0.26039450000000003,0.0,0.15162595000000018,0.021895646393716724,-0.06596750000000007,0.0,-0.06669527272727277,0.0,-0.05509654716981138,0.0,-0.162749,0.0,0.11280421352313164,0.03575666155388809,-0.0318770377358491,0.0,-0.17030193548387096,0.0,-0.07169405220883532,0.0,0.08198272289156633,0.011157136975507497,-0.0011226190476190667,0.0
Boston Celtics,Denver Nuggets,NBA,FanDuel,120.25,113.75,-260.0,215.0,6.5,-114.0,-106.0,234.0,-110.0,-110.0,BOS,DEN,120.11158629725658,108.72538295758385,Boston Celtics,Denver Nuggets,13.430018955031354,13.445824465336074,119.52784169351128,116.2439024390244,2024.0,0.60015,0.399779,0.394164,0.5861590000000001,0.715742,0.26664699999999997,0.017611,0.230019,0.358127,0.153106,0.238366,0.27426399999999995,0.42710200000000004,0.10228899999999999,0.15905699999999998,0.0,0.11559200000000001,0.0,0.0,0.044245,0.068975,0.14432099999999987,0.01827065880789472,-0.23645526000000006,0.0,-0.2722556000000001,0.0,0.13093390000000021,0.015585169244736428,-0.02332880000000004,0.0,-0.0744474186046512,0.0,-0.06842324806201552,0.0,-0.1594010110701107,0.0,0.10933901550387592,0.030843952403300588,-0.04267975645756458,0.0,-0.16825795121951231,0.0,-0.07689483233532937,0.0,0.07777395121951225,0.009920011480803908,-0.008795894211576866,0.0
Charlotte Hornets,San Antonio Spurs,NBA,DraftKings,119.75,115.75,-175.0,145.0,4.0,-110.0,-110.0,235.5,-112.0,-108.0,CHA,SA,117.0963108507396,124.63302643587018,Charlotte Hornets,San Antonio Spurs,15.19059924781147,13.54901719588636,107.8426017874876,111.30424528301889,2024.0,0.277038,0.7061019999999999,0.6255689999999999,0.374365,0.34681,0.6347659999999999,0.018424000000000003,0.185599,0.091439,0.422469,0.283633,0.230391,0.11641899999999998,0.37675400000000003,0.257946,0.0,0.052978000000000004,0.0,0.0,0.03380500000000001,0.019173,-0.5182202,0.0,0.38281419999999977,0.13322428338330897,0.20620627999999985,0.03796520527806996,-0.3013207999999999,0.0,-0.7962724999999999,0.0,0.3828804827586206,0.2125663229123379,-0.12643203448275867,0.0,0.201192754789272,0.10564894915300689,-0.24757629850746266,0.0,0.01633188059701496,0.000714837267878213,-0.1602734670050761,0.0,0.20553257142857148,0.15376684202166868,-0.3188425763546799,0.0,0.05846911827956991,0.01271733258769206
Charlotte Hornets,San Antonio Spurs,NBA,BetMGM,120.0,115.5,-165.0,140.0,4.5,-105.0,-115.0,235.5,-110.0,-110.0,CHA,SA,117.0963108507396,124.63302643587018,Charlotte Hornets,San Antonio Spurs,15.19059924781147,13.54901719588636,107.8426017874876,111.30424528301889,2024.0,0.277038,0.7228959999999999,0.6255689999999999,0.374365,0.34681,0.6347659999999999,0.018424000000000003,0.185599,0.091439,0.43345600000000006,0.28944000000000003,0.230391,0.11641899999999998,0.37675400000000003,0.257946,0.0,0.069772,0.0,0.0,0.044792,0.02498,-0.4820721,0.0,0.4042263999999997,0.14208607170170406,0.21369489999999985,0.04151410026000904,-0.31383349999999993,0.0,-0.7309534999999998,0.0,0.3738845714285713,0.195705541853257,-0.11271638461538466,0.0,0.21301086381322965,0.11661022422331774,-0.2413672271062271,0.0,0.012957509727626493,0.000431495439937746,-0.14140078743961354,0.0,0.20266293854748607,0.1470387146453136,-0.3104317246376812,0.0,0.05066834636871509,0.009190867138989502
Charlotte Hornets,San Antonio Spurs,NBA,FanDuel,120.0,115.5,-174.0,146.0,4.5,-106.0,-114.0,235.5,-110.0,-110.0,CHA,SA,117.0963108507396,124.63302643587018,Charlotte Hornets,San Antonio Spurs,15.19059924781147,13.54901719588636,107.8426017874876,111.30424528301889,2024.0,0.277038,0.7228959999999999,0.6255689999999999,0.374365,0.34681,0.6347659999999999,0.018424000000000003,0.185599,0.091439,0.43345600000000006,0.28944000000000003,0.230391,0.11641899999999998,0.37675400000000003,0.257946,0.0,0.069772,0.0,0.0,0.044792,0.02498,-0.48930171999999994,0.0,0.4069974399999997,0.14530431242680122,0.21369489999999985,0.04151410026000904,-0.31383349999999993,0.0,-0.7897405999999998,0.0,0.3846057260273972,0.21596548415986944,-0.11491797416974173,0.0,0.21386530232558149,0.11800498825013593,-0.24382336162361623,0.0,0.014029147286821753,0.000507787791875972,-0.1524990497512438,0.0,0.2083091351351352,0.16055297438876764,-0.3231735373134329,0.0,0.05739086486486489,0.012186732068767575
Los Angeles Lakers,Brooklyn Nets,NBA,DraftKings,117.0,110.0,-270.0,220.0,7.0,-110.0,-110.0,227.0,-110.0,-110.0,LAL,BKN,116.81474420641378,110.30356995688548,Los Angeles Lakers,Brooklyn Nets,11.940089686278254,12.258771499590315,114.1846361185984,112.93443396226414,2024.0,0.476561,0.500004,0.5020300000000001,0.47452199999999994,0.6370509999999999,0.3412430000000001,0.021706000000000003,0.230251,0.23546499999999998,0.24988499999999997,0.23871699999999998,0.309041,0.312883,0.171283,0.161639,0.0,0.137172,0.0,0.0,0.067608,0.06636600000000001,-0.09922189999999997,0.0,-0.049991600000000025,0.0,-0.045736999999999806,0.0,-0.1035038000000002,0.0,-0.34291130000000036,0.0,0.04180800000000012,0.003845399500800025,-0.061320590909090894,0.0,-0.03424946969696974,0.0,-0.05413159090909092,0.0,-0.04964777272727275,0.0,-0.11747690123456783,0.0,0.009107461839530318,0.00042385335051994046,-0.11126329629629622,0.0,-0.0024238180039138912,0.0
Los Angeles Lakers,Brooklyn Nets,NBA,BetMGM,116.5,110.0,-275.0,220.0,6.5,-115.0,-105.0,226.5,-115.0,-105.0,LAL,BKN,116.81474420641378,110.30356995688548,Los Angeles Lakers,Brooklyn Nets,11.940089686278254,12.258771499590315,114.1846361185984,112.93443396226414,2024.0,0.499879,0.500004,0.525361,0.47452199999999994,0.6370509999999999,0.3412430000000001,0.021706000000000003,0.25336200000000003,0.24651700000000001,0.26128699999999994,0.23871699999999998,0.324168,0.312883,0.17948699999999998,0.161639,0.0,0.137172,0.0,0.0,0.07080600000000001,0.06636600000000001,-0.07526015000000003,0.0,-0.02499180000000001,0.0,-0.020473850000000127,0.0,-0.07722990000000024,0.0,-0.3610587500000003,0.0,0.04180800000000012,0.003845399500800025,-0.04529319999999992,0.0,-0.017472622641509505,0.0,-0.03781620754716983,0.0,-0.03220221708185053,0.0,-0.11185264516129029,0.0,0.014725353413654607,0.0010798434451220061,-0.10104290361445784,0.0,0.0019511904761904675,1.998750744047631e-05
Los Angeles Lakers,Brooklyn Nets,NBA,FanDuel,117.0,110.0,-295.0,240.0,7.0,-110.0,-110.0,227.0,-110.0,-110.0,LAL,BKN,116.81474420641378,110.30356995688548,Los Angeles Lakers,Brooklyn Nets,11.940089686278254,12.258771499590315,114.1846361185984,112.93443396226414,2024.0,0.476561,0.500004,0.5020300000000001,0.47452199999999994,0.6370509999999999,0.3412430000000001,0.021706000000000003,0.230251,0.23546499999999998,0.24988499999999997,0.23871699999999998,0.309041,0.312883,0.171283,0.161639,0.0,0.137172,0.0,0.0,0.067608,0.06636600000000001,-0.09922189999999997,0.0,-0.049991600000000025,0.0,-0.045736999999999806,0.0,-0.1035038000000002,0.0,-0.43364855000000035,0.0,0.06676091666666678,0.010696847986016706,-0.061320590909090894,0.0,-0.03424946969696974,0.0,-0.05413159090909092,0.0,-0.04964777272727275,0.0,-0.13388143589743584,0.0,0.020332726775956267,0.0022696745820198327,-0.12757661538461534,0.0,0.008932078324225878,0.00043800330731368
Miami Heat,Atlanta Hawks,NBA,DraftKings,116.75,110.25,-250.0,205.0,6.5,-110.0,-110.0,227.0,-110.0,-110.0,MIA,ATL,120.25572762384324,112.7066686013926,Miami Heat,Atlanta Hawks,12.449762293815256,12.352975594165816,111.29130234698572,120.01603773584908,2024.0,0.523485,0.47642999999999996,0.62991,0.348514,0.655894,0.323352,0.020754,0.32687400000000005,0.185145,0.295391,0.171014,0.40917099999999995,0.23241699999999998,0.19998500000000002,0.11609699999999998,0.0,0.132409,0.0,0.0,0.08229700000000001,0.047272,-0.0006815000000001126,0.0,-0.09949700000000011,0.0,0.22281099999999993,0.04513158338272728,-0.3681206,0.0,-0.20437100000000008,0.0,-0.006720195121951267,0.0,0.07190203030303038,0.01364854117888246,0.02849365151515154,0.002143384786400612,-0.12351219696969695,0.0,-0.14299584848484848,0.0,0.05538117964071848,0.005122015347523881,0.034006784232365195,0.005574143821844415,-0.22721353892215573,0.0,-0.06728536514522823,0.0
