oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Kentucky Wildcats,Miami Hurricanes,DraftKings,85.5,78.5,NCAAB,-285.0,230.0,7.0,-110.0,-110.0,164.0,-105.0,-115.0,UK,MIA,79.15046984773893,77.50587350921201,Kentucky Wildcats,Miami Hurricanes,16.675331081170974,18.91736415747889,2024.0,0.408051,0.576276,0.378293,0.6063630000000001,0.5257785,0.47422149999999996,0.135897,0.266119,0.23663199999999998,0.330525,0.1769,0.33345600000000003,0.195457,0.263494,0.0,0.094316,0.0,0.0,0.035239000000000006,0.057617999999999996,-0.2430929000000001,0.0,0.11017959999999999,0.011035949323781822,-0.27449935000000003,0.0,0.1536804500000002,0.020537113662784805,-0.8257527749999999,0.0,0.24562215217391298,0.13875955576865315,-0.18062424542124544,0.0,-0.04298997802197804,0.0,-0.019437809338521406,0.0,0.07002889105058363,0.012603397145160494,-0.32499024390243897,0.0,0.0475630661764706,0.012306614236743833,-0.10219367320261435,0.0,0.12103635976789168,0.07573946799490916
Kansas State Wildcats,Oral Roberts Golden Eagles,DraftKings,84.75,70.75,NCAAB,-1350.0,800.0,14.0,-108.0,-112.0,155.5,-110.0,-110.0,KSU,ORU,80.87839285062215,68.57708946738724,Kansas State Wildcats,Oral Roberts Golden Eagles,13.793718377097116,12.62405111945712,2024.0,0.453341,0.525156,0.373329,0.626422,0.7446285,0.2553715,0.182401,0.27094000000000007,0.18267799999999998,0.342478,0.28559,0.45043000000000005,0.08147399999999999,0.16504,0.0,0.261425,0.0,0.0,0.094939,0.16648599999999997,-0.13705071999999996,0.0,-0.006669280000000111,0.0,-0.31600909999999993,0.0,0.21548620000000007,0.04221300217312732,-2.70288675,0.0,0.16229293749999996,0.21071198049903114,-0.12267325373134322,0.0,-0.13047219157088127,0.0,-0.0010973134328357004,0.0,0.09055386206896554,0.021402005051929667,-0.3948004761904761,0.0,0.02470477873918417,0.009875076177492108,-0.07296999999999981,0.0,0.1134355500618047,0.20819815660839555
UAB Blazers,McNeese Cowboys,DraftKings,75.5,68.0,NCAAB,-305.0,245.0,7.5,-110.0,-110.0,143.5,-110.0,-110.0,UAB,MCN,72.510612899823,68.64989667976921,UAB Blazers,McNeese Cowboys,16.857808703556767,20.963573850167556,2024.0,0.443919,0.5559350000000001,0.467208,0.532646,0.5551355,0.4448645,0.17444600000000002,0.26947299999999996,0.292762,0.26317300000000005,0.22252500000000003,0.32521100000000003,0.237521,0.199798,0.0,0.10381699999999999,0.0,0.0,0.048079,0.055737999999999996,-0.1677701000000001,0.0,0.06746350000000012,0.004137567120227292,-0.11886319999999989,0.0,0.018556599999999923,0.0003130430941454512,-0.8017012250000002,0.0,0.21827858163265307,0.11673157103892884,-0.13826384848484843,0.0,0.024868818181818186,0.0016327294308872743,-0.007241772727272777,0.0,-0.01592813636363627,0.0,-0.28232889610389605,0.0,0.10112046332737032,0.05715969589880002,-0.11296367532467527,0.0,0.05664916279069768,0.017939023534918143
Brooklyn Nets,Toronto Raptors,DraftKings,112.75,111.25,NBA,-120.0,100.0,1.5,-110.0,-110.0,224.0,-115.0,-105.0,BKN,TOR,113.18440147485047,110.5472369330868,Brooklyn Nets,Toronto Raptors,15.6658818117965,20.653804900374777,2024.0,0.503478,0.49647600000000003,0.5077220000000001,0.47625999999999996,0.5273545000000001,0.47264549999999994,0.217767,0.27728899999999995,0.28995499999999996,0.198971,0.22575299999999998,0.28514599999999996,0.274045,0.183406,0.0,0.015843,0.0,0.0,0.007986,0.007857000000000001,-0.04269620000000007,0.0,-0.05740039999999991,0.0,-0.058397699999999775,0.0,-0.0736670000000002,0.0,-0.0398200999999998,0.0,-0.05470900000000012,0.0,-0.0866038171206226,0.0,0.013672898832684743,0.0004804567775962993,0.012559695970695894,0.00043064647865233963,-0.0944462161172161,0.0,-0.09286716460905348,0.0,0.0090979197080292,0.00022679567185766446,0.008070806201550318,0.00016805581487689585,-0.09817813793103447,0.0
Cleveland Cavaliers,Atlanta Hawks,DraftKings,121.5,117.5,NBA,-180.0,150.0,4.0,-112.0,-108.0,239.0,-105.0,-115.0,CLE,ATL,113.80411983580991,121.61144268970637,Cleveland Cavaliers,Atlanta Hawks,16.46636500477832,18.163696015436297,2024.0,0.30763,0.6777899999999999,0.43917700000000004,0.5446439999999999,0.37538950000000004,0.6246105,0.12193499999999999,0.180721,0.311074,0.35550499999999996,0.146896,0.214623,0.285433,0.32107600000000003,0.0,0.045277000000000005,0.0,0.0,0.018793,0.025484000000000003,-0.46782439999999986,0.0,0.3298031999999998,0.10071310252799992,-0.14968715,0.0,0.020984599999999798,0.0003829160323130333,-0.7489093999999998,0.0,0.37435083333333324,0.21020781962604163,-0.20327425925925927,0.0,0.06146313043478263,0.010426497271846963,-0.1418297874015748,0.0,0.10762230769230766,0.03011465889384613,-0.2712922352941176,0.0,0.10126624742268042,0.039788829124237514,-0.19656914659685865,0.0,0.13608308446866488,0.06796328357411621
Georgia Tech Yellow Jackets,Mississippi State Bulldogs,DraftKings,65.5,73.5,NCAAB,310.0,-395.0,-8.0,-112.0,-108.0,139.0,-110.0,-110.0,GT,MSST,64.46715186386515,75.49496130284487,Georgia Tech Yellow Jackets,Mississippi State Bulldogs,15.85822604623018,14.211497692596184,2024.0,0.43389599999999995,0.547305,0.5084630000000001,0.472553,0.3020835,0.6979165,0.237764,0.1879,0.260949,0.27586599999999994,0.164387,0.123888,0.33519499999999997,0.341131,0.12360499999999998,0.0,0.06449600000000001,0.056478,0.0,0.0,-0.20014048000000006,0.0,0.05839440000000007,0.00315732032533334,-0.03222769999999975,0.0,-0.10763869999999998,0.0,0.07694914516129031,0.018355629917265314,-0.4953133249999997,0.0,-0.05428044444444449,0.0,-0.014816298507462689,0.0,-0.12324942528735633,0.0,0.005666746268656653,8.60601955725358e-05,0.04204249048316254,0.012072509971163128,-0.14308197841726633,0.0,-0.004386084919472927,0.0,-0.13287547482014384,0.0
Pittsburgh Panthers,Missouri Tigers,DraftKings,77.5,71.0,NCAAB,-265.0,215.0,6.5,-108.0,-112.0,148.5,-115.0,-105.0,PITT,MIZ,75.87357624841555,69.3507647626499,Pittsburgh Panthers,Missouri Tigers,16.750124377647666,19.93429683927152,2024.0,0.499267,0.500607,0.450973,0.5489010000000001,0.597935,0.402065,0.19832100000000003,0.30094600000000005,0.252652,0.247955,0.240009,0.350456,0.204083,0.19038599999999997,0.0,0.091198,0.0,0.0,0.041687999999999996,0.04951,-0.04152464,0.0,-0.05871315999999993,0.0,-0.18040804999999988,0.0,0.07524705000000015,0.005392493841621441,-0.46753725,0.0,0.12395569767441861,0.033034782219796506,-0.11001707692307688,0.0,-0.04157949606299216,0.0,0.04766556521739135,0.006270736856681753,-0.030580185185185155,0.0,-0.2409979620253164,0.0,0.041318787321063366,0.008348414287991173,-0.03388956213017752,0.0,0.0331793980582524,0.005669493145866012
Indiana State Sycamores,Southern Illinois Salukis,DraftKings,76.0,69.0,NCAAB,-298.0,240.0,7.0,-112.0,-108.0,145.0,-115.0,-105.0,INST,SIU,75.04089832322762,72.18862008847022,Indiana State Sycamores,Southern Illinois Salukis,15.526321736543611,19.02804947089077,2024.0,0.42448800000000003,0.5592999999999999,0.5284230000000001,0.45522299999999993,0.545777,0.45422300000000004,0.19303399999999998,0.224608,0.32725899999999997,0.223209,0.252326,0.276382,0.267246,0.171496,0.0,0.09716,0.0,0.0,0.05116199999999999,0.044368000000000005,-0.2200854399999999,0.0,0.08334399999999981,0.00643168734814813,-0.013890549999999835,0.0,-0.11679285000000017,0.0,-0.8078075400000002,0.0,0.22681591666666673,0.1234691041280167,-0.12466914960629927,0.0,0.06851246153846152,0.01220428920375384,-0.06257422222222217,0.0,-0.05823701449275365,0.0,-0.2461233333333333,0.0,0.13053816417910447,0.09133553796686446,-0.1730701739130434,0.0,0.024598127659574476,0.0034125828677719155
Dallas Mavericks,Houston Rockets,DraftKings,116.75,112.75,NBA,-180.0,150.0,4.0,-112.0,-108.0,229.5,-108.0,-112.0,DAL,HOU,111.0552341719592,111.54255863032316,Dallas Mavericks,Houston Rockets,18.1047382643066,16.15008165188763,2024.0,0.42144000000000004,0.561976,0.39858899999999997,0.601353,0.49650249999999996,0.5034975,0.184559,0.236881,0.207328,0.35464799999999996,0.21072700000000003,0.277284,0.181196,0.31375200000000003,0.0,0.050045,0.0,0.0,0.019466,0.030579000000000002,-0.22654719999999984,0.0,0.08891008000000006,0.007319446597783718,-0.2509348800000001,0.0,0.1548683600000001,0.021414472258115734,-0.4097930000000001,0.0,0.1724958333333334,0.04463221877604169,-0.12315458490566036,0.0,-0.08517089298892988,0.0,-0.05890155813953485,0.0,0.11111894339622636,0.03272066189095846,-0.18390949999999998,0.0,-0.03371318635170603,0.0,-0.09525002061855675,0.0,0.1297713029490617,0.06281540468773239
Boston Celtics,Chicago Bulls,DraftKings,116.25,102.75,NBA,-900.0,600.0,13.5,-110.0,-110.0,219.0,-115.0,-105.0,BOS,CHI,119.97341582862634,92.55004850730197,Boston Celtics,Chicago Bulls,15.529120862793286,10.93093290244008,2024.0,0.762048,0.23789400000000002,0.369864,0.609606,0.9242454999999998,0.07575450000000017,0.322718,0.42272200000000004,0.047146,0.186884,0.35804800000000003,0.542848,0.010362999999999999,0.060458,0.0,0.15832100000000002,0.0,0.0,0.03533,0.12012599999999998,0.5003007999999999,0.22754626407330908,-0.6004225999999999,0.0,-0.35479240000000006,0.0,0.19969229999999993,0.0379781092183714,0.2424549999999983,0.006531603002777723,-0.07828641666666647,0.0,0.05918414785992221,0.009002101829816195,-0.32361431128404666,0.0,0.2112648571428572,0.12184765282760578,-0.11096068864468861,0.0,-0.2363519999999999,0.0,-0.07149283126550869,0.0,0.15211979487179483,0.027074305430449214,-0.01369685398579322,0.0
