oddsHomeTeam,oddsAwayTeam,sport,bookie,homeScoreOddsImplied,awayScoreOddsImplied,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,homeScoreZ,awayScoreZ,ovrZ,redFlag,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_tie,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Atlanta Hawks,Toronto Raptors,NBA,DraftKings,124.25,117.75,-230.0,190.0,6.5,-108.0,-112.0,242.0,-108.0,-112.0,ATL,TOR,123.85720577728416,120.32073553164597,Atlanta Hawks,Toronto Raptors,12.662157105191463,12.908104586799912,119.25870020964362,113.70398322851152,2024.0,0.3631692080139461,0.5126044849296365,0.8757736929435826,False,0.434327,0.565616,0.5462239999999999,0.43269199999999997,0.566418,0.41188800000000003,0.021693999999999998,0.22966399999999995,0.19533099999999998,0.30632399999999993,0.24666799999999994,0.30060800000000004,0.253576,0.22392199999999998,0.17911600000000003,0.0,0.132091,0.0,0.0,0.070944,0.058245,-0.17659983999999995,0.0,0.07910592000000005,0.005587273731291436,0.05614591999999985,0.002918855863561464,-0.20269296000000003,0.0,-0.4308206000000001,0.0,0.10235536842105264,0.019905580744757904,-0.05459282656826572,0.0,0.044559471698113085,0.005261698272739595,-0.10831767924528307,0.0,-0.045321147286821795,0.0,-0.09677381818181813,0.0,0.05484182570806098,0.013805002637699426,-0.18039144186046507,0.0,-0.0037089443207126427,0.0
Atlanta Hawks,Toronto Raptors,NBA,BetMGM,124.0,117.5,-250.0,190.0,6.5,-110.0,-110.0,241.5,-115.0,-105.0,ATL,TOR,123.85720577728416,120.32073553164597,Atlanta Hawks,Toronto Raptors,12.662157105191463,12.908104586799912,119.25870020964362,113.70398322851152,2024.0,0.3631692080139461,0.5126044849296365,0.8757736929435826,False,0.434327,0.565616,0.567251,0.43269199999999997,0.566418,0.41188800000000003,0.021693999999999998,0.238996,0.19533099999999998,0.31894799999999995,0.24666799999999994,0.312842,0.253576,0.232715,0.17911600000000003,0.0,0.132091,0.0,0.0,0.073846,0.058245,-0.18791329999999995,0.0,0.08779360000000003,0.00700701472814546,0.06958964999999989,0.004211060336628237,-0.16298140000000005,0.0,-0.517537,0.0,0.10235536842105264,0.019905580744757904,-0.0571145058365759,0.0,0.053947221789883204,0.007479478038836401,-0.09941954945054948,0.0,-0.029277787545787637,0.0,-0.11132960493827154,0.0,0.05912110859728506,0.01544925022943212,-0.17788295953757222,0.0,0.002960635193133082,4.084658108017236e-05
Atlanta Hawks,Toronto Raptors,NBA,FanDuel,124.0,117.5,-255.0,210.0,6.5,-110.0,-110.0,241.5,-110.0,-110.0,ATL,TOR,123.85720577728416,120.32073553164597,Atlanta Hawks,Toronto Raptors,12.662157105191463,12.908104586799912,119.25870020964362,113.70398322851152,2024.0,0.3631692080139461,0.5126044849296365,0.8757736929435826,False,0.434327,0.565616,0.567251,0.43269199999999997,0.566418,0.41188800000000003,0.021693999999999998,0.238996,0.19533099999999998,0.31894799999999995,0.24666799999999994,0.312842,0.253576,0.232715,0.17911600000000003,0.0,0.132091,0.0,0.0,0.073846,0.058245,-0.18791329999999995,0.0,0.08779360000000003,0.00700701472814546,0.0912270999999999,0.007565803431281812,-0.19134680000000004,0.0,-0.5392161000000001,0.0,0.1318346666666667,0.03649879660373336,-0.04926309090909092,0.0,0.06097375757575757,0.009814989658075144,-0.10946786363636368,0.0,-0.03868503030303039,0.0,-0.10110860240963854,0.0,0.07676276422764228,0.0289912081015935,-0.19607701204819278,0.0,0.012269658536585404,0.0007406790413736633
Detroit Pistons,Oklahoma City Thunder,NBA,DraftKings,113.75,126.25,600.0,-900.0,-12.5,-108.0,-112.0,240.0,-110.0,-110.0,DET,OKC,112.6883462836803,130.0449666304629,Detroit Pistons,Oklahoma City Thunder,14.223972959097528,16.6848031074471,111.7006289308176,121.01593291404612,2024.0,0.06944032835994442,0.5411531474642797,0.6105934758242241,False,0.425498,0.574433,0.53432,0.44748000000000004,0.214047,0.772203,0.013749999999999998,0.204457,0.213053,0.32272500000000004,0.241057,0.09701900000000001,0.113231,0.423551,0.334249,0.197701,0.0,0.100826,0.093192,0.0,0.0,-0.1949641600000001,0.0,0.09779795999999996,0.008539679446572843,0.02207199999999998,0.00044288471272727373,-0.16029199999999982,0.0,0.08305483333333333,0.04138863204016666,-1.2779700000000005,0.0,-0.09238740298507458,0.0,0.06323266283524909,0.01043574478450672,-0.08058394029850746,0.0,-0.0497257586206897,0.0,0.023962284789644017,0.0070970019013224615,-0.09113560714285707,0.0,0.041485935275080904,0.021272583725011777,-0.26017153571428564,0.0
Detroit Pistons,Oklahoma City Thunder,NBA,BetMGM,113.5,126.0,575.0,-900.0,-12.5,-110.0,-110.0,239.5,-110.0,-110.0,DET,OKC,112.6883462836803,130.0449666304629,Detroit Pistons,Oklahoma City Thunder,14.223972959097528,16.6848031074471,111.7006289308176,121.01593291404612,2024.0,0.06944032835994442,0.5411531474642797,0.6105934758242241,False,0.425498,0.574433,0.552451,0.44748000000000004,0.214047,0.772203,0.013749999999999998,0.212445,0.213053,0.333376,0.241057,0.100816,0.113231,0.43788499999999997,0.334249,0.197701,0.0,0.10450899999999999,0.093192,0.0,0.0,-0.2064542000000001,0.0,0.10630929999999994,0.010274242969536366,0.060147100000000064,0.0032887942167363774,-0.16029199999999982,0.0,0.07735952173913041,0.034410849721315195,-1.2779700000000005,0.0,-0.0858712878787879,0.0,0.0808669090909091,0.017264166442821822,-0.08503298484848487,0.0,-0.04642140909090911,0.0,0.025190768713204387,0.007545094709226044,-0.06400339285714285,0.0,0.038649923465096714,0.017761479182069648,-0.26017153571428564,0.0
Detroit Pistons,Oklahoma City Thunder,NBA,FanDuel,113.0,126.0,560.0,-800.0,-13.0,-110.0,-110.0,239.0,-110.0,-110.0,DET,OKC,112.6883462836803,130.0449666304629,Detroit Pistons,Oklahoma City Thunder,14.223972959097528,16.6848031074471,111.7006289308176,121.01593291404612,2024.0,0.06944032835994442,0.5411531474642797,0.6105934758242241,False,0.425498,0.556011,0.552451,0.42896500000000004,0.214047,0.772203,0.013749999999999998,0.212445,0.20540099999999997,0.323484,0.222336,0.100816,0.109168,0.43788499999999997,0.319797,0.197701,0.0,0.10450899999999999,0.089603,0.0,0.0,-0.2064542000000001,0.0,0.06762310000000005,0.004157166957827277,0.060147100000000064,0.0032887942167363774,-0.1991734999999999,0.0,0.07369824999999997,0.030416019497149973,-1.0501730000000002,0.0,-0.0858712878787879,0.0,0.0672279393939394,0.0119317330048097,-0.09558346969696971,0.0,-0.07223369696969698,0.0,0.023300137931034484,0.006297598560220687,-0.05091065217391316,0.0,0.03237213793103448,0.012156281645020688,-0.2716838695652174,0.0
Indiana Pacers,Memphis Grizzlies,NBA,DraftKings,120.25,111.25,-380.0,300.0,9.0,-108.0,-112.0,231.5,-105.0,-115.0,IND,MEM,124.46484394758568,111.7456853210836,Indiana Pacers,Memphis Grizzlies,13.39493257560423,12.39956690002314,124.6808510638298,107.2754716981132,2024.0,-0.016126032365219617,0.3605136904388219,0.37663972280404157,False,0.568596,0.409846,0.607967,0.391955,0.7476089999999999,0.23518100000000008,0.017210000000000007,0.353261,0.21533500000000003,0.23511,0.174736,0.458585,0.289024,0.13217199999999998,0.102931,0.0,0.157533,0.0,0.0,0.092757,0.064776,0.10267968,0.009762145078613348,-0.2511264800000001,0.0,0.19633235000000004,0.03671084919668811,-0.30729674999999995,0.0,-0.2114768000000007,0.0,-0.019758666666666536,0.0,0.11893527536231882,0.03904185524240926,-0.04818259259259253,0.0,-0.0864592307692307,0.0,-0.15017108661417322,0.0,0.09027547619047621,0.01198000255408333,0.0047376387665197806,0.00015285195556863184,-0.23375247058823528,0.0,-0.035505574074074064,0.0
Indiana Pacers,Memphis Grizzlies,NBA,BetMGM,120.0,111.5,-375.0,290.0,8.5,-110.0,-110.0,231.5,-110.0,-110.0,IND,MEM,124.46484394758568,111.7456853210836,Indiana Pacers,Memphis Grizzlies,13.39493257560423,12.39956690002314,124.6808510638298,107.2754716981132,2024.0,-0.016126032365219617,0.3605136904388219,0.37663972280404157,False,0.590076,0.409846,0.607967,0.391955,0.7476089999999999,0.23518100000000008,0.017210000000000007,0.365828,0.22424799999999998,0.23511,0.174736,0.458585,0.289024,0.13217199999999998,0.102931,0.0,0.157533,0.0,0.0,0.092757,0.064776,0.1391596000000001,0.017604903883781855,-0.23932340000000013,0.0,0.17673070000000007,0.028394309384081863,-0.2768945,0.0,-0.19885725000000065,0.0,-0.028549689655172295,0.0,0.12561133333333335,0.04165446664309333,-0.05462106060606056,0.0,-0.06959745454545455,0.0,-0.137864,0.0,0.07730683098591551,0.008486411486260559,-0.0023749767441860747,0.0,-0.211663323943662,0.0,-0.03614946511627906,0.0
Indiana Pacers,Memphis Grizzlies,NBA,FanDuel,120.25,111.25,-420.0,330.0,9.0,-108.0,-112.0,231.5,-110.0,-110.0,IND,MEM,124.46484394758568,111.7456853210836,Indiana Pacers,Memphis Grizzlies,13.39493257560423,12.39956690002314,124.6808510638298,107.2754716981132,2024.0,-0.016126032365219617,0.3605136904388219,0.37663972280404157,False,0.568596,0.409846,0.607967,0.391955,0.7476089999999999,0.23518100000000008,0.017210000000000007,0.353261,0.21533500000000003,0.23511,0.174736,0.458585,0.289024,0.13217199999999998,0.102931,0.0,0.157533,0.0,0.0,0.092757,0.064776,0.10267968,0.009762145078613348,-0.2511264800000001,0.0,0.17673070000000007,0.028394309384081863,-0.2768945,0.0,-0.31243320000000085,0.0,0.0034176666666667632,3.854546996666877e-05,0.11194047761194031,0.03358219701501135,-0.057951302681992306,0.0,-0.07745044776119395,0.0,-0.1414571034482759,0.0,0.060485735294117715,0.004975592876735308,0.011807506241331464,0.0010051980382377783,-0.23375247058823528,0.0,-0.021489110957004162,0.0
Orlando Magic,Phoenix Suns,NBA,DraftKings,113.0,114.5,-102.0,-118.0,-1.5,-115.0,-105.0,227.5,-108.0,-112.0,ORL,PHX,110.75036672005324,107.86365560255692,Orlando Magic,Phoenix Suns,11.974472685560574,12.047065882745189,110.54858671293285,116.1799698349796,2024.0,0.016850846999192485,-0.6903186479899642,0.7071694949891567,False,0.601655,0.39821,0.316712,0.683153,0.555555,0.42125499999999994,0.023190000000000002,0.180091,0.421564,0.12064200000000001,0.277568,0.166219,0.389336,0.127303,0.293817,0.02291,0.0,0.006661,0.016249000000000003,0.0,0.0,0.1435582500000001,0.01792084447222828,-0.23366950000000003,0.0,-0.42123904,0.0,0.32828436000000005,0.09622376876840143,0.10222110000000001,0.010244267926676483,-0.2616641000000002,0.0,-0.13525861538461537,0.0,-0.19796597101449276,0.0,0.19383329133858268,0.0954312158711156,0.010000592592592616,0.00027003200094814837,-0.1305002170818505,0.0,-0.213594265625,0.0,0.16727636363636367,0.07694880003636366,0.011343800000000015,0.0003217044961000015
