oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_tie,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Brooklyn Nets,Portland Trail Blazers,DraftKings,117.5,109.0,NBA,-345.0,275.0,8.5,-112.0,-108.0,226.5,-110.0,-110.0,BKN,POR,121.813029156735,106.62208475508324,Brooklyn Nets,Portland Trail Blazers,13.522636399480206,13.146891358774273,114.20335429769392,107.27524972253052,2024,0.636924,0.363021,0.55021,0.44973499999999994,0.780942,0.203619,0.015438999999999996,0.350704,0.28622000000000003,0.19211899999999998,0.17090200000000003,0.4277000000000001,0.353242,0.107071,0.096493,0.0,0.144018,0.0,0.0,0.076996,0.067022,0.23027888000000013,0.047346752298262906,-0.32491632,0.0,0.05544099999999996,0.002794276800909084,-0.15555650000000004,0.0,0.025191900000000156,0.00018395125379999913,-0.08597409090909092,0.0,0.10193158620689657,0.027118025975966898,-0.10932913432835822,0.0,0.012741072796934871,0.0004236941830038318,-0.1384629253731343,0.0,0.035713698630137125,0.0018621836739726148,-0.037885006493506485,0.0,-0.08974293150684931,0.0,-0.050180214285714286,0.0
Cleveland Cavaliers,San Antonio Spurs,DraftKings,122.0,111.5,NBA,-520.0,390.0,10.5,-112.0,-108.0,233.5,-110.0,-110.0,CLE,SA,125.01449061577826,98.83538988887504,Cleveland Cavaliers,San Antonio Spurs,13.302161534689128,12.751847137687657,112.45013477088948,110.5638179800222,2024,0.7985899999999999,0.20133899999999996,0.30991399999999997,0.6900149999999999,0.9166169999999999,0.07529200000000014,0.008090999999999996,0.24779899999999996,0.550791,0.056379,0.14496,0.281356,0.6352610000000001,0.020467,0.054754,0.0,0.118027,0.0,0.0,0.033557,0.08446999999999999,0.5730107999999998,0.2931619436755712,-0.6612148800000002,0.0,-0.4491806,0.0,0.34903149999999983,0.11074817090204536,0.48302539999999944,0.04486798789329988,-0.16181261538461522,0.0,-0.04040061685823762,0.0,-0.29571838805970146,0.0,0.37868027203065135,0.3742707333897932,-0.17408477611940296,0.0,-0.28008462500000003,0.0,-0.09684234131736527,0.0,0.3503086562500001,0.1570766779439114,-0.0584491137724551,0.0
Dallas Mavericks,Minnesota Timberwolves,DraftKings,113.5,116.0,NBA,124.0,-148.0,-2.5,-110.0,-110.0,229.5,-110.0,-110.0,DAL,MIN,106.97601057172166,114.07434181414294,Dallas Mavericks,Minnesota Timberwolves,13.010532608457368,13.208423990289392,119.08333333333331,112.77192008879024,2024,0.40295700000000007,0.596976,0.33930600000000005,0.660627,0.341602,0.6382239999999999,0.020174,0.128763,0.274194,0.19696699999999998,0.40000900000000006,0.108949,0.23265300000000003,0.21018299999999998,0.427974,0.041181,0.0,0.013216,0.027964999999999997,0.0,0.0,-0.25379029999999997,0.0,0.1536495999999999,0.021461999618327256,-0.3874573999999999,0.0,0.2873166999999999,0.07504626008989995,-0.18936412903225813,0.0,0.1027955199999997,0.007139810089236719,-0.20125101515151514,0.0,-0.10721216666666669,0.0,-0.0007325151515151229,0.0,0.17273968181818192,0.07877495386106736,-0.16271289024390245,0.0,-0.14882472727272725,0.0,-0.001294256097560953,0.0,0.1679621818181819,0.06206484794647279
Denver Nuggets,Detroit Pistons,DraftKings,126.0,109.5,NBA,-1800.0,1000.0,16.5,-110.0,-110.0,235.5,-108.0,-112.0,DEN,DET,124.9406566357473,98.68977430485954,Denver Nuggets,Detroit Pistons,13.339439490929976,12.807496706096552,115.58333333333331,110.67223719676552,2024,0.694622,0.30531800000000003,0.269594,0.730346,0.91638,0.07553500000000002,0.008084999999999997,0.188615,0.506007,0.07494600000000001,0.230372,0.24376400000000004,0.672616,0.017745,0.05773,0.0,0.22175799999999998,0.0,0.0,0.055149000000000004,0.166609,0.3587061999999999,0.11697285265312725,-0.45883219999999997,0.0,-0.51924448,0.0,0.42833352000000013,0.16381214674606295,-0.5887800000000005,0.0,-0.016911499999999982,0.0,-0.11414059701492538,0.0,-0.27022340298507463,0.0,0.31673765134099613,0.26184235081799717,-0.0645046283524904,0.0,-0.4904457087378639,0.0,-0.030905569588905394,0.0,0.345232,0.11918513382399999,0.01018862764883955,0.002057477203327949
Golden State Warriors,Toronto Raptors,DraftKings,120.25,117.75,NBA,-142.0,120.0,2.5,-112.0,-108.0,238.0,-110.0,-110.0,GS,TOR,120.52908521665604,110.20085105217888,Golden State Warriors,Toronto Raptors,12.983078609191418,12.7714331248299,116.41509433962264,113.87654986522912,2024,0.665963,0.33397600000000005,0.34806,0.6323350000000001,0.7048800000000001,0.27635999999999994,0.018760000000000002,0.225713,0.42684999999999995,0.109577,0.217481,0.23856299999999997,0.452125,0.090737,0.18020999999999998,0.0,0.038917,0.0,0.0,0.012849999999999999,0.025275000000000006,0.29184155999999994,0.07604597869931569,-0.3853299199999999,0.0,-0.36907399999999996,0.0,0.2279035000000002,0.047218186647500084,0.2858096000000001,0.057526146093070475,-0.3266733333333335,0.0,-0.0709486858237548,0.0,-0.22267038805970146,0.0,0.20725229885057464,0.112108675138793,-0.0745037014925373,0.0,-0.0998534444444445,0.0,-0.19340768749999998,0.0,0.208625,0.09792987890625,-0.07597437499999998,0.0
Los Angeles Lakers,LA Clippers,DraftKings,113.0,118.0,NBA,164.0,-198.0,-5.0,-108.0,-112.0,231.0,-112.0,-108.0,LAL,LAC,106.98630857736168,112.94458250499568,Los Angeles Lakers,LA Clippers,12.679115955008964,12.815311344254244,113.46540880503144,116.6237513873474,2024,0.46859900000000004,0.5091829999999999,0.27701899999999996,0.70456,0.360543,0.618344,0.021112999999999996,0.12095899999999998,0.339328,0.135022,0.365008,0.09272599999999999,0.261058,0.16318000000000002,0.443502,0.08694299999999999,0.0,0.022605000000000004,0.062785,0.0,0.0,-0.10531407999999992,0.0,-0.0405320400000001,0.0,-0.53271972,0.0,0.3854847999999999,0.1375912324361481,-0.029369804878048744,0.0,-0.13733487999999994,0.0,-0.2107545849056604,0.0,-0.2002407906976744,0.0,0.09553759409594101,0.02473534041008651,0.12538837735849057,0.04166394971797734,-0.1340925,0.0,-0.28915513513513513,0.0,0.07994476470588238,0.026075954847825898,0.1506083157894737,0.04309744309138947
Orlando Magic,Atlanta Hawks,DraftKings,118.5,120.5,NBA,110.0,-130.0,-2.0,-112.0,-108.0,239.0,-110.0,-110.0,ORL,ATL,124.13924365755504,114.24211733069728,Orlando Magic,Atlanta Hawks,13.325742118769435,13.180594339893474,113.13497536945812,122.1509433962264,2024,0.72786,0.254744,0.485506,0.49319499999999994,0.691209,0.290096,0.018695000000000003,0.34741999999999995,0.364782,0.120017,0.12909099999999998,0.33009,0.346184,0.13672099999999998,0.147011,0.017956000000000003,0.0,0.008284,0.008948999999999999,0.0,0.0,0.4230631999999999,0.15980577785199995,-0.5501324799999998,0.0,-0.08043739999999999,0.0,-0.06429050000000014,0.0,0.41048990909090904,0.1853521620120091,-0.6327791999999999,0.0,0.09738934865900373,0.024755028456107223,-0.20833486567164178,0.0,0.12140345593869728,0.038468265687172556,-0.19587504477611942,0.0,0.10752853820598005,0.034802783451431875,-0.22600126890756306,0.0,0.12896938205980066,0.05006563554174935,-0.2113877394957983,0.0
Phoenix Suns,Memphis Grizzlies,DraftKings,116.75,112.75,NBA,-175.0,145.0,4.0,-110.0,-110.0,229.5,-110.0,-110.0,PHX,MEM,116.15158840924826,101.19172512980472,Phoenix Suns,Memphis Grizzlies,13.092438196600671,12.719166895169236,114.55643155115006,106.81132075471696,2024,0.71388,0.267605,0.267598,0.732348,0.783795,0.200322,0.015883,0.18643200000000001,0.527448,0.064465,0.20314,0.20369099999999998,0.580104,0.048024,0.15224400000000002,0.0,0.051454,0.0,0.0,0.012484999999999994,0.038969,0.3991479999999999,0.1448355690036363,-0.5380295,0.0,-0.5380442,0.0,0.4379308,0.17434853235330913,0.40543625000000005,0.0939306016080357,-0.35118006896551723,0.0,-0.12173769696969691,0.0,-0.28990431818181817,0.0,0.3484510303030304,0.3205438381708025,-0.09870090909090912,0.0,-0.19446350000000004,0.0,-0.21066513043478258,0.0,0.37015599999999993,0.2740309286719999,-0.07812447826086952,0.0
Sacramento Kings,New Orleans Pelicans,DraftKings,118.75,115.75,NBA,-148.0,124.0,3.0,-110.0,-110.0,234.5,-110.0,-110.0,SAC,NO,110.25076496319888,111.8803807726528,Sacramento Kings,New Orleans Pelicans,12.943361718937515,12.931691434316637,116.86291094186537,115.0041928721174,2024,0.38960900000000004,0.5892050000000001,0.266806,0.7331719999999999,0.4537439999999999,0.5243930000000001,0.021862999999999997,0.097466,0.292143,0.147374,0.4418310000000001,0.11368399999999998,0.34006000000000003,0.131259,0.393112,0.0,0.042971,0.0,0.0,0.010783000000000001,0.032188,-0.2818210999999999,0.0,0.1373305000000002,0.017145151118409144,-0.5397074000000001,0.0,0.43966119999999986,0.17572906435039992,-0.3547148800000002,0.0,0.14083896774193566,0.024596162394921378,-0.24440293939393937,0.0,-0.1755903939393939,0.0,0.024015348484848487,0.001522585581920608,0.2304033484848486,0.14014625590160076,-0.28918690909090905,0.0,-0.13360106097560978,0.0,0.040087272727272805,0.003535376756363645,0.20808517073170732,0.14202215755329559
Belmont Bruins,Drake Bulldogs,DraftKings,75.0,79.5,NCAAB,175.41666666666666,-212.41666666666666,-4.5,-105.0,-115.0,154.5,-115.0,-105.0,BEL,DRKE,72.27834187624889,84.76889429644513,Belmont Bruins,Drake Bulldogs,12.56164550241037,12.62043636454037,78.05128205128204,78.1025641025641,2024,0.326579,0.6732319999999999,0.5650759999999999,0.43473500000000004,0.232591,0.749825,0.017584000000000002,0.181153,0.145426,0.375966,0.29726600000000003,0.12914599999999998,0.10344500000000001,0.418346,0.33129000000000003,0.076404,0.0,0.04238,0.034024,0.0,0.0,-0.3805130500000001,0.0,0.29744879999999985,0.07693546836646949,0.06491339999999979,0.0036641299996173575,-0.15879324999999994,0.0,-0.2048868147268409,0.0,0.2184116041666666,0.022457573401956844,-0.1278458679245283,0.0,0.12635240000000003,0.03991232246440002,-0.1586928612099644,0.0,0.032083358490566094,0.0027277560138905766,-0.0806983373493976,0.0,0.08597228571428572,0.012934659344142854,-0.10124792237442923,0.0,-0.026308930481283355,0.0
