oddsHomeTeam,oddsAwayTeam,bookie,homeScoreOddsImplied,awayScoreOddsImplied,sport,homeMoneyLine,awayMoneyLine,gameLine,homeCover,awayCover,overUnder,over,under,homeTeamAbbrev,awayTeamAbbrev,homeScore,awayScore,homeTeam,awayTeam,homeGameScoreStd,awayGameScoreStd,homeScoreAvg,awayScoreAvg,season,p_homeCover,p_awayCover,p_over,p_under,p_homeWin,p_awayWin,p_homeCoverOver,p_homeCoverUnder,p_awayCoverOver,p_awayCoverUnder,p_homeWinOver,p_homeWinUnder,p_awayWinOver,p_awayWinUnder,p_homeCoverAwayWin,p_awayCoverHomeWin,p_homeCoverOverAwayWin,p_homeCoverUnderAwayWin,p_awayCoverOverHomeWin,p_awayCoverUnderHomeWin,k_homeCover,r_homeCover,k_awayCover,r_awayCover,k_over,r_over,k_under,r_under,k_homeWin,r_homeWin,k_awayWin,r_awayWin,k_homeCoverOver,r_homeCoverOver,k_awayCoverOver,r_awayCoverOver,k_homeCoverUnder,r_homeCoverUnder,k_awayCoverUnder,r_awayCoverUnder,k_homeWinOver,r_homeWinOver,k_awayWinOver,r_awayWinOver,k_homeWinUnder,r_homeWinUnder,k_awayWinUnder,r_awayWinUnder
Colorado Buffaloes,Utah Tech Trailblazers,DraftKings,85.5,61.5,NCAAB,-8241.333333333334,1779.1666666666667,24.0,-110.0,-110.0,147.0,-115.0,-105.0,COLO,UTU,85.26743747070759,62.27064537522863,Colorado Buffaloes,Utah Tech Trailblazers,16.6504755042249,14.643547961030963,83.58,66.38,2024.0,0.46720199999999995,0.5144580000000001,0.499275,0.482429,0.8485695,0.15143050000000002,0.252891,0.205549,0.23709100000000002,0.267936,0.43301799999999996,0.394716,0.06136200000000001,0.081935,0.0,0.35779400000000006,0.0,0.0,0.17083399999999999,0.180223,-0.11887580000000014,0.0,-0.019638199999999828,0.0,-0.07655875000000001,0.0,-0.06102055000000006,0.0,-11.631322773333336,0.0,0.10373572716627638,0.1914579235723245,-0.03781289105058372,0.0,-0.059760750972762594,0.0,-0.08545869230769229,0.0,-0.00021931135531139123,0.0,-0.20404042696629227,0.0,0.03386015411661296,0.039130387556010685,-0.22292073469387746,0.0,0.05621168814794059,0.11277161613571086
Davidson Wildcats,South Carolina Upstate Spartans,DraftKings,76.25,62.25,NCAAB,-1100.0,700.0,14.0,-110.0,-110.0,138.5,-110.0,-110.0,DAV,UPST,74.27245636467254,60.37704691627234,Davidson Wildcats,South Carolina Upstate Spartans,14.49026237369908,17.87853418103797,69.88888888888889,65.0,2024.0,0.478235,0.504056,0.443514,0.556469,0.7209985,0.2790015,0.183867,0.29436799999999996,0.252141,0.251915,0.290899,0.42266899999999996,0.145601,0.12595299999999998,0.0,0.21764099999999997,0.0,0.0,0.099526,0.11811499999999998,-0.09570650000000008,0.0,-0.04148240000000014,0.0,-0.16862060000000006,0.0,0.06858489999999995,0.004276262280009095,-2.348018,0.0,0.17600171428571432,0.21683622402057148,-0.12527428787878786,0.0,-0.03113892424242426,0.0,0.02708315151515145,0.0019364323334205994,-0.0314505303030303,0.0,-0.3656759999999999,0.0,0.08572720882971269,0.10487243234237231,-0.11189674074074074,0.0,0.06470233426769445,0.05973981469175443
Fairleigh Dickinson Knights,Fairfield Stags,DraftKings,76.75,79.25,NCAAB,114.0,-135.0,-2.5,-110.0,-110.0,156.0,-105.0,-115.0,FDU,FAIR,76.7708104600534,75.38363650478452,Fairleigh Dickinson Knights,Fairfield Stags,17.004193853668546,17.401301207846558,76.0,70.0,2024.0,0.5634370000000001,0.436578,0.428514,0.555187,0.5225225,0.4774775,0.237961,0.31618,0.190553,0.23900700000000002,0.21689,0.289109,0.20458700000000002,0.257079,0.032623,0.0,0.014033999999999996,0.018072000000000005,0.0,0.0,0.08321770000000017,0.006295623266627295,-0.18318619999999997,0.0,-0.17154629999999998,0.0,0.04365204999999994,0.0016569577993065152,0.10368258771929822,0.012255090055633747,-0.227927875,0.0,-0.04117416483516481,0.0,-0.10594773260073262,0.0,0.05010217898832686,0.006451286832202334,-0.05709922568093384,0.0,-0.029371006289308166,0.0,-0.12683508333333332,0.0,0.05214533333333335,0.008157407365333337,-0.0731081111111111,0.0
George Washington Revolutionaries,Alcorn State Braves,DraftKings,87.0,72.0,NCAAB,-1350.0,800.0,15.0,-115.0,-105.0,159.0,-112.0,-108.0,GW,ALCN,85.39611675655834,67.14427987363091,George Washington Revolutionaries,Alcorn State Braves,19.31620240250006,15.991389799515332,76.62,67.54545454545455,2024.0,0.533839,0.44994100000000004,0.380609,0.603639,0.7619404999999999,0.2380595000000001,0.22720600000000002,0.297869,0.14734199999999997,0.29613500000000004,0.307155,0.436174,0.06909900000000001,0.159239,0.0,0.205645,0.0,0.0,0.073888,0.12867,-0.002246150000000169,0.0,-0.12762094999999996,0.0,-0.31310892,0.0,0.17556912000000008,0.02854121842368004,-2.451862750000002,0.0,0.1428169375000001,0.16317342109503152,-0.07704360629921259,0.0,-0.16845725925925925,0.0,0.027818615384615386,0.0020120759409846143,0.041111449275362366,0.004664817481797112,-0.36551004854368924,0.0,0.011062778054862846,0.0019630563349901267,-0.09076618691588773,0.0,0.1077533294549908,0.1896040375410224
Harvard Crimson,Holy Cross Crusaders,DraftKings,79.0,64.0,NCAAB,-1450.0,850.0,15.0,-110.0,-110.0,143.0,-110.0,-110.0,HARV,HC,74.37416555125603,67.58704176395953,Harvard Crimson,Holy Cross Crusaders,15.416809216013316,13.210943257944413,72.26666666666667,61.888888888888886,2024.0,0.333961,0.6478340000000001,0.47007599999999994,0.510209,0.6310404999999999,0.3689595000000001,0.179506,0.148124,0.28184,0.353515,0.31534,0.293899,0.14617000000000002,0.206217,0.0,0.269633,0.0,0.0,0.12710399999999997,0.13720500000000002,-0.3986819000000001,0.0,0.2604514000000003,0.06166811978360014,-0.11284040000000017,0.0,-0.028561100000000006,0.0,-4.718872250000001,0.0,0.2947194411764707,0.738306166562655,-0.13128718181818183,0.0,0.009809696969696968,0.00025404760824242385,-0.17455630303030298,0.0,0.10863431818181823,0.031155735829227302,-0.3429869230769231,0.0,0.09635494749124857,0.15913248902954735,-0.3850442692307692,0.0,0.1599052730455076,0.43826459540057794
Hawai'i Rainbow Warriors,Portland Pilots,DraftKings,79.25,70.25,NCAAB,-455.0,350.0,9.0,-110.0,-110.0,149.5,-110.0,-110.0,HAW,PORT,80.6281054018279,70.2133390920503,Hawai'i Rainbow Warriors,Portland Pilots,14.686565379948828,12.150660573694417,77.42857142857143,72.8,2024.0,0.519116,0.45996000000000004,0.528005,0.47191099999999997,0.707488,0.292512,0.303985,0.215131,0.213324,0.24663599999999997,0.39478900000000006,0.30365200000000003,0.124146,0.159235,0.0,0.15848500000000001,0.0,0.0,0.080108,0.078377,-0.009856399999999987,0.0,-0.13408399999999998,0.0,0.008810499999999832,7.056810022727146e-05,-0.10898690000000011,0.0,-0.6234415999999999,0.0,0.09037257142857141,0.028585205833142845,0.04034295454545456,0.0042967425110454595,-0.08465933333333325,0.0,-0.08216786363636366,0.0,-0.03872915151515155,0.0,-0.06025686466165403,0.0,0.008750216073781292,0.0005811380753543611,-0.21991792481202999,0.0,0.048462272727272715,0.017825812353204535
Houston Cougars,Texas State Bobcats,DraftKings,76.75,49.25,NCAAB,-14375.0,2300.0,27.5,-112.0,-108.0,126.0,-110.0,-110.0,HOU,TXST,75.76422215654839,46.69110628303662,Houston Cougars,Texas State Bobcats,14.580846799143034,22.081207312903366,75.81818181818181,65.11111111111111,2024.0,0.434408,0.565556,0.522863,0.459804,0.8379989999999999,0.16200100000000006,0.19765200000000002,0.228161,0.32521100000000003,0.231643,0.407278,0.41085799999999995,0.10950299999999999,0.045357999999999996,0.0,0.39862000000000003,0.0,0.0,0.209626,0.182697,-0.19905503999999996,0.0,0.09635647999999991,0.008596825220361471,-0.0019877000000000367,0.0,-0.13441160000000008,0.0,-22.449644750000008,0.0,0.1255662608695653,0.36263837498156565,-0.10976102681992336,0.0,0.07342405970149257,0.014448128015369578,-0.06756275478927204,0.0,-0.05505737313432835,0.0,-0.23698504347826083,0.0,0.08963470459616242,0.36010092361361107,-0.22951373913043482,0.0,0.024058535475234268,0.025942404451331395
Indiana Hoosiers,North Alabama Lions,DraftKings,80.75,66.75,NCAAB,-1050.0,650.0,14.0,-108.0,-112.0,147.5,-108.0,-112.0,IU,UNA,74.676764673015,64.66507867796277,Indiana Hoosiers,North Alabama Lions,14.15476970069634,17.748562284967274,73.54545454545455,69.48666666666666,2024.0,0.41523,0.5672169999999999,0.36384000000000005,0.6360979999999999,0.6667575000000001,0.3332424999999999,0.120593,0.29463700000000004,0.23709799999999998,0.330119,0.20957699999999999,0.44907699999999995,0.147705,0.17737199999999997,0.0,0.22593300000000002,0.0,0.0,0.082835,0.14309799999999998,-0.2163216,0.0,0.08250003999999972,0.0060770148214299565,-0.32321279999999986,0.0,0.2285277599999999,0.0466294081166228,-2.8322887499999987,0.0,0.23066442307692295,0.34583949447716306,-0.20391142804428047,0.0,-0.05078954716981132,0.0,0.02846228301886794,0.0021467691198122714,0.07047520155038761,0.012814225406604804,-0.5025157927927927,0.0,0.08429019345238095,0.09548900541250298,-0.06580430841121498,0.0,0.11505169696969694,0.174726987278012
Iona Gaels,Colgate Raiders,DraftKings,70.25,68.75,NCAAB,-122.0,102.0,1.5,-110.0,-110.0,139.0,-115.0,-105.0,IONA,COLG,72.27938256132501,65.18109921095393,Iona Gaels,Colgate Raiders,12.265387165542306,12.94489279466315,70.54545454545455,65.6,2024.0,0.623118,0.376766,0.454563,0.523009,0.6545535,0.3454465,0.27536900000000003,0.334056,0.17919400000000002,0.18895299999999998,0.28488199999999997,0.34473299999999996,0.159883,0.167351,0.0,0.02107400000000001,0.0,0.0,0.009512999999999999,0.010676999999999999,0.2085477999999999,0.03953834989530907,-0.3087914000000001,0.0,-0.17268954999999991,0.0,0.022168449999999895,0.0004680382622880889,0.23310877000000002,0.04454073659910896,-0.2962726176470588,0.0,-0.006588587548638114,0.0,-0.14018576653696496,0.0,0.0901204688644689,0.022172238019800165,-0.10813381318681325,0.0,-0.013083833333333406,0.0,-0.14231735971223025,0.0,0.08776554901960776,0.019642118566518593,-0.11586294557823126,0.0
Iowa State Cyclones,Eastern Illinois Panthers,DraftKings,85.0,53.0,NCAAB,-7500.0,1600.0,32.0,-110.0,-110.0,138.0,-105.0,-115.0,ISU,EIU,88.810603845776,53.52462206275895,Iowa State Cyclones,Eastern Illinois Panthers,16.9531898828484,14.98820938145936,88.8,61.85714285714285,2024.0,0.5305629999999999,0.451104,0.575635,0.40635899999999997,0.9381324999999999,0.061867500000000075,0.329227,0.19185800000000003,0.23636600000000005,0.206966,0.545303,0.373387,0.027703,0.030313999999999994,0.0,0.386614,0.0,0.0,0.206034,0.17399400000000004,0.014182299999999759,0.00018285239389999436,-0.15268160000000003,0.0,0.13005174999999997,0.016108054931488095,-0.27632815000000016,0.0,-3.7019300000000053,0.0,0.00323421875000008,0.00016736273476563291,0.08352260439560436,0.019044549464917234,-0.04335341391941386,0.0,-0.12259414007782099,0.0,-0.10160754085603116,0.0,0.08132646938775506,0.006481714730615917,-0.002501939422180806,0.0,-0.3306725505617977,0.0,-0.0011897686809616698,0.0
