index,probability,odds,legs,kelly,unitPercent,unitReturn
MSST_MISS_NCAAF_awayCover | SEA_SF_NFL_over,0.5614455689494974,258.0,2,"(0.3914632313330235, 0.3953681306330861)",0.3914632313330235,0.3953681306330861
DET_GB_NFL_homeCover | SEA_SF_NFL_awayCover,0.45657608010450595,265.0,2,"(0.25151044995526295, 0.1676323920572519)",0.25151044995526295,0.1676323920572519
DET_GB_NFL_over | SEA_SF_NFL_awayWin,0.5399954951608109,150.0,2,"(0.2333258252680182, 0.08166141110550262)",0.2333258252680182,0.08166141110550262
MSST_MISS_NCAAF_awayWin | DAL_WSH_NFL_awayWin,0.16941465288067709,753.0,2,"(0.05911115392724775, 0.02631078774513916)",0.05911115392724775,0.02631078774513916
