homeTeamAbbrev,awayTeamAbbrev,sport,index,probability,odds,kelly,unitPercent,unitReturn
CHA,PHI,NBA,homeCover,0.335104,-105.0,"(-0.3630368, 0)",-0.3630368,0.0
CHA,PHI,NBA,awayCover,0.664797,-115.0,"(0.2793135499999999, 0.06784005149008904)",0.2793135499999999,0.06784005149008904
CHA,PHI,NBA,over,0.5272159999999999,-108.0,"(0.016609279999999838, 0.00025543350196147657)",0.016609279999999838,0.00025543350196147657
CHA,PHI,NBA,under,0.44849799999999995,-112.0,"(-0.1691842400000001, 0)",-0.1691842400000001,0.0
CHA,PHI,NBA,homeWin,0.157288,350.0,"(-0.08348685714285714, 0)",-0.08348685714285714,0.0
CHA,PHI,NBA,awayWin,0.842712,-455.0,"(0.12705160000000004, 0.003547716277485733)",0.12705160000000004,0.003547716277485733
CLE,ATL,NBA,homeCover,0.31275000000000003,-108.0,"(-0.4294799999999999, 0)",-0.4294799999999999,0.0
CLE,ATL,NBA,awayCover,0.6871959999999999,-112.0,"(0.33685551999999985, 0.10131396549506277)",0.33685551999999985,0.10131396549506277
CLE,ATL,NBA,over,0.355382,-110.0,"(-0.35369780000000006, 0)",-0.35369780000000006,0.0
CLE,ATL,NBA,under,0.644564,-110.0,"(0.25358440000000004, 0.05845913447578185)",0.25358440000000004,0.05845913447578185
CLE,ATL,NBA,homeWin,0.3686384999999999,-135.0,"(-0.4836995250000003, 0)",-0.4836995250000003,0.0
CLE,ATL,NBA,awayWin,0.6313615000000001,114.0,"(0.3079943947368423, 0.10814102379581773)",0.3079943947368423,0.10814102379581773
DEN,OKC,NBA,homeCover,0.3562390000000001,-112.0,"(-0.36477331999999973, 0)",-0.36477331999999973,0.0
DEN,OKC,NBA,awayCover,0.643684,-108.0,"(0.25886272000000005, 0.06204621093129484)",0.25886272000000005,0.06204621093129484
DEN,OKC,NBA,over,0.33239100000000005,-112.0,"(-0.4153310799999998, 0)",-0.4153310799999998,0.0
DEN,OKC,NBA,under,0.667532,-108.0,"(0.30846656000000006, 0.08810335059095706)",0.30846656000000006,0.08810335059095706
DEN,OKC,NBA,homeWin,0.46239150000000007,-198.0,"(-0.6020733299999996, 0)",-0.6020733299999996,0.0
DEN,OKC,NBA,awayWin,0.5376084999999999,164.0,"(0.255662463414634, 0.10719580412675203)",0.255662463414634,0.10719580412675203
GS,BKN,NBA,homeCover,0.392581,-108.0,"(-0.26343151999999986, 0)",-0.26343151999999986,0.0
GS,BKN,NBA,awayCover,0.607364,-112.0,"(0.16761168000000004, 0.025083638636091414)",0.16761168000000004,0.025083638636091414
GS,BKN,NBA,over,0.35162,-112.0,"(-0.3745655999999999, 0)",-0.3745655999999999,0.0
GS,BKN,NBA,under,0.6254540000000001,-108.0,"(0.22094432000000014, 0.045200363463206016)",0.22094432000000014,0.045200363463206016
GS,BKN,NBA,homeWin,0.476404,-155.0,"(-0.3351697999999999, 0)",-0.3351697999999999,0.0
GS,BKN,NBA,awayWin,0.523596,130.0,"(0.15713138461538456, 0.03209735364049226)",0.15713138461538456,0.03209735364049226
LAC,NY,NBA,homeCover,0.40480600000000005,-108.0,"(-0.23800351999999997, 0)",-0.23800351999999997,0.0
LAC,NY,NBA,awayCover,0.571362,-112.0,"(0.09128744000000011, 0.007440532769422872)",0.09128744000000011,0.007440532769422872
LAC,NY,NBA,over,0.354893,-110.0,"(-0.3547247, 0)",-0.3547247,0.0
LAC,NY,NBA,under,0.622117,-110.0,"(0.20644570000000007, 0.038745297316809105)",0.20644570000000007,0.038745297316809105
LAC,NY,NBA,homeWin,0.5613394999999999,-225.0,"(-0.4256466250000004, 0)",-0.4256466250000004,0.0
LAC,NY,NBA,awayWin,0.4386605000000001,185.0,"(0.13523374324324344, 0.033833105826422065)",0.13523374324324344,0.033833105826422065
MIA,CHI,NBA,homeCover,0.498629,-110.0,"(-0.05287910000000007, 0)",-0.05287910000000007,0.0
MIA,CHI,NBA,awayCover,0.477042,-110.0,"(-0.09821180000000002, 0)",-0.09821180000000002,0.0
MIA,CHI,NBA,over,0.483789,-110.0,"(-0.08404309999999993, 0)",-0.08404309999999993,0.0
