homeTeamAbbrev,awayTeamAbbrev,sport,bookie,betType,probability,odds,unitPercent,unitReturn,vegasProbability,redFlag
SFPA,LIU,NCAAB,DraftKings,under,0.7882520000000001,-105.0,0.5659166000000001,0.30501104586243816,0.5,True
SFPA,LIU,NCAAB,BetMGM,under,0.7882520000000001,-110.0,0.5553292000000001,0.280355018520582,0.5,True
CHI,NYI,NHL,FanDuel,homeCover,0.805045,-120.0,0.571099,0.27179505650083347,0.5324675324675325,True
CHI,NYI,NHL,BetMGM,homeCover,0.805045,-125.0,0.56135125,0.25209218070125,0.5324675324675325,True
VCU,SLU,NCAAB,BetMGM,homeCover,0.752777,-105.0,0.49319285000000007,0.23165636884868815,0.5,True
CHA,SA,NBA,FanDuel,awayWin,0.6347659999999999,146.0,0.3846057260273972,0.21596548415986944,0.3913610668212785,True
CHA,SA,NBA,DraftKings,awayWin,0.6347659999999999,145.0,0.3828804827586206,0.2125663229123379,0.3913610668212785,True
VCU,SLU,NCAAB,DraftKings,homeCover,0.752777,-110.0,0.48083170000000003,0.21018102156808188,0.5,True
CHA,SA,NBA,BetMGM,awayWin,0.6347659999999999,140.0,0.3738845714285713,0.195705541853257,0.3913610668212785,True
MRMK,WAG,NCAAB,BetMGM,under,0.735558,-110.0,0.44467180000000006,0.17975728155930912,0.5,True
MSM,MRST,NCAAB,FanDuel,under,0.717923,-105.0,0.4217421499999999,0.16939661055868802,0.5,True
MRMK,WAG,NCAAB,DraftKings,under,0.735558,-115.0,0.4314497000000001,0.16186855967833919,0.5,True
MSM,MRST,NCAAB,BetMGM,under,0.734967,-115.0,0.43017905000000006,0.16091653483382826,0.5,True
CHA,SA,NBA,FanDuel,awayCover,0.7228959999999999,-114.0,0.4069974399999997,0.14530431242680122,0.5,True
SIE,QUIN,NCAAB,FanDuel,under,0.713001,-110.0,0.3973021,0.14349905333128188,0.5,True
CHA,SA,NBA,BetMGM,awayCover,0.7228959999999999,-115.0,0.4042263999999997,0.14208607170170406,0.5,True
MRMK,WAG,NCAAB,FanDuel,under,0.718696,-115.0,0.3951964,0.13580886484605217,0.5,True
SIE,QUIN,NCAAB,DraftKings,under,0.694756,-105.0,0.3742498000000001,0.1333932502857524,0.5,False
CHA,SA,NBA,DraftKings,awayCover,0.7061019999999999,-110.0,0.38281419999999977,0.13322428338330897,0.5,True
SIE,QUIN,NCAAB,BetMGM,under,0.694756,-110.0,0.3589876000000001,0.11715645177614549,0.5,False
CAR,DET,NHL,FanDuel,awayCover,0.7379830000000001,-140.0,0.37115920000000013,0.0983993941033144,0.5631331403762663,False
NO,PHX,NBA,DraftKings,homeCover,0.6776889999999999,-112.0,0.31670067999999973,0.08955296492184127,0.5,False
NO,PHX,NBA,BetMGM,homeCover,0.6594540000000001,-105.0,0.30188070000000017,0.08679234003094294,0.5,False
ORL,PHI,NBA,FanDuel,homeWin,0.494318,180.0,0.21338355555555555,0.08195857520675552,0.34929577464788736,False
NO,PHX,NBA,DraftKings,homeWin,0.6955040000000001,-125.0,0.3148840000000003,0.07932154676480013,0.5329087048832272,False
NO,PHX,NBA,FanDuel,homeWin,0.6955040000000001,-126.0,0.31183904000000023,0.0771774498953347,0.5329087048832272,False
SFPA,LIU,NCAAB,DraftKings,homeCover,0.6620820000000001,-110.0,0.29037220000000014,0.07665092230258193,0.5,False
CAR,DET,NHL,DraftKings,awayCover,0.7379830000000001,-155.0,0.33185665000000014,0.07105086203175646,0.5631331403762663,False
NO,PHX,NBA,BetMGM,homeWin,0.6955040000000001,-130.0,0.2996592000000003,0.0690735662651078,0.5329087048832272,False
ORL,PHI,NBA,BetMGM,homeWin,0.494318,170.0,0.19685799999999998,0.0658802226788,0.34929577464788736,False
MIA,ATL,NBA,FanDuel,over,0.6514009999999999,-110.0,0.2679420999999998,0.0652663354112817,0.5,False
SIE,QUIN,NCAAB,BetMGM,awayCover,0.650637,-110.0,0.2663377,0.06448706403753642,0.5,False
SIE,QUIN,NCAAB,DraftKings,awayCover,0.650637,-112.0,0.25935044000000007,0.06005593815017289,0.5,False
SFPA,LIU,NCAAB,FanDuel,homeCover,0.6620820000000001,-120.0,0.25658040000000015,0.05486125138680007,0.5,False
MIA,ATL,NBA,BetMGM,over,0.6514009999999999,-115.0,0.25051214999999977,0.05457072808488902,0.5,False
MRMK,WAG,NCAAB,BetMGM,homeCover,0.65095,-115.0,0.24954250000000006,0.054149095048913055,0.5,False
WIS,IU,NCAAB,BetMGM,homeCover,0.627061,-105.0,0.23547504999999996,0.05280809445000237,0.5,False
FAIR,SPU,NCAAB,BetMGM,under,0.6337689999999999,-110.0,0.2309148999999998,0.04847426458364537,0.5,False
VCU,SLU,NCAAB,FanDuel,homeWin,0.8809229999999999,-385.0,0.42247654999999945,0.046360113064909676,0.7609756097560976,False
CMU,TOL,NCAAB,DraftKings,homeWin,0.361722,275.0,0.12962090909090906,0.0462043452022727,0.2637703646237393,False
MRMK,WAG,NCAAB,DraftKings,homeCover,0.6306790000000001,-110.0,0.22442590000000018,0.04578816780982734,0.5,False
MIA,ATL,NBA,DraftKings,over,0.62991,-110.0,0.22281099999999993,0.04513158338272728,0.5,False
WIS,IU,NCAAB,FanDuel,homeCover,0.649782,-120.0,0.22952039999999996,0.04389967834680001,0.5,False
WIS,IU,NCAAB,DraftKings,homeCover,0.627061,-110.0,0.21682809999999997,0.04274038631782725,0.5,False
VCU,SLU,NCAAB,DraftKings,homeWin,0.8809229999999999,-395.0,0.41056884999999954,0.042675134326663866,0.7609756097560976,False
ORL,PHI,NBA,FanDuel,homeCover,0.630468,-112.0,0.2165921600000001,0.04188586051202285,0.5,False
CHA,SA,NBA,BetMGM,over,0.6255689999999999,-110.0,0.21369489999999985,0.04151410026000904,0.5,False
VCU,SLU,NCAAB,BetMGM,homeWin,0.8809229999999999,-400.0,0.4046149999999995,0.04092832455624992,0.7609756097560976,False
CBJ,NJ,NHL,FanDuel,homeCover,0.733006,-176.0,0.26309656000000015,0.03932943175217823,0.620185581920293,False
CHA,SA,NBA,DraftKings,over,0.6255689999999999,-112.0,0.20620627999999985,0.03796520527806996,0.5,False
ORL,PHI,NBA,DraftKings,homeCover,0.608418,-105.0,0.1972569,0.03705741390248571,0.5,False
ORL,PHI,NBA,BetMGM,homeCover,0.630468,-115.0,0.20550620000000003,0.03672417238125216,0.5,False
SFPA,LIU,NCAAB,BetMGM,homeWin,0.715267,-165.0,0.24545754999999997,0.03651479324363784,0.6154910096818811,False
CMU,TOL,NCAAB,FanDuel,homeWin,0.361722,255.0,0.1114169019607843,0.03165500140847449,0.2637703646237393,False
CBJ,NJ,NHL,BetMGM,homeCover,0.733006,-185.0,0.23906710000000014,0.030893555839140573,0.620185581920293,False
CSU,UNLV,NCAAB,DraftKings,over,0.615916,-112.0,0.18574192000000006,0.030803625754719993,0.5,False
CMU,TOL,NCAAB,BetMGM,homeWin,0.361722,250.0,0.10641079999999997,0.028308145891599995,0.2637703646237393,False
STO,FDU,NCAAB,BetMGM,homeWin,0.49863699999999994,140.0,0.14052057142857133,0.027644443392457096,0.39955190440627336,False
CSU,UNLV,NCAAB,BetMGM,over,0.5936170000000001,-105.0,0.16691485000000011,0.026533873476688133,0.5,False
CSU,UNLV,NCAAB,FanDuel,over,0.615916,-115.0,0.17421940000000002,0.026393390727269542,0.5,False
KENT,AKR,NCAAB,FanDuel,over,0.592969,-105.0,0.16558644999999989,0.026113211832002346,0.5,False
SFPA,LIU,NCAAB,FanDuel,homeWin,0.715267,-176.0,0.21413691999999995,0.02605376165175363,0.6154910096818811,False
SFPA,LIU,NCAAB,DraftKings,homeWin,0.715267,-180.0,0.20274760000000003,0.02283699405875558,0.6154910096818811,False
CMU,TOL,NCAAB,FanDuel,over,0.5987039999999999,-110.0,0.15727839999999976,0.02248772282414541,0.5,False
BOS,DEN,NBA,BetMGM,under,0.5861590000000001,-105.0,0.15162595000000018,0.021895646393716724,0.5,False
SIE,QUIN,NCAAB,FanDuel,awayWin,0.7295400000000001,-194.0,0.20484760000000013,0.021630174858639217,0.6385542168674698,False
MSM,MRST,NCAAB,BetMGM,homeCover,0.5966980000000001,-110.0,0.15306580000000014,0.02129921739058187,0.5,False
SIE,QUIN,NCAAB,DraftKings,awayWin,0.7295400000000001,-198.0,0.19402920000000023,0.019013803258909154,0.6385542168674698,False
MSM,MRST,NCAAB,DraftKings,homeCover,0.5966980000000001,-112.0,0.14499976000000014,0.018772259285765747,0.5,False
BOS,DEN,NBA,FanDuel,homeCover,0.60015,-114.0,0.14432099999999987,0.01827065880789472,0.5,False
BOS,DEN,NBA,BetMGM,homeCover,0.5796349999999999,-105.0,0.13825174999999978,0.0182033775029166,0.5,False
SIE,QUIN,NCAAB,BetMGM,awayWin,0.7295400000000001,-200.0,0.18862000000000023,0.017788752200000042,0.6385542168674698,False
STO,FDU,NCAAB,FanDuel,homeCover,0.576381,-105.0,0.13158105000000003,0.016489116875335736,0.49331997327989313,False
ORL,PHI,NBA,BetMGM,under,0.598556,-115.0,0.13689539999999994,0.016295956992313024,0.5,False
RID,NIA,NCAAB,FanDuel,awayWin,0.5134719999999999,122.0,0.11467855737704902,0.01604442925693897,0.42752055387278237,False
NO,PHX,NBA,BetMGM,under,0.5751339999999999,-105.0,0.12902469999999983,0.01585464115246661,0.5,False
BOS,DEN,NBA,FanDuel,under,0.5861590000000001,-110.0,0.13093390000000021,0.015585169244736428,0.5,False
XAV,GTWN,NCAAB,DraftKings,homeCover,0.5808580000000001,-108.0,0.12818464000000018,0.015214168455490437,0.5,False
RID,NIA,NCAAB,BetMGM,awayWin,0.5134719999999999,120.0,0.10803199999999985,0.014005095628799973,0.42752055387278237,False
RID,NIA,NCAAB,FanDuel,awayCover,0.577951,-108.0,0.12213807999999998,0.013812694987117041,0.49891020052310364,False
XAV,GTWN,NCAAB,FanDuel,homeCover,0.5808580000000001,-110.0,0.11980180000000018,0.013047701166581858,0.5,False
BOS,DEN,NBA,DraftKings,homeCover,0.5796349999999999,-110.0,0.11723349999999977,0.012494266838409039,0.5,False
RID,NIA,NCAAB,BetMGM,awayCover,0.577951,-110.0,0.1136971,0.011751845953100004,0.49891020052310364,False
CHI,NYI,NHL,DraftKings,homeWin,0.37857899999999983,205.0,0.0754468048780485,0.011669051750927958,0.31567080045095824,False
STO,FDU,NCAAB,BetMGM,homeCover,0.576381,-110.0,0.11040010000000006,0.011080165527281832,0.49331997327989313,False
ORL,PHI,NBA,FanDuel,under,0.5762319999999999,-110.0,0.11008719999999966,0.011017446912581767,0.5,False
LAL,BKN,NBA,FanDuel,awayWin,0.3412430000000001,240.0,0.06676091666666678,0.010696847986016706,0.2981514609421586,False
NO,PHX,NBA,FanDuel,under,0.5751339999999999,-110.0,0.1077813999999998,0.010560754714509065,0.5,False
XAV,GTWN,NCAAB,DraftKings,awayWin,0.1732849999999999,625.0,0.0410105999999999,0.010511683202249947,0.1322834645669291,False
CHI,NYI,NHL,FanDuel,homeWin,0.37857899999999983,202.0,0.07094484158415815,0.010167004505750624,0.31567080045095824,False
NO,PHX,NBA,DraftKings,under,0.5751339999999999,-112.0,0.09928407999999989,0.008801186197719975,0.5,False
XAV,GTWN,NCAAB,FanDuel,awayWin,0.1732849999999999,610.0,0.03775795081967201,0.008696543385614697,0.1322834645669291,False
KENT,AKR,NCAAB,BetMGM,over,0.569745,-110.0,0.0964644999999999,0.008459454327499977,0.5,False
STO,FDU,NCAAB,BetMGM,under,0.569013,-110.0,0.09492729999999999,0.008191992986627265,0.5,False
CHI,NYI,NHL,BetMGM,homeWin,0.37857899999999983,195.0,0.05990156410256381,0.006996984894770448,0.31567080045095824,False
WIS,IU,NCAAB,BetMGM,over,0.56482,-110.0,0.08612199999999998,0.006742726258181828,0.5,False
STO,FDU,NCAAB,FanDuel,under,0.549767,-105.0,0.07702234999999996,0.005649945142402381,0.5,False
MSM,MRST,NCAAB,BetMGM,homeWin,0.6566049999999999,-165.0,0.09000324999999976,0.004909445460946933,0.6026173473960978,False
IONA,CAN,NCAAB,DraftKings,awayWin,0.29001199999999994,285.0,0.04089340350877185,0.004765970784014014,0.2491874322860238,False
MRMK,WAG,NCAAB,BetMGM,homeWin,0.744777,-250.0,0.10671950000000008,0.004555620672099997,0.6946564885496184,False
MSM,MRST,NCAAB,FanDuel,homeWin,0.6566049999999999,-166.0,0.08656929999999974,0.004514604640054175,0.6026173473960978,False
XAV,GTWN,NCAAB,DraftKings,under,0.552613,-108.0,0.06943504000000006,0.004464097018334829,0.5,False
LAL,BKN,NBA,DraftKings,awayWin,0.3412430000000001,220.0,0.04180800000000012,0.003845399500800025,0.2981514609421586,False
IONA,CAN,NCAAB,FanDuel,awayWin,0.29001199999999994,280.0,0.03644485714285706,0.0037190373140571203,0.2491874322860238,False
XAV,GTWN,NCAAB,BetMGM,under,0.552613,-110.0,0.06048730000000002,0.00332610314662728,0.5,False
KENT,AKR,NCAAB,DraftKings,over,0.569745,-118.0,0.062044099999999824,0.003262263004076254,0.5,False
MSM,MRST,NCAAB,DraftKings,homeWin,0.6566049999999999,-170.0,0.07283349999999966,0.0031204227777940916,0.6026173473960978,False
POR,IND,NBA,BetMGM,awayCover,0.562128,-115.0,0.05857519999999994,0.002983525265252161,0.5,False
CSU,UNLV,NCAAB,BetMGM,awayWin,0.2997829999999999,260.0,0.030468769230769133,0.002413699335938448,0.2750424448217317,False
POR,IND,NBA,FanDuel,awayCover,0.5433359999999999,-108.0,0.05013887999999983,0.002327691933013318,0.5,False
MRMK,WAG,NCAAB,DraftKings,homeWin,0.744777,-265.0,0.06843605000000008,0.001767355826265088,0.6946564885496184,False
CSU,UNLV,NCAAB,FanDuel,awayWin,0.2997829999999999,255.0,0.025188098039215567,0.0016178227212244945,0.2750424448217317,False
CMU,TOL,NCAAB,BetMGM,homeCover,0.543704,-110.0,0.04177839999999988,0.001586758824145448,0.5,False
VCU,SLU,NCAAB,FanDuel,under,0.542459,-110.0,0.03916390000000003,0.0013943736938272788,0.5,False
VCU,SLU,NCAAB,DraftKings,under,0.5178079999999999,100.0,0.03561599999999987,0.0012684994559999908,0.5,False
XAV,GTWN,NCAAB,FanDuel,under,0.552613,-115.0,0.03811795000000007,0.0012634592280021768,0.5,False
POR,IND,NBA,DraftKings,awayCover,0.5433359999999999,-112.0,0.03187231999999984,0.0009070042698057012,0.5,False
CAR,DET,NHL,DraftKings,over,0.5189699999999999,-102.0,0.028319399999999828,0.0007862631532941082,0.48799650807507633,False
CSU,UNLV,NCAAB,BetMGM,homeCover,0.5255960000000001,-105.0,0.0274718000000001,0.0007187617097523851,0.5,False
