index,probability,odds,kelly,unitPercent,unitReturn,legs,betDollars
MSU_OAK_NCAAB_awayWin | UNCA_SCST_NCAAB_awayWin,0.18074067820199993,8825.0,"(0.17145728645358066, 2.5943382951357252)",0.17145728645358066,2.5943382951357252,2.0,7.222139242762503
ATL_DET_NBA_under | DEN_DAL_NBA_awayCover | UNCA_SCST_NCAAB_awayCover | COFC_CCU_NCAAB_awayWin,0.12673786888141766,7218.0,"(0.11463947415824528, 0.9486046481664374)",0.11463947415824528,0.9486046481664374,4.0,4.828854242435904
DEN_DAL_NBA_awayWin | LAM_USM_NCAAB_homeWin,0.3546746679395,750.0,"(0.2686312903314333, 0.5412207760884811)",0.2686312903314333,0.5412207760884811,2.0,11.31531137501013
LAM_USM_NCAAB_homeCover | MSU_OAK_NCAAB_awayCover,0.582530448476,261.0,"(0.4225804287350038, 0.4660787109371336)",0.4225804287350038,0.4660787109371336,2.0,17.799970830733617
TOR_CHA_NBA_awayWin | TAR_JVST_NCAAB_awayWin,0.23183541677399996,1318.0,"(0.17355282320601817, 0.39698927659583244)",0.17355282320601817,0.39698927659583244,2.0,7.310407630344429
CP_EWU_NCAAB_homeWin | HC_QUIN_NCAAB_awayCover,0.34259418265800007,616.0,"(0.23587245906351956, 0.3427166323791777)",0.23587245906351956,0.3427166323791777,2.0,9.93544093765145
CAM_MORG_NCAAB_under | WAKE_DSU_NCAAB_awayCover,0.5050702955129999,264.0,"(0.3175969226012574, 0.26629100584888316)",0.3175969226012574,0.26629100584888316,2.0,13.377846141990222
UTAH_BKN_NBA_under | TAR_JVST_NCAAB_awayCover,0.4904455681620002,261.0,"(0.2952139850823068, 0.22746488513914054)",0.2952139850823068,0.22746488513914054,2.0,12.435030034448014
CAM_MORG_NCAAB_awayWin | HC_QUIN_NCAAB_awayWin,0.370169817012,397.0,"(0.21152241575557687, 0.17762467749728825)",0.21152241575557687,0.17762467749728825,2.0,8.909766223122064
COFC_CCU_NCAAB_awayCover | WKU_ODU_NCAAF_homeWin,0.35733183315100003,415.0,"(0.20247203391027715, 0.1701289367404224)",0.20247203391027715,0.1701289367404224,2.0,8.528545224942903
LAL_NY_NBA_awayWin | BRAD_DUQ_NCAAB_awayCover,0.374259213195,375.0,"(0.20739500338033331, 0.16129757785173177)",0.20739500338033331,0.16129757785173177,2.0,8.735910987786934
PHI_CHI_NBA_homeCover | SAC_WSH_NBA_under,0.4357385612960001,261.0,"(0.21954643918718783, 0.125803667685009)",0.21954643918718783,0.125803667685009,2.0,9.2477548598778
BRAD_DUQ_NCAAB_awayWin | CP_EWU_NCAAB_homeCover,0.49795743789799995,197.0,"(0.24311349774470042, 0.11643522038775503)",0.24311349774470042,0.11643522038775503,2.0,10.24044862031926
LAL_NY_NBA_awayCover | SEA_PHI_NFL_homeWin,0.33902690961299997,373.0,"(0.16182232773980962, 0.09767551726663624)",0.16182232773980962,0.09767551726663624,2.0,6.816294645146282
LAL_NY_NBA_under | SAC_WSH_NBA_awayCover,0.4015791241,270.0,"(0.1799417626555556, 0.08742340245848841)",0.1799417626555556,0.08742340245848841,2.0,7.579523112529725
OKC_MEM_NBA_homeCover | TOR_CHA_NBA_awayCover,0.4012844550519999,265.0,"(0.17535406073199983, 0.08148497353028498)",0.17535406073199983,0.08148497353028498,2.0,7.386279519437055
OKC_MEM_NBA_under | CAM_MORG_NCAAB_awayCover,0.39362231452500007,265.0,"(0.16480054642122652, 0.07197193326694731)",0.16480054642122652,0.07197193326694731,2.0,6.941743440338856
UTAH_BKN_NBA_awayWin | WKU_ODU_NCAAF_homeCover,0.43368961022999997,214.0,"(0.16905858697299064, 0.061162924474711056)",0.16905858697299064,0.061162924474711056,2.0,7.121101007475527
MRST_UMES_NCAAB_homeCover | MSU_OAK_NCAAB_over,0.37410640300599995,273.0,"(0.1448413491620439, 0.057272714845931445)",0.1448413491620439,0.057272714845931445,2.0,6.101020338036601
CLE_HOU_NBA_awayWin | FRES_PRST_NCAAB_awayWin,0.25017207010000003,505.0,"(0.10169129190198023, 0.05222265018590345)",0.10169129190198023,0.05222265018590345,2.0,4.28344974473478
FRES_PRST_NCAAB_awayCover | TAR_JVST_NCAAB_over,0.372580673632,261.0,"(0.13219012713085054, 0.045607739545371825)",0.13219012713085054,0.045607739545371825,2.0,5.5681244256478335
MIA_MIN_NBA_over | CHST_RGV_NCAAB_under,0.363572815571,264.0,"(0.12250191237819702, 0.03961773693587281)",0.12250191237819702,0.03961773693587281,2.0,5.160036572371369
PHI_CHI_NBA_under | UTAH_BKN_NBA_awayCover,0.36086050355999993,265.0,"(0.11967578792226402, 0.037954079669259004)",0.11967578792226402,0.037954079669259004,2.0,5.040994303825666
CLE_HOU_NBA_awayCover | WAKE_DSU_NCAAB_under,0.353661438465,261.0,"(0.10602214285772027, 0.02933821336573283)",0.10602214285772027,0.02933821336573283,2.0,4.465874238257099
IND_LAC_NBA_homeWin | CP_EWU_NCAAB_under,0.30001775213699994,328.0,"(0.08660853022754869, 0.024603403026817978)",0.08660853022754869,0.024603403026817978,2.0,3.6481323007739643
