homeTeamAbbrev,awayTeamAbbrev,sport,bookie,betType,probability,odds,unitPercent,unitReturn,vegasProbability,redFlag
MONT,WEB,NCAAB,BetMGM,homeWin,0.47772899999999996,-125.0,-0.17510975000000006,0.0,0.54911742133538,False
MONT,WEB,NCAAB,BetMGM,homeCover,0.45277599999999996,-115.0,-0.17653160000000012,0.0,0.5,False
MONT,WEB,NCAAB,DraftKings,homeWin,0.47772899999999996,-130.0,-0.2012233000000001,0.0,0.54911742133538,False
MONT,WEB,NCAAB,DraftKings,homeCover,0.4280069999999999,-112.0,-0.2126251600000001,0.0,0.5,False
LAM,TAMC,NCAAB,FanDuel,homeWin,0.600612,-220.0,-0.2780415999999999,0.0,0.6581196581196581,False
MVSU,FAMU,NCAAB,FanDuel,awayWin,0.6850480000000001,-280.0,-0.1968175999999996,0.0,0.7095435684647302,False
MVSU,FAMU,NCAAB,FanDuel,homeWin,0.294519,225.0,-0.019028111111111135,0.0,0.2904564315352697,False
MVSU,FAMU,NCAAB,FanDuel,over,0.47947199999999995,-115.0,-0.11913520000000016,0.0,0.5,False
MVSU,FAMU,NCAAB,FanDuel,homeCover,0.447663,-106.0,-0.13781422000000004,0.0,0.5,False
MVSU,FAMU,NCAAB,DraftKings,awayWin,0.6850480000000001,-290.0,-0.22831279999999954,0.0,0.7095435684647302,False
MVSU,FAMU,NCAAB,DraftKings,homeWin,0.294519,235.0,-0.005685680851063857,0.0,0.2904564315352697,False
MVSU,FAMU,NCAAB,DraftKings,under,0.520319,-112.0,-0.016923719999999975,0.0,0.5,False
MVSU,FAMU,NCAAB,DraftKings,over,0.47947199999999995,-108.0,-0.0826982400000002,0.0,0.5,False
MVSU,FAMU,NCAAB,DraftKings,homeCover,0.424674,-102.0,-0.16215852000000008,0.0,0.5,False
JKST,TXSO,NCAAB,FanDuel,awayWin,0.36772499999999997,168.0,-0.008629166666666743,0.0,0.34929577464788736,False
JKST,TXSO,NCAAB,FanDuel,homeWin,0.608643,-205.0,-0.19363884999999992,0.0,0.6507042253521127,False
JKST,TXSO,NCAAB,FanDuel,under,0.49749800000000005,-110.0,-0.055254199999999976,0.0,0.5,False
COLG,LEH,NCAAB,BetMGM,homeWin,0.791992,-800.0,-0.8720719999999997,0.0,0.8524590163934427,False
HCU,UNO,NCAAB,FanDuel,awayWin,0.428756,-146.0,-0.40526023999999994,0.0,0.5720596355604638,False
HCU,UNO,NCAAB,FanDuel,over,0.46134300000000006,-112.0,-0.14195283999999986,0.0,0.5,False
HCU,UNO,NCAAB,FanDuel,awayCover,0.385396,-115.0,-0.3213985999999999,0.0,0.5,False
HCU,UNO,NCAAB,DraftKings,awayWin,0.428756,-148.0,-0.4166851199999999,0.0,0.5720596355604638,False
HCU,UNO,NCAAB,DraftKings,over,0.440387,-110.0,-0.17518730000000005,0.0,0.5,False
HCU,UNO,NCAAB,DraftKings,awayCover,0.364304,-110.0,-0.3349616,0.0,0.5,False
COLG,LEH,NCAAB,FanDuel,homeWin,0.791992,-820.0,-0.9136735999999999,0.0,0.8524590163934427,False
COLG,LEH,NCAAB,FanDuel,over,0.41955100000000006,-110.0,-0.2189429,0.0,0.5,False
COLG,LEH,NCAAB,FanDuel,awayCover,0.443747,-106.0,-0.14588117999999994,0.0,0.5,False
COLG,LEH,NCAAB,BetMGM,over,0.41955100000000006,-105.0,-0.18992044999999996,0.0,0.5,False
JKST,TXSO,NCAAB,FanDuel,over,0.502262,-110.0,-0.04524980000000001,0.0,0.5,False
COLG,LEH,NCAAB,BetMGM,awayCover,0.46797900000000003,-110.0,-0.11724409999999996,0.0,0.5,False
UAPB,BCU,NCAAB,FanDuel,homeWin,0.458524,-115.0,-0.16417340000000008,0.0,0.5217391304347826,False
UAPB,BCU,NCAAB,FanDuel,under,0.21516000000000005,-105.0,-0.608922,0.0,0.5,False
UAPB,BCU,NCAAB,BetMGM,homeWin,0.458524,-120.0,-0.19124720000000012,0.0,0.5217391304347826,False
UAPB,BCU,NCAAB,BetMGM,under,0.23247199999999998,-115.0,-0.6501852,0.0,0.5,False
UIW,NICH,NCAAB,DraftKings,homeCover,0.5157289999999999,-110.0,-0.016969100000000292,0.0,0.5,False
UIW,NICH,NCAAB,DraftKings,awayCover,0.46146999999999994,-110.0,-0.13091300000000017,0.0,0.5,False
UIW,NICH,NCAAB,DraftKings,over,0.36276899999999995,-110.0,-0.3381851000000002,0.0,0.5,False
UIW,NICH,NCAAB,DraftKings,awayWin,0.5295300000000001,-162.0,-0.23263139999999993,0.0,0.5901639344262295,False
JKST,TXSO,NCAAB,FanDuel,awayCover,0.488833,-105.0,-0.04789234999999997,0.0,0.5,False
JKST,TXSO,NCAAB,FanDuel,homeCover,0.510927,-115.0,-0.05150694999999994,0.0,0.5,False
JKST,TXSO,NCAAB,BetMGM,homeWin,0.608643,-210.0,-0.21320669999999986,0.0,0.6507042253521127,False
JKST,TXSO,NCAAB,BetMGM,awayCover,0.5136019999999999,-115.0,-0.04575570000000029,0.0,0.5,False
JKST,TXSO,NCAAB,BetMGM,homeCover,0.48615800000000003,-105.0,-0.05337609999999987,0.0,0.5,False
JKST,TXSO,NCAAB,DraftKings,awayWin,0.36772499999999997,170.0,-0.004201470588235334,0.0,0.34929577464788736,False
JKST,TXSO,NCAAB,DraftKings,under,0.47389500000000007,-108.0,-0.0942983999999999,0.0,0.5,False
JKST,TXSO,NCAAB,DraftKings,over,0.502262,-112.0,-0.05520455999999996,0.0,0.5,False
JKST,TXSO,NCAAB,DraftKings,awayCover,0.488833,-110.0,-0.07345069999999992,0.0,0.5,False
JKST,TXSO,NCAAB,DraftKings,homeCover,0.48615800000000003,-110.0,-0.07906819999999987,0.0,0.5,False
UIW,NICH,NCAAB,FanDuel,awayCover,0.46146999999999994,-105.0,-0.1039865000000002,0.0,0.5,False
UIW,NICH,NCAAB,BetMGM,awayWin,0.5295300000000001,-150.0,-0.17617499999999986,0.0,0.5901639344262295,False
VAN,CHI,NHL,FanDuel,awayWin,0.04181800000000013,330.0,-0.24854018181818166,0.0,0.21749072615478426,False
