homeTeamAbbrev,awayTeamAbbrev,sport,bookie,betType,probability,odds,unitPercent,unitReturn,vegasProbability,redFlag
COL,LA,NHL,FanDuel,awayCover,0.8600409999999998,-194.0,0.5885205399999995,0.1785342402071603,0.6385560652317323,True
COL,LA,NHL,BetMGM,awayCover,0.8600409999999998,-200.0,0.5801229999999995,0.1682713475644997,0.6385560652317323,True
COL,LA,NHL,DraftKings,awayCover,0.8600409999999998,-205.0,0.5731250499999995,0.16023040143292772,0.6385560652317323,True
IND,PHX,NBA,BetMGM,homeWin,0.563865,155.0,0.2824875806451612,0.12368881148907249,0.3779654201849618,False
NO,OKC,NBA,BetMGM,under,0.687134,-105.0,0.3586247,0.1224873099524667,0.5,False
IND,PHX,NBA,DraftKings,homeWin,0.563865,154.0,0.28066045454545446,0.12130624774831812,0.3779654201849618,False
IND,PHX,NBA,FanDuel,homeWin,0.563865,152.0,0.2769340789473683,0.11657257580528943,0.3779654201849618,False
NO,OKC,NBA,DraftKings,under,0.687134,-110.0,0.34298140000000005,0.10694203704178185,0.5,False
TOR,LAC,NBA,BetMGM,under,0.685976,-110.0,0.34054960000000006,0.10543093641832733,0.5,False
TOR,LAC,NBA,FanDuel,under,0.665837,-106.0,0.31162422,0.09161288159491363,0.5,False
IND,PHX,NBA,FanDuel,homeCover,0.667091,-108.0,0.30754928,0.08758014780418373,0.5,False
TOR,LAC,NBA,DraftKings,under,0.665837,-108.0,0.30494096000000004,0.08610091582011266,0.5,False
IND,PHX,NBA,BetMGM,homeCover,0.667091,-110.0,0.30089109999999997,0.08230495823564543,0.5,False
IND,PHX,NBA,DraftKings,homeCover,0.667091,-112.0,0.29423292,0.0772973314390414,0.5,False
NYR,VGK,NHL,FanDuel,awayCover,0.782413,-188.0,0.3733494400000001,0.07414351295123067,0.6373847750442585,False
SBU,JOES,NCAAB,FanDuel,under,0.670149,-115.0,0.29082035,0.07354476171662824,0.5,False
CAL,STAN,NCAAB,BetMGM,over,0.64089,-105.0,0.2638244999999999,0.06628892076214282,0.5,False
CAL,STAN,NCAAB,FanDuel,over,0.6625270000000001,-115.0,0.2744330500000002,0.06548999907156747,0.5,False
SBU,JOES,NCAAB,DraftKings,under,0.648943,-110.0,0.2627803000000001,0.06277589642553644,0.5,False
KENT,OHIO,NCAAB,BetMGM,over,0.6370869999999998,-105.0,0.2560283499999997,0.06242906286068793,0.5,False
NYR,VGK,NHL,BetMGM,awayCover,0.782413,-200.0,0.3472390000000001,0.06028746156050003,0.6373847750442585,False
NYR,VGK,NHL,DraftKings,awayCover,0.782413,-205.0,0.33635965000000007,0.055189177633230536,0.6373847750442585,False
CAL,STAN,NCAAB,DraftKings,over,0.64089,-110.0,0.2458689999999999,0.054955968328181795,0.5,False
SEA,UVU,NCAAB,BetMGM,under,0.6292659999999999,-105.0,0.23999529999999974,0.05485499430675227,0.5,False
CAN,MAN,NCAAB,DraftKings,homeCover,0.6395220000000001,-110.0,0.24299620000000027,0.053679230194945624,0.5,False
KENT,OHIO,NCAAB,DraftKings,over,0.6370869999999998,-110.0,0.23788269999999967,0.051443799053899855,0.5,False
WIS,MSU,NCAAB,BetMGM,over,0.631644,-110.0,0.22645239999999994,0.04661880860523637,0.5,False
SEA,UVU,NCAAB,FanDuel,under,0.6292659999999999,-110.0,0.22145859999999973,0.044585374103599924,0.5,False
WIS,MSU,NCAAB,DraftKings,over,0.631644,-112.0,0.21908528,0.04285567849346285,0.5,False
SEA,UVU,NCAAB,BetMGM,homeCover,0.6241979999999999,-110.0,0.21081579999999983,0.04040300139058178,0.5,False
CAN,MAN,NCAAB,FanDuel,homeCover,0.6395220000000001,-120.0,0.20694840000000037,0.03568970021880013,0.5,False
SEA,UVU,NCAAB,DraftKings,homeCover,0.6241979999999999,-115.0,0.1920256999999998,0.032064234313469504,0.5,False
NO,OKC,NBA,DraftKings,homeWin,0.638521,-122.0,0.19751662000000003,0.03197771735756098,0.5324675324675325,False
PIT,FLA,NHL,FanDuel,homeCover,0.760548,-210.0,0.2576988,0.03162317691497146,0.6655948553054662,False
MEM,ORL,NBA,FanDuel,homeWin,0.4342500000000001,184.0,0.1267771739130436,0.029573311358695693,0.34929577464788736,False
NO,OKC,NBA,BetMGM,homeCover,0.6187140000000001,-115.0,0.1802351000000002,0.02824755762783485,0.5,False
NO,OKC,NBA,FanDuel,homeCover,0.598584,-108.0,0.16505472,0.025225056105813347,0.5,False
NO,OKC,NBA,BetMGM,homeWin,0.638521,-130.0,0.16859830000000003,0.021865682125300004,0.5324675324675325,False
PIT,FLA,NHL,BetMGM,homeCover,0.760548,-225.0,0.221781,0.02186080531599999,0.6655948553054662,False
NIA,MRST,NCAAB,DraftKings,under,0.598616,-112.0,0.14906592000000013,0.019839864737005726,0.5,False
PIT,FLA,NHL,DraftKings,homeCover,0.760548,-230.0,0.2098084,0.019138941178504325,0.6655948553054662,False
WIS,MSU,NCAAB,BetMGM,homeCover,0.6030719999999999,-115.0,0.14660479999999987,0.018689536854817338,0.5021949078138719,False
IND,PHX,NBA,FanDuel,over,0.5871930000000001,-108.0,0.14136144000000017,0.018502830295253375,0.5,False
TOR,LAC,NBA,FanDuel,homeWin,0.334112,265.0,0.08283350943396228,0.018182684255637745,0.27066688406978645,False
MEM,ORL,NBA,DraftKings,homeWin,0.4342500000000001,170.0,0.10145588235294128,0.017498603308823586,0.34929577464788736,False
NIA,MRST,NCAAB,BetMGM,under,0.598616,-115.0,0.13702440000000005,0.016326683648139145,0.5,False
IND,PHX,NBA,BetMGM,over,0.5871930000000001,-110.0,0.13310530000000015,0.016106382625536413,0.5,False
NIA,MRST,NCAAB,BetMGM,homeCover,0.586993,-110.0,0.13268529999999995,0.016004898941899985,0.5,False
WIS,MSU,NCAAB,DraftKings,homeCover,0.582222,-108.0,0.13102176000000004,0.015895094068053353,0.5021949078138719,False
TOR,LAC,NBA,BetMGM,homeWin,0.334112,260.0,0.07800123076923077,0.015818899203938475,0.27066688406978645,False
WIS,MSU,NCAAB,FanDuel,homeCover,0.6030719999999999,-120.0,0.12675839999999988,0.013389743308799981,0.5021949078138719,False
SIE,IONA,NCAAB,BetMGM,awayCover,0.579508,-110.0,0.11696680000000004,0.012437483911127286,0.5,False
TOR,LAC,NBA,DraftKings,homeWin,0.334112,250.0,0.0677568,0.0114774598656,0.27066688406978645,False
NIA,MRST,NCAAB,FanDuel,homeWin,0.631861,-140.0,0.11646640000000008,0.009688873092114312,0.5634920634920635,False
MEM,ORL,NBA,BetMGM,homeCover,0.571901,-110.0,0.10099209999999997,0.009272185693100007,0.5,False
NIA,MRST,NCAAB,DraftKings,homeWin,0.631861,-142.0,0.10910361999999996,0.008382816828946765,0.5634920634920635,False
CAL,STAN,NCAAB,FanDuel,homeCover,0.5901660000000001,-120.0,0.09836520000000021,0.00806309380920004,0.5,False
WIS,MSU,NCAAB,BetMGM,homeWin,0.6438429999999999,-150.0,0.10960749999999986,0.00800920270416663,0.5798319327731092,False
NIA,MRST,NCAAB,FanDuel,under,0.577045,-114.0,0.09487630000000002,0.007896063422535095,0.5,False
MEM,ORL,NBA,FanDuel,homeCover,0.571901,-112.0,0.09243012,0.007627970610012849,0.5,False
CAL,STAN,NCAAB,DraftKings,homeCover,0.56639,-110.0,0.08941899999999986,0.0072688705099999765,0.5,False
CAL,STAN,NCAAB,FanDuel,homeWin,0.61362,-134.0,0.09587080000000014,0.006859112158686593,0.5634920634920635,False
NIA,MRST,NCAAB,BetMGM,homeWin,0.631861,-145.0,0.09805945000000005,0.006631486713312077,0.5634920634920635,False
ATL,DAL,NBA,BetMGM,over,0.56315,-110.0,0.08261500000000005,0.006204762022727288,0.5,False
WIS,MSU,NCAAB,FanDuel,homeWin,0.6438429999999999,-154.0,0.0953612199999998,0.005905040441485946,0.5798319327731092,False
WIS,MSU,NCAAB,DraftKings,homeWin,0.6438429999999999,-155.0,0.09179964999999979,0.005436887574272555,0.5798319327731092,False
ATL,DAL,NBA,DraftKings,homeCover,0.5525880000000001,-110.0,0.06043480000000018,0.0033203318645818334,0.5,False
ATL,DAL,NBA,DraftKings,over,0.56315,-115.0,0.06077250000000012,0.003211562396739142,0.5,False
CAL,STAN,NCAAB,DraftKings,homeWin,0.61362,-142.0,0.06496040000000014,0.0029717278649014187,0.5634920634920635,False
ATL,DAL,NBA,FanDuel,homeCover,0.5525880000000001,-112.0,0.05148656000000018,0.0023668445184228766,0.5,False
CHA,HOU,NBA,DraftKings,under,0.543303,-108.0,0.05007023999999999,0.0023213230867199955,0.5,False
PIT,FLA,NHL,FanDuel,under,0.584645,-128.0,0.05299059999999989,0.002193752881531244,0.4891657638136511,False
ATL,DAL,NBA,FanDuel,homeWin,0.484508,116.0,0.04011834482758614,0.0018669986463779329,0.44304965848255495,False
KENT,OHIO,NCAAB,FanDuel,homeCover,0.5298050000000001,-104.0,0.04080220000000018,0.0016007880046538638,0.5,False
CHA,HOU,NBA,BetMGM,under,0.543303,-110.0,0.040936299999999926,0.0015234369615363598,0.5,False
ATL,DAL,NBA,BetMGM,homeWin,0.484508,115.0,0.03625408695652166,0.0015115126442086907,0.44304965848255495,False
COL,LA,NHL,DraftKings,under,0.554222,-115.0,0.04157729999999993,0.0015031929350347733,0.5108342361863489,False
KENT,OHIO,NCAAB,BetMGM,homeCover,0.5539189999999999,-115.0,0.04092584999999982,0.0014564566941065056,0.5,False
SA,POR,NBA,BetMGM,over,0.5312150000000001,-105.0,0.038990750000000185,0.0014478843672023954,0.5,False
ATL,DAL,NBA,BetMGM,homeCover,0.5525880000000001,-115.0,0.038064200000000104,0.0012598985405565318,0.5,False
ATL,DAL,NBA,DraftKings,homeWin,0.484508,114.0,0.03232203508771919,0.0011909739055213928,0.44304965848255495,False
SIE,IONA,NCAAB,BetMGM,under,0.5408759999999999,-110.0,0.03583959999999975,0.0011677062983272578,0.5,False
MEM,ORL,NBA,DraftKings,over,0.5361859999999999,-108.0,0.03526687999999989,0.0011516229860503672,0.5,False
ATL,DAL,NBA,FanDuel,over,0.540545,-110.0,0.035144500000000134,0.00112285080022728,0.5,False
CHA,HOU,NBA,FanDuel,homeWin,0.362641,188.0,0.02362025531914891,0.0010488829473225497,0.34220124436816135,False
SA,POR,NBA,DraftKings,over,0.5509160000000001,-115.0,0.034469400000000094,0.0010331648142260902,0.5,False
CAL,STAN,NCAAB,BetMGM,homeWin,0.61362,-150.0,0.034050000000000136,0.0007729350000000011,0.5634920634920635,False
COL,LA,NHL,FanDuel,under,0.554222,-118.0,0.028203959999999917,0.0006741214912555905,0.5108342361863489,False
MEM,ORL,NBA,FanDuel,over,0.5361859999999999,-110.0,0.025990599999999864,0.0006141011712363593,0.5,False
SEA,UVU,NCAAB,DraftKings,homeWin,0.765058,-310.0,0.03673780000000004,0.0004353761125290348,0.7402209614810392,False
COL,LA,NHL,BetMGM,under,0.554222,-120.0,0.019288399999999983,0.0003100353121333349,0.5108342361863489,False
SA,POR,NBA,FanDuel,over,0.5312150000000001,-110.0,0.015551500000000162,0.00021986286568182308,0.5,False
PIT,FLA,NHL,BetMGM,under,0.5188399999999999,-105.0,0.01362199999999969,0.0001767227466666589,0.4891657638136511,False
SBU,JOES,NCAAB,FanDuel,awayCover,0.530261,-110.0,0.013548099999999952,0.00016686455782727292,0.5,False
TOR,LAC,NBA,DraftKings,homeCover,0.511386,-102.0,0.012999719999999992,0.0001656791373317659,0.5,False
COL,LA,NHL,FanDuel,awayWin,0.450438,125.0,0.010788400000000031,0.00014548696820000084,0.4273152381654048,False
SIE,IONA,NCAAB,DraftKings,under,0.5408759999999999,-115.0,0.012883399999999767,0.00014433217005216782,0.5,False
KENT,OHIO,NCAAB,DraftKings,homeCover,0.5298050000000001,-110.0,0.012590500000000171,0.00014410971840909636,0.5,False
SBU,JOES,NCAAB,FanDuel,awayWin,0.4563100000000001,122.0,0.010662459016393622,0.00013869939937705177,0.43795620437956206,False
