index,probability,odds,kelly,unitPercent,unitReturn,legs,betDollars
BOS_ORL_NBA_under | POR_GS_NBA_under | ACU_UTEP_NCAAB_under | ORST_UTSA_NCAAB_awayWin,0.28402615738388076,3414.0,"(0.2630544572486693, 2.3624076849123026)",0.2630544572486693,2.3624076849123026,4.0,11.657348687865392
PHX_WSH_NBA_awayWin | ORST_UTSA_NCAAB_awayCover,0.365078502708,1141.0,"(0.3094324468541876, 1.0924896908859953)",0.3094324468541876,1.0924896908859953,2.0,13.712605237890862
OMA_STET_NCAAB_under | ORST_UTSA_NCAAB_under,0.5540011748,273.0,"(0.390631641759707, 0.41657910715480345)",0.390631641759707,0.41657910715480345,2.0,17.310975469241015
JAX_BAL_NFL_awayCover | NE_KC_NFL_homeWin,0.30195384557099997,760.0,"(0.21010566735665787, 0.3354973750609379)",0.21010566735665787,0.3354973750609379,2.0,9.310904864683138
PHX_WSH_NBA_awayCover | OKST_ORU_NCAAB_homeCover,0.49668659289899997,265.0,"(0.30675700531371697, 0.2493646298189554)",0.30675700531371697,0.2493646298189554,2.0,13.59404212644439
SA_NO_NBA_under | EKU_NKU_NCAAB_awayCover,0.4575881211000001,273.0,"(0.25890245117326016, 0.18299320828021606)",0.25890245117326016,0.18299320828021606,2.0,11.473351111540634
MIZ_HALL_NCAAB_awayCover | JAX_BAL_NFL_awayWin,0.5200757288,194.0,"(0.2726920838515463, 0.14426028683487963)",0.2726920838515463,0.14426028683487963,2.0,12.08444342333676
MIZ_HALL_NCAAB_awayWin | TEN_HOU_NFL_awayWin,0.34378715631075,412.0,"(0.18451219425025245, 0.14026436928741673)",0.18451219425025245,0.14026436928741673,2.0,8.17672130719703
EKU_NKU_NCAAB_awayWin | CAR_ATL_NFL_awayCover,0.38009659526100004,331.0,"(0.19281459987157407, 0.12305742544723257)",0.19281459987157407,0.12305742544723257,2.0,8.54464526593972
SJSU_MONT_NCAAB_under | CAR_ATL_NFL_awayWin,0.4793275719945,214.0,"(0.23602269909473367, 0.1192123690042412)",0.23602269909473367,0.1192123690042412,2.0,10.459427034142603
MCN_UL_NCAAB_over | MIZ_HALL_NCAAB_over,0.40985251487999996,268.0,"(0.18964822938746265, 0.09639008843826306)",0.18964822938746265,0.09639008843826306,2.0,8.40432646961779
PHX_WSH_NBA_under | SYR_ORE_NCAAB_awayCover,0.40621338968099996,265.0,"(0.18214297069269805, 0.08791656369781682)",0.18214297069269805,0.08791656369781682,2.0,8.071728350914187
UNI_ALCN_NCAAB_awayCover | OKST_ORU_NCAAB_homeWin,0.5435178458290001,143.0,"(0.22429955619893022, 0.07194371600278295)",0.22429955619893022,0.07194371600278295,2.0,9.939911927333881
ILL_COLG_NCAAB_under | NE_KC_NFL_homeCover,0.3878135620590001,265.0,"(0.15679981189258502, 0.06515337967530763)",0.15679981189258502,0.06515337967530763,2.0,6.948637557947377
STAN_IDHO_NCAAB_awayCover | CAR_ATL_NFL_over,0.3816922619,264.0,"(0.1474847853469697, 0.05742465143934217)",0.1474847853469697,0.05742465143934217,2.0,6.535838954894969
SYR_ORE_NCAAB_awayWin | TEN_HOU_NFL_awayCover,0.46708863642,178.0,"(0.167700229914382, 0.05005959346173912)",0.167700229914382,0.05005959346173912,2.0,7.431693329184349
HAW_NEV_NCAAB_over | OMA_STET_NCAAB_awayWin,0.382657531292,244.0,"(0.12964832280511474, 0.04101319775907734)",0.12964832280511474,0.04101319775907734,2.0,5.7454099867520805
POR_GS_NBA_awayCover | MSST_UNT_NCAAB_homeCover,0.35885960061899996,264.0,"(0.11600338873225752, 0.035525915561049545)",0.11600338873225752,0.035525915561049545,2.0,5.140730043390138
AUB_USC_NCAAB_homeCover | SYR_ORE_NCAAB_over,0.35334975646600003,264.0,"(0.10840648240009093, 0.03102518872559364)",0.10840648240009093,0.03102518872559364,2.0,4.804070528134704
OMA_STET_NCAAB_awayCover | SJSU_MONT_NCAAB_awayWin,0.31109138895599997,320.0,"(0.09580744800474997, 0.029373014698185193)",0.09580744800474997,0.029373014698185193,2.0,4.245739988469834
POR_GS_NBA_awayWin | TEN_HOU_NFL_over,0.42248939035700006,187.0,"(0.11366018733935307, 0.024157853407851478)",0.11366018733935307,0.024157853407851478,2.0,5.0368902682778804
SJSU_MONT_NCAAB_awayCover | JAX_BAL_NFL_under,0.342832668843,257.0,"(0.08712553609708562, 0.01950850773332574)",0.08712553609708562,0.01950850773332574,2.0,3.8609980782071225
HAW_NEV_NCAAB_awayWin | NO_NYG_NFL_under,0.339082850708,241.0,"(0.06484336967397508, 0.010133236843528654)",0.06484336967397508,0.010133236843528654,2.0,2.873556214526024
LOU_PEPP_NCAAB_under | NO_NYG_NFL_homeCover,0.31497754753,265.0,"(0.056478508862075505, 0.008453028202701385)",0.056478508862075505,0.008453028202701385,2.0,2.5028645325462935
ILST_NDSU_NCAAB_under | LOU_PEPP_NCAAB_awayCover,0.311809844335,261.0,"(0.048135455191321785, 0.0060474275413017)",0.048135455191321785,0.0060474275413017,2.0,2.133139241521812
