homeTeamAbbrev,awayTeamAbbrev,sport,index,probability,odds,kelly,unitPercent,unitReturn
PFW,NKU,NCAAB,homeWin,0.9826159999999999,-238.0,"(0.9412420799999998, 0.3722422912448428)",0.9412420799999998,0.3722422912448428
PFW,NKU,NCAAB,homeCover,0.9629300000000001,-110.0,"(0.9221530000000001, 0.7730601412809095)",0.9221530000000001,0.7730601412809095
BUFF,NIA,NCAAB,over,0.9330099999999999,-110.0,"(0.8593209999999998, 0.6713023464009088)",0.8593209999999998,0.6713023464009088
BOS,TOR,NBA,homeWin,0.964947,-380.0,"(0.8317456, 0.1820528271366737)",0.8317456,0.1820528271366737
BOS,TOR,NBA,homeCover,0.906976,-110.0,"(0.8046496, 0.5886008898001455)",0.8046496,0.5886008898001455
UCF,BCU,NCAAB,homeWin,0.9954495000000001,-4724.0,"(0.7804838800000047, 0.012894900231580558)",0.7804838800000047,0.012894900231580558
LSU,NWST,NCAAB,homeCover,0.894603,-110.0,"(0.7786663, 0.5512010970506274)",0.7786663,0.5512010970506274
BOIS,UVU,NCAAB,homeWin,0.9656330000000001,-550.0,"(0.7766145000000004, 0.10966001483822745)",0.7766145000000004,0.10966001483822745
LAC,MEM,NBA,homeWin,0.9377929999999999,-278.0,"(0.7648575399999995, 0.21043419298375926)",0.7648575399999995,0.21043419298375926
NEB,SCST,NCAAB,homeCover,0.8830260000000001,-110.0,"(0.7543546000000002, 0.5173189659465095)",0.7543546000000002,0.5173189659465095
LSU,NWST,NCAAB,homeWin,0.9964614999999999,-7500.0,"(0.7310739999999916, 0.007126255913013288)",0.7310739999999916,0.007126255913013288
IUPU,DETM,NCAAB,homeCover,0.870562,-108.0,"(0.7307689599999999, 0.49446599342544584)",0.7307689599999999,0.49446599342544584
MINN,ME,NCAAB,homeCover,0.8674939999999999,-108.0,"(0.7243875199999997, 0.4858678510479168)",0.7243875199999997,0.4858678510479168
LAC,MEM,NBA,under,0.8680469999999999,-110.0,"(0.7228986999999998, 0.4750750276924453)",0.7228986999999998,0.4750750276924453
USF,ALST,NCAAB,over,0.8639209999999999,-105.0,"(0.7210380499999999, 0.49513892337885934)",0.7210380499999999,0.49513892337885934
LAC,MEM,NBA,homeCover,0.863,-108.0,"(0.71504, 0.47340944592592604)",0.71504,0.47340944592592604
UCF,BCU,NCAAB,homeCover,0.8607710000000001,-110.0,"(0.7076191000000002, 0.45520435516800933)",0.7076191000000002,0.45520435516800933
NEB,SCST,NCAAB,homeWin,0.9960885,-7500.0,"(0.7027260000000033, 0.006584317747680064)",0.7027260000000033,0.006584317747680064
BOIS,UVU,NCAAB,homeCover,0.8499049999999999,-110.0,"(0.6848004999999998, 0.42631974981840887)",0.6848004999999998,0.42631974981840887
IUPU,DETM,NCAAB,homeWin,0.829963,114.0,"(0.6808077368421053, 0.5283890589802388)",0.6808077368421053,0.5283890589802388
MINN,ME,NCAAB,homeWin,0.9814515,-1650.0,"(0.6754012500000006, 0.02764647566676135)",0.6754012500000006,0.02764647566676135
PUR,EKU,NCAAB,homeCover,0.844088,-110.0,"(0.6725847999999999, 0.41124573926458163)",0.6725847999999999,0.41124573926458163
UTAH,WSU,NCAAB,under,0.8349580000000001,-110.0,"(0.6534118000000002, 0.3881336185265821)",0.6534118000000002,0.3881336185265821
CIN,EVAN,NCAAB,homeCover,0.8311530000000001,-108.0,"(0.6487982400000003, 0.3897584779880538)",0.6487982400000003,0.3897584779880538
IU,KENN,NCAAB,homeCover,0.806794,-110.0,"(0.5942674, 0.3210488570025091)",0.5942674,0.3210488570025091
NDSU,SDAK,NCAAB,homeWin,0.9137560000000001,-395.0,"(0.5730922000000007, 0.08314801764578254)",0.5730922000000007,0.08314801764578254
UNC,CHSO,NCAAB,under,0.795957,-110.0,"(0.5715097, 0.2969303065400819)",0.5715097,0.2969303065400819
ORL,NY,NBA,under,0.7903629999999999,-110.0,"(0.5597622999999998, 0.28484893863753624)",0.5597622999999998,0.28484893863753624
NDSU,SDAK,NCAAB,homeCover,0.7937249999999999,-115.0,"(0.5565087499999998, 0.2693060772404889)",0.5565087499999998,0.2693060772404889
IU,KENN,NCAAB,under,0.773348,-110.0,"(0.5240308, 0.2496438903169455)",0.5240308,0.2496438903169455
USF,ALST,NCAAB,homeCover,0.77261,-110.0,"(0.522481, 0.24816945032818186)",0.522481,0.24816945032818186
UCF,BCU,NCAAB,under,0.773239,-112.0,"(0.5192666800000001, 0.2407481115698414)",0.5192666800000001,0.2407481115698414
UK,CLEM,NCAAF,awayCover,0.766636,-110.0,"(0.5099355999999999, 0.23639483286123633)",0.5099355999999999,0.23639483286123633
NU,JKST,NCAAB,homeCover,0.76598,-110.0,"(0.508558, 0.23511930851272733)",0.508558,0.23511930851272733
MINN,ME,NCAAB,under,0.754996,-110.0,"(0.48549159999999997, 0.21427463060960003)",0.48549159999999997,0.21427463060960003
UK,CLEM,NCAAF,awayWin,0.8269759999999999,-198.0,"(0.48438847999999984, 0.11850111088722742)",0.48438847999999984,0.11850111088722742
UMBC,AMER,NCAAB,over,0.752201,-110.0,"(0.4796221, 0.20912487164400914)",0.4796221,0.20912487164400914
BOS,TOR,NBA,under,0.7515240000000001,-110.0,"(0.47820040000000014, 0.2078869296001456)",0.47820040000000014,0.2078869296001456
UK,ILST,NCAAB,homeCover,0.739174,-110.0,"(0.4522654, 0.18594908367014543)",0.4522654,0.18594908367014543
USD,FRES,NCAAB,homeCover,0.7348089999999999,-110.0,"(0.44309889999999985, 0.1784878501647363)",0.44309889999999985,0.1784878501647363
PHX,CHA,NBA,under,0.7409169999999999,-115.0,"(0.4429715499999999, 0.170629386182089)",0.4429715499999999,0.170629386182089
IOWA,NIU,NCAAB,over,0.730272,-110.0,"(0.43357120000000005, 0.17089453224494552)",0.43357120000000005,0.17089453224494552
CLEM,RAD,NCAAB,homeCover,0.729597,-110.0,"(0.4321537000000001, 0.16977892765790006)",0.4321537000000001,0.16977892765790006
SMC,KENT,NCAAB,homeWin,0.911454,-550.0,"(0.4244509999999999, 0.03275611843654551)",0.4244509999999999,0.03275611843654551
IU,KENN,NCAAB,homeWin,0.9474175,-1000.0,"(0.42159250000000026, 0.01777402360562505)",0.42159250000000026,0.01777402360562505
SMC,KENT,NCAAB,homeCover,0.7232389999999999,-110.0,"(0.41880189999999967, 0.15945002858509982)",0.41880189999999967,0.15945002858509982
ATL,SAC,NBA,under,0.7199319999999999,-108.0,"(0.4174585599999998, 0.1613626382567347)",0.4174585599999998,0.1613626382567347
STBK,BRWN,NCAAB,homeWin,0.75581,-142.0,"(0.40906019999999993, 0.11783820227045064)",0.40906019999999993,0.11783820227045064
USD,FRES,NCAAB,homeWin,0.6967675000000001,105.0,"(0.4079746428571431, 0.17476547467513404)",0.4079746428571431,0.17476547467513404
MIA,UNF,NCAAB,homeCover,0.712001,-108.0,"(0.40096208, 0.14886165703511706)",0.40096208,0.14886165703511706
BUFF,NIA,NCAAB,awayCover,0.711686,-110.0,"(0.3945406000000001, 0.14151116822578186)",0.3945406000000001,0.14151116822578186
UTAH,WSU,NCAAB,homeWin,0.8668819999999998,-355.0,"(0.3943130999999992, 0.04379797769904491)",0.3943130999999992,0.04379797769904491
OSU,MIZ,NCAAF,homeCover,0.708685,-110.0,"(0.3882385, 0.13702648443840915)",0.3882385,0.13702648443840915
HOU,PHI,NBA,under,0.708109,-110.0,"(0.38702889999999995, 0.1361739722138273)",0.38702889999999995,0.1361739722138273
BUFF,NIA,NCAAB,awayWin,0.6317675,150.0,"(0.38627916666666673, 0.22381739190104175)",0.38627916666666673,0.22381739190104175
CAL,ARIZ,NCAAB,awayCover,0.7074239999999999,-112.0,"(0.3797388799999999, 0.12875144373540562)",0.3797388799999999,0.12875144373540562
POR,SA,NBA,under,0.70082,-110.0,"(0.371722, 0.12561567753090916)",0.371722,0.12561567753090916
OSU,MIZ,NCAAF,homeWin,0.7891255,-198.0,"(0.37159399000000015, 0.06973843101218195)",0.37159399000000015,0.06973843101218195
BOIS,UVU,NCAAB,under,0.7006420000000001,-110.0,"(0.3713482000000002, 0.12536316876658193)",0.3713482000000002,0.12536316876658193
LSU,NWST,NCAAB,over,0.6995619999999999,-110.0,"(0.3690801999999998, 0.1238365400291272)",0.3690801999999998,0.1238365400291272
STBK,BRWN,NCAAB,homeCover,0.6989080000000001,-110.0,"(0.36770680000000017, 0.12291662796930922)",0.36770680000000017,0.12291662796930922
JOES,L-MD,NCAAB,homeCover,0.6985189999999999,-110.0,"(0.36688989999999977, 0.1223710897472817)",0.36688989999999977,0.1223710897472817
UTAH,WSU,NCAAB,homeCover,0.694746,-110.0,"(0.3589665999999999, 0.1171427453777818)",0.3589665999999999,0.1171427453777818
TEX,UNCG,NCAAB,awayCover,0.6943119999999999,-110.0,"(0.35805519999999985, 0.11654866022458173)",0.35805519999999985,0.11654866022458173
GONZ,SDSU,NCAAB,homeCover,0.6976049999999999,-115.0,"(0.3498507499999998, 0.10643091067440204)",0.3498507499999998,0.10643091067440204
CLE,MIL,NBA,under,0.688948,-110.0,"(0.3467908, 0.10933078087694548)",0.3467908,0.10933078087694548
UNC,CHSO,NCAAB,homeCover,0.6884079999999999,-110.0,"(0.3456567999999998, 0.10861693035112716)",0.3456567999999998,0.10861693035112716
USD,FRES,NCAAB,under,0.679084,-110.0,"(0.32607640000000004, 0.09665983512450917)",0.32607640000000004,0.09665983512450917
JOES,L-MD,NCAAB,under,0.6786910000000002,-110.0,"(0.3252511000000003, 0.09617116186473657)",0.3252511000000003,0.09617116186473657
GONZ,SDSU,NCAAB,homeWin,0.8317465,-305.0,"(0.31857332500000024, 0.0332750699677232)",0.31857332500000024,0.0332750699677232
SEMO,USI,NCAAB,awayCover,0.671691,-108.0,"(0.31711728000000006, 0.0931142308098134)",0.31711728000000006,0.0931142308098134
PFW,NKU,NCAAB,over,0.680655,-115.0,"(0.31340825, 0.0854128097113587)",0.31340825,0.0854128097113587
CIN,EVAN,NCAAB,homeWin,0.9791614999999999,-3200.0,"(0.31232949999999693, 0.003048428642820254)",0.31232949999999693,0.003048428642820254
MILW,RMU,NCAAB,over,0.672449,-110.0,"(0.3121428999999999, 0.08857562729128178)",0.3121428999999999,0.08857562729128178
IOWA,NIU,NCAAB,homeCover,0.6736639999999999,-112.0,"(0.3081676799999999, 0.08479224910409137)",0.3081676799999999,0.08479224910409137
ISU,MEM,NCAAF,under,0.66983,-110.0,"(0.30664300000000005, 0.08548175404454551)",0.30664300000000005,0.08548175404454551
LMU,TAR,NCAAB,homeCover,0.6598980000000001,-105.0,"(0.3027909000000002, 0.08731650392648581)",0.3027909000000002,0.08731650392648581
SMC,KENT,NCAAB,over,0.6699219999999999,-112.0,"(0.30023463999999983, 0.08048289201422272)",0.30023463999999983,0.08048289201422272
SEMO,USI,NCAAB,awayWin,0.63255,110.0,"(0.29850454545454536, 0.09801546002272722)",0.29850454545454536,0.09801546002272722
DEN,OKC,NBA,under,0.669868,-115.0,"(0.29021620000000004, 0.0732395154282087)",0.29021620000000004,0.0732395154282087
PHX,CHA,NBA,homeCover,0.660058,-110.0,"(0.28612180000000004, 0.07442334948658187)",0.28612180000000004,0.07442334948658187
ISU,MEM,NCAAF,homeCover,0.656849,-110.0,"(0.27938290000000005, 0.07095891346582729)",0.27938290000000005,0.07095891346582729
STBK,BRWN,NCAAB,under,0.658611,-112.0,"(0.2762553199999999, 0.06814018020384137)",0.2762553199999999,0.06814018020384137
WSH,BKN,NBA,awayCover,0.6535949999999999,-110.0,"(0.27254949999999983, 0.06753020904568176)",0.27254949999999983,0.06753020904568176
LMU,TAR,NCAAB,homeWin,0.8030195,-270.0,"(0.27117214999999995, 0.02723493886504536)",0.27117214999999995,0.02723493886504536
ECU,ETSU,NCAAB,homeCover,0.6555970000000001,-112.0,"(0.26986564000000024, 0.06502452111840153)",0.26986564000000024,0.06502452111840153
KC,ORU,NCAAB,homeWin,0.529324,180.0,"(0.26783733333333337, 0.1291263068288)",0.26783733333333337,0.1291263068288
UK,CLEM,NCAAF,over,0.6511779999999999,-110.0,"(0.2674737999999998, 0.06503839426039995)",0.2674737999999998,0.06503839426039995
WSH,BKN,NBA,awayWin,0.7821335,-238.0,"(0.2636112300000001, 0.029197848984081114)",0.2636112300000001,0.029197848984081114
UAB,UNCA,NCAAB,over,0.6483240000000001,-110.0,"(0.2614804000000002, 0.062156363258327386)",0.2614804000000002,0.062156363258327386
KC,ORU,NCAAB,homeCover,0.642642,-108.0,"(0.2566953600000001, 0.0610115813384534)",0.2566953600000001,0.0610115813384534
UND,STMN,NCAAB,under,0.645259,-110.0,"(0.25504390000000005, 0.05913399175200913)",0.25504390000000005,0.05913399175200913
ISU,MEM,NCAAF,homeWin,0.8350415,-355.0,"(0.24943882500000003, 0.01752668377954383)",0.24943882500000003,0.01752668377954383
DEN,OKC,NBA,homeWin,0.7052379999999999,-155.0,"(0.24835689999999977, 0.03979429017910312)",0.24835689999999977,0.03979429017910312
TEX,UNCG,NCAAB,awayWin,0.31339400000000006,1000.0,"(0.24473340000000007, 0.5989443707556004)",0.24473340000000007,0.5989443707556004
GB,WRST,NCAAB,under,0.639671,-110.0,"(0.24330909999999994, 0.05381756194800908)",0.24330909999999994,0.05381756194800908
DEN,OKC,NBA,homeCover,0.6306,-108.0,"(0.23164800000000013, 0.04968592213333337)",0.23164800000000013,0.04968592213333337
CLE,MIL,NBA,homeWin,0.49581649999999994,190.0,"(0.2304567631578946, 0.10090960740190645)",0.2304567631578946,0.10090960740190645
OMA,DEN,NCAAB,under,0.630176,-110.0,"(0.2233695999999999, 0.0453581620037818)",0.2233695999999999,0.0453581620037818
CLE,MIL,NBA,homeCover,0.624587,-108.0,"(0.21914096, 0.04446551884233485)",0.21914096,0.04446551884233485
ECU,ETSU,NCAAB,homeWin,0.8453725,-410.0,"(0.2113997499999999, 0.010899964463429853)",0.2113997499999999,0.010899964463429853
PUR,EKU,NCAAB,over,0.622101,-110.0,"(0.20641210000000004, 0.038732686387645494)",0.20641210000000004,0.038732686387645494
UK,ILST,NCAAB,under,0.618295,-110.0,"(0.19841950000000008, 0.03579117998204551)",0.19841950000000008,0.03579117998204551
ND,ORST,NCAAF,awayCover,0.614174,-110.0,"(0.18976539999999997, 0.032737188215600004)",0.18976539999999997,0.032737188215600004
ORL,NY,NBA,homeWin,0.631706,-120.0,"(0.1897532, 0.030005230758533334)",0.1897532,0.030005230758533334
ND,ORST,NCAAF,over,0.612942,-110.0,"(0.18717819999999996, 0.03185061686839998)",0.18717819999999996,0.03185061686839998
SFA,UNO,NCAAB,homeCover,0.6091650000000001,-110.0,"(0.17924650000000014, 0.0292084616020455)",0.17924650000000014,0.0292084616020455
OMA,DEN,NCAAB,awayWin,0.6225395,-118.0,"(0.17713611, 0.02659084869994246)",0.17713611,0.02659084869994246
POR,SA,NBA,homeCover,0.602096,-110.0,"(0.16440159999999993, 0.024570805529599993)",0.16440159999999993,0.024570805529599993
HOU,PHI,NBA,awayWin,0.6179705,-120.0,"(0.15953509999999999, 0.02120954011000833)",0.15953509999999999,0.02120954011000833
ORL,NY,NBA,homeCover,0.598341,-110.0,"(0.1565161, 0.02227026323564547)",0.1565161,0.02227026323564547
ELON,VAL,NCAAB,over,0.596311,-110.0,"(0.15225310000000009, 0.021073642236009132)",0.15225310000000009,0.021073642236009132
