index,probability,odds,kelly,unitPercent,unitReturn,legs,betDollars
LAF_NAVY_NCAAB_under | SF_PORT_NCAAB_homeCover,0.8772330883120001,268.0,"(0.8314245391746867, 1.8525949284361316)",0.8314245391746867,1.8525949284361316,2.0,5.499761665680724
NWST_UIW_NCAAB_over | TAMC_HCU_NCAAB_over,0.796947416872,268.0,"(0.7211815276451343, 1.3938754927884067)",0.7211815276451343,1.3938754927884067,2.0,4.770518950134603
AUB_LSU_NCAAB_homeCover | GWEB_PRES_NCAAB_awayWin,0.50880490859,587.0,"(0.42512601737875644, 1.0608976069291345)",0.42512601737875644,1.0608976069291345,2.0,2.812151510206937
PRST_WEB_NCAAB_under | UIC_BRAD_NCAAB_under,0.705017788488,261.0,"(0.591997784077272, 0.914704192279765)",0.591997784077272,0.914704192279765,2.0,3.9159858359100514
ATL_WSH_NBA_over | BOS_HOU_NBA_under | MONT_NAU_NCAAB_homeCover | PV_MVSU_NCAAB_under,0.3167536330681502,1200.0,"(0.25981643582382935, 0.8100549638903765)",0.25981643582382935,0.8100549638903765,4.0,1.718650829425985
PV_MVSU_NCAAB_homeCover | WSU_ARIZ_NCAAB_awayCover,0.645247947456,276.0,"(0.5167145950849855, 0.7369033648557998)",0.5167145950849855,0.7369033648557998,2.0,3.4179976513166905
ALST_ALCN_NCAAB_homeCover | INST_BEL_NCAAB_over,0.6402691856439999,261.0,"(0.5024412874233102, 0.6588873154728189)",0.5024412874233102,0.6588873154728189,2.0,3.3235816380509866
CSUN_CSUF_NCAAB_homeCover | DETM_NKU_NCAAB_awayCover,0.599415558126,268.0,"(0.44994375145659704, 0.5425643369925603)",0.44994375145659704,0.5425643369925603,2.0,2.9763174880909364
AUB_LSU_NCAAB_under | ISU_OKST_NCAAB_homeCover,0.5906592098399999,268.0,"(0.43792010903402967, 0.5139543786822889)",0.43792010903402967,0.5139543786822889,2.0,2.896782708250147
GCU_TAR_NCAAB_homeCover | ORU_STMN_NCAAB_under,0.58141113876,264.0,"(0.4228547519266666, 0.47204821283918175)",0.4228547519266666,0.47204821283918175,2.0,2.797127394274073
L-MD_BU_NCAAB_under | UCD_CSUB_NCAAB_homeCover,0.575966799896,264.0,"(0.41534816349296966, 0.4554372158608343)",0.41534816349296966,0.4554372158608343,2.0,2.7474723199258104
UTC_UNCG_NCAAB_over | USD_PEPP_NCAAB_under,0.5747441236649999,261.0,"(0.4118108377128926, 0.4426251134108433)",0.4118108377128926,0.4426251134108433,2.0,2.724073384956194
ALST_ALCN_NCAAB_homeWin | GWEB_PRES_NCAAB_awayCover,0.6466698947280001,197.0,"(0.46731451134119806, 0.4302142194448235)",0.46731451134119806,0.4302142194448235,2.0,3.0912227318210603
GAST_GASO_NCAAB_homeCover | PUR_PSU_NCAAB_over,0.555188179782,273.0,"(0.39225344710141385, 0.4200453532628308)",0.39225344710141385,0.4200453532628308,2.0,2.594703872633975
DETM_NKU_NCAAB_under | MCN_SELA_NCAAB_homeCover,0.5444457913999999,273.0,"(0.37757611792014645, 0.38919896876855997)",0.37757611792014645,0.38919896876855997,2.0,2.4976153112765727
ARST_UL_NCAAB_over | CAM_HOF_NCAAB_under,0.5544880140800001,254.0,"(0.3790895944264569, 0.36502065833013553)",0.3790895944264569,0.36502065833013553,2.0,2.507626755104749
CSUN_CSUF_NCAAB_homeWin | KC_UND_NCAAB_under,0.6097473096,197.0,"(0.4116494972142132, 0.3338269578567275)",0.4116494972142132,0.3338269578567275,2.0,2.7230061392255833
BUCK_COLG_NCAAB_under | MIN_ARI_NHL_awayCover,0.626916829539,176.0,"(0.41493775541343175, 0.3030250799268649)",0.41493775541343175,0.3030250799268649,2.0,2.7447575255977905
EVAN_MOST_NCAAB_homeWin | GAST_GASO_NCAAB_over,0.4208226552270001,392.0,"(0.2730733325808266, 0.29231065626985103)",0.2730733325808266,0.29231065626985103,2.0,1.8063434210620155
UNA_EKU_NCAAB_homeWin | SFPA_CCSU_NCAAB_under,0.438615300352,358.0,"(0.28180393173524027, 0.28430017227035503)",0.28180393173524027,0.28430017227035503,2.0,1.8640951619422306
ULM_TXST_NCAAB_over | FLA_NJ_NHL_awayCover,0.541808667099,232.0,"(0.34431240291753445, 0.2750383914626041)",0.34431240291753445,0.2750383914626041,2.0,2.2775803038769933
CLEM_BC_NCAAB_over | COLO_USC_NCAAB_over,0.5018246731420001,268.0,"(0.31593835715020907, 0.26750968199031183)",0.31593835715020907,0.26750968199031183,2.0,2.0898898017824674
WVU_TEX_NCAAB_under | WIS_NU_NCAAB_over,0.500792349057,268.0,"(0.3145208375111045, 0.26511459737288007)",0.3145208375111045,0.26511459737288007,2.0,2.0805130997437766
CP_UCSD_NCAAB_under | CIT_WOF_NCAAB_homeCover,0.4989145772,268.0,"(0.3119424045134328, 0.26078561080610735)",0.3119424045134328,0.26078561080610735,2.0,2.063457111749728
UNC_SYR_NCAAB_under | KC_MIA_NFL_over,0.5004550203619998,264.0,"(0.31123343716578766, 0.25572690636248)",0.31123343716578766,0.25572690636248,2.0,2.0587673879599193
