index,probability,odds,kelly,unitPercent,unitReturn,legs,betDollars
POR_DAL_NBA_under | RID_STO_NCAAB_awayWin,0.27014048672799995,940.0,"(0.1924958576565106, 0.3483137590202065)",0.1924958576565106,0.3483137590202065,2.0,1.181486528074147
PHX_SAC_NBA_under | DEN_HOU_NBA_awayWin,0.2879644043429999,690.0,"(0.1847708397550289, 0.2355678162440721)",0.1847708397550289,0.2355678162440721,2.0,1.1340724969835743
OKC_GS_NBA_under | JVST_UIC_NCAAB_awayWin,0.470878544122,257.0,"(0.26499470915001555, 0.1804710434051784)",0.26499470915001555,0.1804710434051784,2.0,1.6264644999807922
MAN_FDU_NCAAB_awayWin | JVST_UIC_NCAAB_awayCover,0.440512338026,268.0,"(0.23174828505062686, 0.14393547723206968)",0.23174828505062686,0.14393547723206968,2.0,1.4224071105996712
POR_DAL_NBA_awayCover | MAN_FDU_NCAAB_awayCover,0.417774303082,268.0,"(0.20052590870961193, 0.10776451537102585)",0.20052590870961193,0.10776451537102585,2.0,1.2307727685911567
MAN_FDU_NCAAB_under | RID_STO_NCAAB_awayCover,0.42185762944200006,261.0,"(0.20034714263816863, 0.1047627314401574)",0.20034714263816863,0.1047627314401574,2.0,1.2296755517073321
DEN_HOU_NBA_awayCover | CHA_TOR_NBA_over,0.4003890599699999,268.0,"(0.17665363458567154, 0.08363343772103897)",0.17665363458567154,0.08363343772103897,2.0,1.0842513285181072
DUQ_SPU_NCAAB_over | QUIN_NAVY_NCAAB_under,0.385487380992,273.0,"(0.1603911835531721, 0.07023015570913346)",0.1603911835531721,0.07023015570913346,2.0,0.9844368855359171
MEM_MIN_NBA_awayCover | PHI_ATL_NBA_awayWin,0.23148028896999995,593.0,"(0.10188168677269807, 0.061552677130925465)",0.10188168677269807,0.061552677130925465,2.0,0.625321717801347
MEM_MIN_NBA_awayWin | BOS_NY_NBA_under,0.467887880824,172.0,"(0.1585203696751628, 0.04322137707535444)",0.1585203696751628,0.04322137707535444,2.0,0.9729543454942178
POR_DAL_NBA_awayWin | MEM_MIN_NBA_under,0.48007549432,148.0,"(0.12877515264432438, 0.024542899109082188)",0.12877515264432438,0.024542899109082188,2.0,0.7903864002697162
DEN_HOU_NBA_under | BKN_WSH_NBA_over,0.33311830391200004,268.0,"(0.08428185014782097, 0.019037193108430522)",0.08428185014782097,0.019037193108430522,2.0,0.5172987705974492
RID_STO_NCAAB_under | BOS_NY_NBA_homeCover,0.32696381044399997,264.0,"(0.07202585985460608, 0.013695592647779725)",0.07202585985460608,0.013695592647779725,2.0,0.442074879569729
EMU_OAK_NCAAB_over | MIA_CLE_NBA_homeCover,0.31206680859600006,271.0,"(0.05821692246906285, 0.009184759267393648)",0.05821692246906285,0.009184759267393648,2.0,0.35731942723604104
PHX_SAC_NBA_homeWin | MIA_CLE_NBA_homeWin,0.2809173227300001,310.0,"(0.04895516877193562, 0.0074294865034149615)",0.04895516877193562,0.0074294865034149615,2.0,0.3004733353111812
PHX_SAC_NBA_homeCover | SA_CHI_NBA_awayWin,0.33253325750249996,235.0,"(0.04850485643973401, 0.005528894580862135)",0.04850485643973401,0.005528894580862135,2.0,0.29770944230902
PHI_ATL_NBA_awayCover | SA_CHI_NBA_awayCover,0.301161154014,265.0,"(0.03744838194381134, 0.0037163104720553705)",0.03744838194381134,0.0037163104720553705,2.0,0.22984784869365102
CHA_TOR_NBA_homeWin | MIA_CLE_NBA_over,0.20744030078799996,435.0,"(0.025242668785241312, 0.0027717866241960738)",0.025242668785241312,0.0027717866241960738,2.0,0.15493254486347488
PHI_ATL_NBA_over | BC_HC_NCAAB_awayCover,0.292596383079,265.0,"(0.025651621976735817, 0.0017437151315989928)",0.025651621976735817,0.0017437151315989928,2.0,0.15744258685734394
QUIN_NAVY_NCAAB_homeCover | BOS_NY_NBA_homeWin,0.40394889608999995,160.0,"(0.03141695614624995, 0.0015792402135926256)",0.03141695614624995,0.0015792402135926256,2.0,0.19282861923255085
ORL_DET_NBA_under | JVST_UIC_NCAAB_under,0.28640094949,268.0,"(0.020132647060895514, 0.00108626692017861)",0.020132647060895514,0.00108626692017861,2.0,0.12356863969179088
HARV_ARMY_NCAAB_homeCover,0.5404329999999999,-112.0,"(0.02571795999999993, 0.0005905477380014259)",0.02571795999999993,0.0005905477380014259,1.0,0.15784975136332244
HARV_ARMY_NCAAB_under,0.532237,-110.0,"(0.017697699999999927, 0.00028473507753636236)",0.017697699999999927,0.00028473507753636236,1.0,0.10862360563212119
DEN_HOU_NBA_awayWin,0.4159489999999999,310.0,"(0.2275454516129031, 0.16050849090413202)",0.2275454516129031,0.16050849090413202,1.0,1.3966112771367467
PHX_SAC_NBA_under,0.692307,-108.0,"(0.35999856, 0.11999904000192008)",0.35999856,0.11999904000192008,1.0,2.2095719562186997
JVST_UIC_NCAAB_awayWin,0.699461,-115.0,"(0.35384115, 0.10887266037680211)",0.35384115,0.10887266037680211,1.0,2.171779470440588
OKC_GS_NBA_under,0.673202,-110.0,"(0.3137241999999999, 0.08947533969603633)",0.3137241999999999,0.08947533969603633,1.0,1.9255526863972632
MAN_FDU_NCAAB_awayWin,0.6651069999999999,-108.0,"(0.3034225599999998, 0.08524560177495692)",0.3034225599999998,0.08524560177495692,1.0,1.8623240589075836
JVST_UIC_NCAAB_awayCover,0.6623180000000001,-110.0,"(0.2908678000000001, 0.0769127973425819)",0.2908678000000001,0.0769127973425819,1.0,1.7852664017518007
MAN_FDU_NCAAB_awayCover,0.652493,-108.0,"(0.27718544, 0.07114052606295704)",0.27718544,0.07114052606295704,1.0,1.7012878465295556
MAN_FDU_NCAAB_under,0.659506,-112.0,"(0.2781527200000001, 0.0690794068244629)",0.2781527200000001,0.0690794068244629,1.0,1.7072247446155129
POR_DAL_NBA_awayCover,0.640274,-110.0,"(0.2445754, 0.05437920571378186)",0.2445754,0.05437920571378186,1.0,1.50113640738166
RID_STO_NCAAB_awayCover,0.639657,-110.0,"(0.24327970000000004, 0.05380455675644548)",0.24327970000000004,0.05380455675644548,1.0,1.4931837578386382
CHA_TOR_NBA_over,0.6386859999999999,-110.0,"(0.2412405999999997, 0.05290638826214535)",0.2412405999999997,0.05290638826214535,1.0,1.480668323954885
DEN_HOU_NBA_awayCover,0.626895,-108.0,"(0.22394159999999996, 0.04643503723199998)",0.22394159999999996,0.04643503723199998,1.0,1.3744918290527202
PHI_ATL_NBA_awayWin,0.3737229999999999,260.0,"(0.13284723076923066, 0.045885805479938396)",0.13284723076923066,0.045885805479938396,1.0,0.8153796936549025
DUQ_SPU_NCAAB_over,0.617792,-105.0,"(0.2164736, 0.04462935190186666)",0.2164736,0.04462935190186666,1.0,1.328655303014835
QUIN_NAVY_NCAAB_under,0.623976,-110.0,"(0.21034959999999991, 0.04022450383650908)",0.21034959999999991,0.04022450383650908,1.0,1.2910678786099055
MEM_MIN_NBA_awayCover,0.61939,-108.0,"(0.2083312, 0.0401869341605926)",0.2083312,0.0401869341605926,1.0,1.2786794956218412
BOS_NY_NBA_under,0.612248,-112.0,"(0.17796576000000003, 0.028278403332480002)",0.17796576000000003,0.028278403332480002,1.0,1.0923047927279144
MEM_MIN_NBA_awayWin,0.764213,-230.0,"(0.22190290000000013, 0.021409085664526074)",0.22190290000000013,0.021409085664526074,1.0,1.361978850258742
MEM_MIN_NBA_under,0.59074,-112.0,"(0.13236880000000012, 0.015644195726285743)",0.13236880000000012,0.015644195726285743,1.0,0.8124432174348755
BKN_WSH_NBA_over,0.585149,-110.0,"(0.12881290000000006, 0.015084330187645479)",0.12881290000000006,0.015084330187645479,1.0,0.7906180831367878
POR_DAL_NBA_awayWin,0.812668,-325.0,"(0.20383899999999977, 0.012784719360307667)",0.20383899999999977,0.012784719360307667,1.0,1.2511076099406147
BOS_NY_NBA_homeCover,0.574082,-110.0,"(0.10557219999999995, 0.010132263102581824)",0.10557219999999995,0.010132263102581824,1.0,0.6479730709931498
DEN_HOU_NBA_under,0.569288,-108.0,"(0.10411904000000005, 0.010037754157890379)",0.10411904000000005,0.010037754157890379,1.0,0.6390539753614936
RID_STO_NCAAB_under,0.569542,-110.0,"(0.09603819999999996, 0.008384850781127278)",0.09603819999999996,0.008384850781127278,1.0,0.5894560062843657
MIA_CLE_NBA_homeCover,0.560493,-108.0,"(0.08582544000000003, 0.00682037606592001)",0.08582544000000003,0.00682037606592001,1.0,0.526772899741962
EMU_OAK_NCAAB_over,0.556772,-108.0,"(0.07808576000000012, 0.0056457276988681636)",0.07808576000000012,0.0056457276988681636,1.0,0.4792688767311295
PHX_SAC_NBA_under | RID_STO_NCAAB_awayWin,0.26755692475049997,940.0,"(0.18963744866012763, 0.33804620218263187)",0.18963744866012763,0.33804620218263187,2.0,1.163942401348165
