homeTeamAbbrev,awayTeamAbbrev,sport,index,probability,odds,kelly,unitPercent,unitReturn
USA,APP,NCAAB,awayWin,0.938225,-166.0,"(0.8356785, 0.4206979249170181)",0.8356785,0.4206979249170181
VGK,FLA,NHL,homeCover,0.94592,-238.0,"(0.8172096, 0.2806014833328403)",0.8172096,0.2806014833328403
USA,APP,NCAAB,awayCover,0.907081,-110.0,"(0.8048701, 0.5889235253400091)",0.8048701,0.5889235253400091
WIU,SEMO,NCAAB,homeWin,0.955314,-340.0,"(0.8033816, 0.18982999859369423)",0.8033816,0.18982999859369423
TXST,CCU,NCAAB,over,0.888866,-112.0,"(0.7643959200000001, 0.5216974308148631)",0.7643959200000001,0.5216974308148631
WIU,SEMO,NCAAB,homeCover,0.8860169999999999,-110.0,"(0.7606356999999999, 0.5259696982858999)",0.7606356999999999,0.5259696982858999
PAC,SF,NCAAB,awayWin,0.990291,-2400.0,"(0.7572750000000008, 0.02389439273437508)",0.7572750000000008,0.02389439273437508
PAC,SF,NCAAB,awayCover,0.8796569999999999,-110.0,"(0.7472796999999998, 0.5076608636655361)",0.7472796999999998,0.5076608636655361
EKU,LIP,NCAAB,over,0.878838,-112.0,"(0.7431365600000001, 0.49308209536485137)",0.7431365600000001,0.49308209536485137
W&M,ELON,NCAAB,over,0.8753000000000001,-110.0,"(0.7381300000000002, 0.49530536081818216)",0.7381300000000002,0.49530536081818216
CSUB,HAW,NCAAB,over,0.8724080000000001,-110.0,"(0.7320568000000002, 0.4871883258420366)",0.7320568000000002,0.4871883258420366
MORE,TNTC,NCAAB,homeWin,0.97027,-855.4,"(0.7159595799999997, 0.05992496144421053)",0.7159595799999997,0.05992496144421053
SEA,UTU,NCAAB,homeWin,0.959994,-650.0,"(0.6999550000000001, 0.07537492338846144)",0.6999550000000001,0.07537492338846144
MORE,TNTC,NCAAB,homeCover,0.8339280000000001,-105.0,"(0.6595524000000003, 0.41429463651977166)",0.6595524000000003,0.41429463651977166
SEA,UTU,NCAAB,homeCover,0.837303,-110.0,"(0.6583363, 0.3940060762706273)",0.6583363,0.3940060762706273
USM,GAST,NCAAB,over,0.829849,-112.0,"(0.6392798799999999, 0.3648917544400127)",0.6392798799999999,0.3648917544400127
MTL,BUF,NHL,homeCover,0.8748349999999999,-218.0,"(0.6019752999999998, 0.16622672560095858)",0.6019752999999998,0.16622672560095858
WICH,UNT,NCAAB,under,0.81435,-115.0,"(0.6008525, 0.3139336754402174)",0.6008525,0.3139336754402174
GONZ,PEPP,NCAAB,homeCover,0.808336,-110.0,"(0.5975056000000001, 0.3245572200285092)",0.5975056000000001,0.3245572200285092
GS,DEN,NBA,under,0.7721600000000001,-110.0,"(0.5215360000000001, 0.24727254481454558)",0.5215360000000001,0.24727254481454558
UCI,CSUF,NCAAB,homeCover,0.7716620000000001,-110.0,"(0.5204902000000001, 0.2462818620873093)",0.5204902000000001,0.2462818620873093
