homeTeamAbbrev,awayTeamAbbrev,sport,index,probability,odds,kelly,unitPercent,unitReturn
BOS,UTAH,NBA,under,0.9108989999999999,-108.0,"(0.8146699199999998, 0.6145250727340799)",0.8146699199999998,0.6145250727340799
SJSU,BOIS,NCAAB,under,0.8400780000000001,-110.0,"(0.6641638000000002, 0.4010123211185821)",0.6641638000000002,0.4010123211185821
CLE,WSH,NBA,homeWin,0.939702,-500.0,"(0.6382120000000002, 0.08146291138880006)",0.6382120000000002,0.08146291138880006
CLE,WSH,NBA,homeCover,0.827662,-110.0,"(0.6380902, 0.3701446393964)",0.6380902,0.3701446393964
LAL,MEM,NBA,homeWin,0.843585,-175.0,"(0.5698587500000001, 0.18556513997232144)",0.5698587500000001,0.18556513997232144
NO,LAC,NBA,homeCover,0.784071,-110.0,"(0.5465490999999999, 0.2715599261007363)",0.5465490999999999,0.2715599261007363
CHI,CHA,NBA,over,0.7808649999999999,-110.0,"(0.5398164999999998, 0.26491077606568164)",0.5398164999999998,0.26491077606568164
LAL,MEM,NBA,homeCover,0.776334,-110.0,"(0.5303013999999999, 0.2556541589472363)",0.5303013999999999,0.2556541589472363
NO,LAC,NBA,homeWin,0.7652019999999999,-105.0,"(0.5186640999999999, 0.2562023320274379)",0.5186640999999999,0.2562023320274379
BUT,CONN,NCAAB,under,0.763911,-110.0,"(0.5042131000000001, 0.23111895473782734)",0.5042131000000001,0.23111895473782734
PHI,NY,NBA,homeWin,0.836297,-225.0,"(0.46796524999999983, 0.09732954453669439)",0.46796524999999983,0.09732954453669439
BOS,UTAH,NBA,homeCover,0.7465610000000001,-110.0,"(0.4677781000000003, 0.19892395530873663)",0.4677781000000003,0.19892395530873663
DAL,POR,NBA,homeCover,0.745905,-110.0,"(0.46640050000000005, 0.1977540240002274)",0.46640050000000005,0.1977540240002274
CHI,CHA,NBA,homeCover,0.7372749999999999,-112.0,"(0.44302299999999983, 0.17524051654374986)",0.44302299999999983,0.17524051654374986
WSH,CAR,NHL,homeCover,0.7972520000000001,-175.0,"(0.4424430000000002, 0.11186046185657152)",0.4424430000000002,0.11186046185657152
HOU,MIN,NBA,under,0.7302850000000001,-110.0,"(0.43359850000000016, 0.17091605382022745)",0.43359850000000016,0.17091605382022745
PHI,NY,NBA,homeCover,0.724281,-110.0,"(0.42099009999999987, 0.16112060390728175)",0.42099009999999987,0.16112060390728175
GS,DET,NBA,homeCover,0.718952,-110.0,"(0.4097992000000001, 0.15266853120058188)",0.4097992000000001,0.15266853120058188
DEN,ORL,NBA,under,0.715615,-108.0,"(0.4084792, 0.15449560817837038)",0.4084792,0.15449560817837038
SIE,FAIR,NCAAB,awayCover,0.7116850000000001,-108.0,"(0.40030480000000024, 0.1483740119472595)",0.40030480000000024,0.1483740119472595
CHI,CHA,NBA,homeWin,0.8694540000000001,-360.0,"(0.3994884000000003, 0.04433082825960007)",0.3994884000000003,0.04433082825960007
SIE,FAIR,NCAAB,awayWin,0.7917449999999999,-192.0,"(0.3918953999999998, 0.07999062736518747)",0.3918953999999998,0.07999062736518747
SAC,TOR,NBA,homeWin,0.7853919999999999,-185.0,"(0.38836719999999963, 0.0815292335328863)",0.38836719999999963,0.0815292335328863
SAC,TOR,NBA,homeCover,0.7052340000000001,-110.0,"(0.38099140000000026, 0.13195858806723657)",0.38099140000000026,0.13195858806723657
GS,DET,NBA,homeWin,0.8872390000000001,-470.0,"(0.3572623000000006, 0.027156670425806467)",0.3572623000000006,0.027156670425806467
DAL,POR,NBA,homeWin,0.898212,-535.0,"(0.3536462, 0.023376754163446735)",0.3536462,0.023376754163446735
PHX,MIA,NBA,under,0.6769449999999999,-105.0,"(0.33773724999999977, 0.10863471432148797)",0.33773724999999977,0.10863471432148797
SAC,TOR,NBA,under,0.6788919999999999,-110.0,"(0.3256731999999999, 0.09642093927112724)",0.3256731999999999,0.09642093927112724
BUT,CONN,NCAAB,awayCover,0.6707500000000001,-108.0,"(0.31516000000000016, 0.09196835703703714)",0.31516000000000016,0.09196835703703714
BUT,CONN,NCAAB,awayWin,0.783522,-218.0,"(0.3115999600000002, 0.044538777555964054)",0.3115999600000002,0.044538777555964054
BKN,OKC,NBA,awayWin,0.7729699999999999,-205.0,"(0.3075584999999998, 0.04614255166939018)",0.3075584999999998,0.04614255166939018
BKN,OKC,NBA,awayCover,0.6682199999999998,-110.0,"(0.3032619999999996, 0.08360712785818161)",0.3032619999999996,0.08360712785818161
MSM,CAN,NCAAB,awayCover,0.6558250000000001,-110.0,"(0.2772325000000002, 0.06987078096022743)",0.2772325000000002,0.06987078096022743
AKR,BGSU,NCAAB,under,0.647937,-110.0,"(0.26066769999999995, 0.06177059074844544)",0.26066769999999995,0.06177059074844544
PHI,NY,NBA,under,0.6496480000000001,-112.0,"(0.2572537600000003, 0.05908883663762296)",0.2572537600000003,0.05908883663762296
MSM,CAN,NCAAB,over,0.6424989999999999,-110.0,"(0.24924789999999986, 0.05647683241309995)",0.24924789999999986,0.05647683241309995
DAL,POR,NBA,under,0.6419170000000001,-110.0,"(0.24802570000000013, 0.055924316236809185)",0.24802570000000013,0.055924316236809185
MSM,CAN,NCAAB,awayWin,0.5794190000000001,120.0,"(0.22893483333333353, 0.0628933894960335)",0.22893483333333353,0.0628933894960335
HOU,MIN,NBA,homeCover,0.632428,-110.0,"(0.2280988, 0.0472991477831273)",0.2280988,0.0472991477831273
ANA,WPG,NHL,homeCover,0.6940179999999999,-155.0,"(0.21974589999999977, 0.031153716494716033)",0.21974589999999977,0.031153716494716033
SJSU,BOIS,NCAAB,awayCover,0.629898,-112.0,"(0.21538375999999992, 0.04141978934976569)",0.21538375999999992,0.04141978934976569
PUR,ILL,NCAAB,homeCover,0.6171369999999999,-110.0,"(0.19598769999999988, 0.03491925322844544)",0.19598769999999988,0.03491925322844544
HOU,MIN,NBA,homeWin,0.5320029999999999,136.0,"(0.18788755882352925, 0.04801035927450467)",0.18788755882352925,0.04801035927450467
BOS,UTAH,NBA,homeWin,0.937137,-1200.0,"(0.18278099999999997, 0.002784074496749977)",0.18278099999999997,0.002784074496749977
TOL,M-OH,NCAAB,over,0.600175,-108.0,"(0.168364, 0.026246700459259278)",0.168364,0.026246700459259278
LAL,MEM,NBA,under,0.6033869999999999,-110.0,"(0.16711269999999978, 0.02538786772844541)",0.16711269999999978,0.02538786772844541
IND,ATL,NBA,over,0.6010409999999999,-110.0,"(0.16218609999999983, 0.02391302821200904)",0.16218609999999983,0.02391302821200904
NO,LAC,NBA,under,0.590434,-110.0,"(0.13991140000000002, 0.017795636227236365)",0.13991140000000002,0.017795636227236365
MAN,NIA,NCAAB,homeCover,0.585762,-108.0,"(0.13838496, 0.017731849216853356)",0.13838496,0.017731849216853356
IND,ATL,NBA,homeWin,0.6467270000000002,-148.0,"(0.12388296000000043, 0.010369586336730872)",0.12388296000000043,0.010369586336730872
SJSU,BOIS,NCAAB,awayWin,0.744005,-245.0,"(0.1168172500000001, 0.0055699060806377555)",0.1168172500000001,0.0055699060806377555
NJ,CHI,NHL,awayCover,0.48090099999999997,142.0,"(0.11533832394366195, 0.018890159137589003)",0.11533832394366195,0.018890159137589003
BKN,OKC,NBA,under,0.5784680000000001,-110.0,"(0.11478280000000018, 0.011977355614400057)",0.11478280000000018,0.011977355614400057
MAN,NIA,NCAAB,homeWin,0.507784,124.0,"(0.1108356129032258, 0.015232821028665808)",0.1108356129032258,0.015232821028665808
IND,ATL,NBA,homeCover,0.575693,-110.0,"(0.10895530000000003, 0.010792052180081835)",0.10895530000000003,0.010792052180081835
PHX,MIA,NBA,awayWin,0.46126,142.0,"(0.08186563380281686, 0.009516814437070413)",0.08186563380281686,0.009516814437070413
PHX,MIA,NBA,awayCover,0.561864,-110.0,"(0.07991440000000005, 0.0058057375703272785)",0.07991440000000005,0.0058057375703272785
ANA,WPG,NHL,under,0.561785,-115.0,"(0.05783774999999991, 0.0029088741957065097)",0.05783774999999991,0.0029088741957065097
TOL,M-OH,NCAAB,homeCover,0.546362,-110.0,"(0.04736020000000002, 0.0020390804945818203)",0.04736020000000002,0.0020390804945818203
GS,DET,NBA,under,0.542751,-110.0,"(0.0397770999999999, 0.0014383797131000008)",0.0397770999999999,0.0014383797131000008
AKR,BGSU,NCAAB,awayWin,0.239348,380.0,"(0.03917642105263158, 0.005832209472673687)",0.03917642105263158,0.005832209472673687
WSH,CAR,NHL,over,0.5346290000000001,-110.0,"(0.022720900000000266, 0.0004693084516454683)",0.022720900000000266,0.0004693084516454683
DEN,ORL,NBA,awayWin,0.250908,320.0,"(0.016816750000000047, 0.0009049698578000065)",0.016816750000000047,0.0009049698578000065
TOL,M-OH,NCAAB,awayWin,0.16070700000000004,525.0,"(0.0008416666666667127, 3.71911458333384e-06)",0.0008416666666667127,3.71911458333384e-06
MAN,NIA,NCAAB,under,0.510872,-105.0,"(-0.002712400000000059, 0)",-0.002712400000000059,0.0
PUR,ILL,NCAAB,under,0.522488,-110.0,"(-0.0027752000000000887, 0)",-0.0027752000000000887,0.0
WSH,CAR,NHL,homeWin,0.401583,145.0,"(-0.011118379310344817, 0)",-0.011118379310344817,0.0
AKR,BGSU,NCAAB,homeCover,0.5191549999999999,-112.0,"(-0.01939140000000017, 0)",-0.01939140000000017,0.0
NJ,CHI,NHL,over,0.5237170000000001,-115.0,"(-0.024008449999999848, 0)",-0.024008449999999848,0.0
DEN,ORL,NBA,homeCover,0.512187,-110.0,"(-0.02440730000000013, 0)",-0.02440730000000013,0.0
SIE,FAIR,NCAAB,over,0.506586,-110.0,"(-0.03616940000000002, 0)",-0.03616940000000002,0.0
PUR,ILL,NCAAB,awayWin,0.15009399999999995,440.0,"(-0.0430664545454546, 0)",-0.0430664545454546,0.0
CLE,WSH,NBA,under,0.5000469999999999,-110.0,"(-0.04990130000000026, 0)",-0.04990130000000026,0.0
CLE,WSH,NBA,over,0.49983799999999995,-110.0,"(-0.05034020000000011, 0)",-0.05034020000000011,0.0
BOS,UTAH,NBA,awayWin,0.05554800000000004,750.0,"(-0.07037893333333328, 0)",-0.07037893333333328,0.0
NJ,CHI,NHL,under,0.47628000000000004,-105.0,"(-0.07362599999999997, 0)",-0.07362599999999997,0.0
DEN,ORL,NBA,awayCover,0.487717,-110.0,"(-0.07579430000000004, 0)",-0.07579430000000004,0.0
AKR,BGSU,NCAAB,awayCover,0.480674,-108.0,"(-0.08019808, 0)",-0.08019808,0.0
PUR,ILL,NCAAB,over,0.477336,-110.0,"(-0.09759440000000008, 0)",-0.09759440000000008,0.0
MAN,NIA,NCAAB,over,0.4889569999999999,-115.0,"(-0.0987424500000002, 0)",-0.0987424500000002,0.0
SIE,FAIR,NCAAB,under,0.467939,-110.0,"(-0.11732810000000005, 0)",-0.11732810000000005,0.0
NJ,CHI,NHL,awayWin,0.125996,340.0,"(-0.131064, 0)",-0.131064,0.0
DAL,POR,NBA,awayWin,0.09132499999999999,400.0,"(-0.13584375, 0)",-0.13584375,0.0
GS,DET,NBA,over,0.45713200000000004,-110.0,"(-0.14002279999999984, 0)",-0.14002279999999984,0.0
SJSU,BOIS,NCAAB,homeWin,0.23551799999999998,200.0,"(-0.14672300000000002, 0)",-0.14672300000000002,0.0
