homeScore,awayScore,probability,homeTeam,awayTeam,sport
85,64,0.001752,CIN,BRY,NCAAB
88,64,0.001734,CIN,BRY,NCAAB
82,64,0.001715,CIN,BRY,NCAAB
83,64,0.001646,CIN,BRY,NCAAB
81,64,0.00161,CIN,BRY,NCAAB
80,64,0.001606,CIN,BRY,NCAAB
84,64,0.001604,CIN,BRY,NCAAB
85,60,0.001604,CIN,BRY,NCAAB
88,60,0.001587,CIN,BRY,NCAAB
85,61,0.001583,CIN,BRY,NCAAB
82,60,0.001569,CIN,BRY,NCAAB
88,61,0.001566,CIN,BRY,NCAAB
79,64,0.001551,CIN,BRY,NCAAB
82,61,0.001549,CIN,BRY,NCAAB
78,64,0.001516,CIN,BRY,NCAAB
83,60,0.001506,CIN,BRY,NCAAB
86,64,0.001488,CIN,BRY,NCAAB
83,61,0.001487,CIN,BRY,NCAAB
85,65,0.001476,CIN,BRY,NCAAB
81,60,0.001473,CIN,BRY,NCAAB
85,63,0.001473,CIN,BRY,NCAAB
80,60,0.001469,CIN,BRY,NCAAB
84,60,0.001468,CIN,BRY,NCAAB
85,68,0.001462,CIN,BRY,NCAAB
88,65,0.001461,CIN,BRY,NCAAB
88,63,0.001458,CIN,BRY,NCAAB
81,61,0.001454,CIN,BRY,NCAAB
80,61,0.00145,CIN,BRY,NCAAB
84,61,0.001449,CIN,BRY,NCAAB
88,68,0.001447,CIN,BRY,NCAAB
82,65,0.001445,CIN,BRY,NCAAB
82,63,0.001441,CIN,BRY,NCAAB
82,68,0.001431,CIN,BRY,NCAAB
85,67,0.001431,CIN,BRY,NCAAB
79,60,0.001419,CIN,BRY,NCAAB
85,66,0.001418,CIN,BRY,NCAAB
85,62,0.001417,CIN,BRY,NCAAB
88,67,0.001416,CIN,BRY,NCAAB
77,64,0.001407,CIN,BRY,NCAAB
88,66,0.001404,CIN,BRY,NCAAB
88,62,0.001402,CIN,BRY,NCAAB
85,58,0.001401,CIN,BRY,NCAAB
79,61,0.001401,CIN,BRY,NCAAB
82,67,0.0014,CIN,BRY,NCAAB
82,66,0.001388,CIN,BRY,NCAAB
78,60,0.001387,CIN,BRY,NCAAB
88,58,0.001387,CIN,BRY,NCAAB
83,65,0.001387,CIN,BRY,NCAAB
82,62,0.001386,CIN,BRY,NCAAB
83,63,0.001383,CIN,BRY,NCAAB
83,68,0.001373,CIN,BRY,NCAAB
87,64,0.001372,CIN,BRY,NCAAB
82,58,0.001371,CIN,BRY,NCAAB
78,61,0.001369,CIN,BRY,NCAAB
85,59,0.001369,CIN,BRY,NCAAB
86,60,0.001362,CIN,BRY,NCAAB
75,64,0.001361,CIN,BRY,NCAAB
85,56,0.001357,CIN,BRY,NCAAB
81,65,0.001357,CIN,BRY,NCAAB
88,59,0.001355,CIN,BRY,NCAAB
81,63,0.001353,CIN,BRY,NCAAB
80,65,0.001353,CIN,BRY,NCAAB
84,65,0.001352,CIN,BRY,NCAAB
80,63,0.00135,CIN,BRY,NCAAB
84,63,0.001349,CIN,BRY,NCAAB
86,61,0.001344,CIN,BRY,NCAAB
83,67,0.001344,CIN,BRY,NCAAB
81,68,0.001343,CIN,BRY,NCAAB
88,56,0.001343,CIN,BRY,NCAAB
82,59,0.00134,CIN,BRY,NCAAB
80,68,0.00134,CIN,BRY,NCAAB
84,68,0.001339,CIN,BRY,NCAAB
83,66,0.001332,CIN,BRY,NCAAB
83,62,0.001331,CIN,BRY,NCAAB
82,56,0.001328,CIN,BRY,NCAAB
83,58,0.001316,CIN,BRY,NCAAB
89,64,0.001315,CIN,BRY,NCAAB
81,67,0.001315,CIN,BRY,NCAAB
80,67,0.001311,CIN,BRY,NCAAB
84,67,0.00131,CIN,BRY,NCAAB
76,64,0.001307,CIN,BRY,NCAAB
79,65,0.001307,CIN,BRY,NCAAB
79,63,0.001304,CIN,BRY,NCAAB
81,66,0.001303,CIN,BRY,NCAAB
81,62,0.001302,CIN,BRY,NCAAB
80,66,0.0013,CIN,BRY,NCAAB
84,66,0.001299,CIN,BRY,NCAAB
80,62,0.001298,CIN,BRY,NCAAB
84,62,0.001297,CIN,BRY,NCAAB
79,68,0.001294,CIN,BRY,NCAAB
81,58,0.001288,CIN,BRY,NCAAB
77,60,0.001287,CIN,BRY,NCAAB
83,59,0.001286,CIN,BRY,NCAAB
80,58,0.001284,CIN,BRY,NCAAB
84,58,0.001283,CIN,BRY,NCAAB
78,65,0.001277,CIN,BRY,NCAAB
83,56,0.001274,CIN,BRY,NCAAB
85,57,0.001274,CIN,BRY,NCAAB
78,63,0.001274,CIN,BRY,NCAAB
77,61,0.00127,CIN,BRY,NCAAB
79,67,0.001266,CIN,BRY,NCAAB
78,68,0.001265,CIN,BRY,NCAAB
88,57,0.001261,CIN,BRY,NCAAB
81,59,0.001258,CIN,BRY,NCAAB
85,69,0.001257,CIN,BRY,NCAAB
87,60,0.001256,CIN,BRY,NCAAB
79,66,0.001255,CIN,BRY,NCAAB
80,59,0.001254,CIN,BRY,NCAAB
79,62,0.001254,CIN,BRY,NCAAB
86,65,0.001254,CIN,BRY,NCAAB
84,59,0.001254,CIN,BRY,NCAAB
86,63,0.001251,CIN,BRY,NCAAB
82,57,0.001247,CIN,BRY,NCAAB
81,56,0.001247,CIN,BRY,NCAAB
75,60,0.001246,CIN,BRY,NCAAB
88,69,0.001244,CIN,BRY,NCAAB
92,64,0.001244,CIN,BRY,NCAAB
80,56,0.001243,CIN,BRY,NCAAB
84,56,0.001242,CIN,BRY,NCAAB
86,68,0.001242,CIN,BRY,NCAAB
79,58,0.00124,CIN,BRY,NCAAB
87,61,0.00124,CIN,BRY,NCAAB
90,64,0.001238,CIN,BRY,NCAAB
78,67,0.001238,CIN,BRY,NCAAB
82,69,0.00123,CIN,BRY,NCAAB
75,61,0.001229,CIN,BRY,NCAAB
78,66,0.001227,CIN,BRY,NCAAB
78,62,0.001226,CIN,BRY,NCAAB
86,67,0.001215,CIN,BRY,NCAAB
78,58,0.001212,CIN,BRY,NCAAB
79,59,0.001212,CIN,BRY,NCAAB
86,66,0.001205,CIN,BRY,NCAAB
89,60,0.001204,CIN,BRY,NCAAB
86,62,0.001203,CIN,BRY,NCAAB
79,56,0.001201,CIN,BRY,NCAAB
91,64,0.001201,CIN,BRY,NCAAB
83,57,0.001197,CIN,BRY,NCAAB
76,60,0.001196,CIN,BRY,NCAAB
86,58,0.00119,CIN,BRY,NCAAB
89,61,0.001188,CIN,BRY,NCAAB
77,65,0.001185,CIN,BRY,NCAAB
78,59,0.001184,CIN,BRY,NCAAB
77,63,0.001182,CIN,BRY,NCAAB
76,61,0.001181,CIN,BRY,NCAAB
83,69,0.001181,CIN,BRY,NCAAB
78,56,0.001174,CIN,BRY,NCAAB
77,68,0.001174,CIN,BRY,NCAAB
85,70,0.001172,CIN,BRY,NCAAB
81,57,0.001171,CIN,BRY,NCAAB
80,57,0.001168,CIN,BRY,NCAAB
84,57,0.001167,CIN,BRY,NCAAB
85,71,0.001166,CIN,BRY,NCAAB
86,59,0.001163,CIN,BRY,NCAAB
74,64,0.001161,CIN,BRY,NCAAB
88,70,0.00116,CIN,BRY,NCAAB
87,65,0.001156,CIN,BRY,NCAAB
81,69,0.001155,CIN,BRY,NCAAB
87,63,0.001154,CIN,BRY,NCAAB
88,71,0.001154,CIN,BRY,NCAAB
86,56,0.001152,CIN,BRY,NCAAB
80,69,0.001152,CIN,BRY,NCAAB
84,69,0.001151,CIN,BRY,NCAAB
77,67,0.001149,CIN,BRY,NCAAB
75,65,0.001147,CIN,BRY,NCAAB
82,70,0.001147,CIN,BRY,NCAAB
87,68,0.001145,CIN,BRY,NCAAB
75,63,0.001144,CIN,BRY,NCAAB
82,71,0.001141,CIN,BRY,NCAAB
85,55,0.001141,CIN,BRY,NCAAB
77,66,0.001138,CIN,BRY,NCAAB
92,60,0.001138,CIN,BRY,NCAAB
77,62,0.001137,CIN,BRY,NCAAB
75,68,0.001136,CIN,BRY,NCAAB
90,60,0.001133,CIN,BRY,NCAAB
88,55,0.001129,CIN,BRY,NCAAB
79,57,0.001128,CIN,BRY,NCAAB
77,58,0.001125,CIN,BRY,NCAAB
92,61,0.001123,CIN,BRY,NCAAB
93,64,0.001121,CIN,BRY,NCAAB
87,67,0.001121,CIN,BRY,NCAAB
90,61,0.001118,CIN,BRY,NCAAB
82,55,0.001116,CIN,BRY,NCAAB
79,69,0.001113,CIN,BRY,NCAAB
75,67,0.001111,CIN,BRY,NCAAB
87,66,0.001111,CIN,BRY,NCAAB
87,62,0.00111,CIN,BRY,NCAAB
89,65,0.001108,CIN,BRY,NCAAB
89,63,0.001106,CIN,BRY,NCAAB
78,57,0.001102,CIN,BRY,NCAAB
75,66,0.001102,CIN,BRY,NCAAB
76,65,0.001102,CIN,BRY,NCAAB
75,62,0.001101,CIN,BRY,NCAAB
83,70,0.0011,CIN,BRY,NCAAB
77,59,0.001099,CIN,BRY,NCAAB
76,63,0.001099,CIN,BRY,NCAAB
91,60,0.001099,CIN,BRY,NCAAB
87,58,0.001098,CIN,BRY,NCAAB
89,68,0.001098,CIN,BRY,NCAAB
83,71,0.001095,CIN,BRY,NCAAB
76,68,0.001091,CIN,BRY,NCAAB
77,56,0.001089,CIN,BRY,NCAAB
75,58,0.001089,CIN,BRY,NCAAB
85,72,0.001088,CIN,BRY,NCAAB
78,69,0.001087,CIN,BRY,NCAAB
91,61,0.001084,CIN,BRY,NCAAB
86,57,0.001082,CIN,BRY,NCAAB
81,70,0.001077,CIN,BRY,NCAAB
