,teamName,teamConference,homeDom,homeCount,homeConferenceCount,awayDom,awayCount,awayConferenceCount,conferenceGames,homeCookin,ovrDom,homeDomAdj,homeDomAdjCnt,awayDomAdj,awayDomAdjCnt,ovrDomAdj,conferenceRating,ovrRating,teamTopExpPerf,teamRegRsq,finalRating,rank
tid_264,Washington Huskies,Pac-12 Conference,1.272607791433991,5,3,1.3025460014177017,4,3,6,1.0,1.3406117142742693,1.0959024746711394,5,1.1740533795486052,4,1.1684871840263724,1.3892269016339898,1.2601295425086574,1.1197426455101627,0.21685760734579376,1.3433465098301953,1.0
tid_2483,Oregon Ducks,Pac-12 Conference,1.4055296739246064,5,3,1.1596828103637415,4,3,6,1.05,1.34539176793257,1.1174736202121107,4,1.1728189364393533,4,1.1838323379049274,1.3892269016339898,1.2698825873331043,1.1043254277230108,0.228800145661653,1.342111561700515,2.0
tid_251,Texas Longhorns,Big 12 Conference,1.2301304119842684,6,4,1.3122659467097504,3,2,6,1.0,1.310473580987905,1.1309467154845168,6,1.1516306648566756,3,1.1765812154096218,1.2998674466859192,1.2411098974924535,1.13732821888457,0.10225994416972391,1.3394673043477372,3.0
tid_97,Louisville Cardinals,Atlantic Coast Conference,1.3977252436957444,5,3,1.0128025382924986,3,3,6,1.05,1.2914590405332358,1.1920249197059252,4,0.9927110168755716,3,1.139688208441639,1.1740143404738164,1.1951034200296586,1.1454645409217026,0.0035173160778422534,1.3131901039341567,4.0
tid_130,Michigan Wolverines,Big Ten Conference,1.3730122000831717,6,3,1.4228346203953066,3,3,6,1.0,1.448620473411282,1.0446441916515208,6,1.1486786638470519,3,1.1149819971954413,1.1030920902521912,1.2155162749426345,1.088832482727067,0.2597928853280089,1.2999676417175552,5.0
tid_52,Florida State Seminoles,Atlantic Coast Conference,1.3488611448799102,5,3,1.240904943522151,4,4,7,1.0425919442379492,1.355145103582764,1.1331729016646073,5,1.1013909592025417,4,1.1570744107300388,1.1740143404738164,1.223662057935476,1.0641982180726257,0.2894609968455573,1.2932948711141086,6.0
tid_61,Georgia Bulldogs,Southeastern Conference,1.3308995193224862,6,3,1.2666793671850545,3,3,6,1.0250363953330788,1.3649161033891437,1.067366902409838,5,1.093525058919069,3,1.1138146715144202,1.188165637324941,1.2058537367517899,1.0823758382997535,0.2344919974845612,1.2906832191111368,7.0
tid_194,Ohio State Buckeyes,Big Ten Conference,1.3080542491420453,4,2,1.287166860824587,5,4,6,1.0080810548026429,1.3516434140721558,1.1386986350366561,3,1.1010494498099308,5,1.153024776630565,1.1030920902521912,1.2078565024094166,1.079288976970374,0.22249025922255078,1.2904938804847692,8.0
tid_201,Oklahoma Sooners,Big 12 Conference,1.3060222872237361,4,2,1.114659412187689,5,4,6,1.05,1.2469352787227237,1.1325812103195911,4,1.0964093635104009,5,1.1502545854268655,1.2998674466859192,1.2069839206608137,1.018982688427639,0.35414465128724226,1.26060568366656,9.0
tid_256,James Madison Dukes,Sun Belt Conference,1.347952646542313,4,3,1.2115779297087867,5,3,6,1.05,1.3245235740302925,1.1279364079779544,3,1.0532992026684673,5,1.1175260418904767,1.056700259437227,1.172683213584346,1.0546155310087104,0.16688351366825288,1.256139111266023,10.0
