ND, WAKE, probability
42,27,0.0008463303340435197
23,3,0.0008250470821953731
40,17,0.0008176793342655152
34,23,0.0008168848964376652
38,41,0.0008166039411474208
44,14,0.0008150869373545894
20,3,0.0008139443439996329
21,17,0.0008136352788096123
44,13,0.0008133789721802986
27,34,0.0008099199049052765
39,3,0.0008086802327101627
29,3,0.0008056487573586126
35,34,0.00080438340407558
41,28,0.0007764030260579942
34,35,0.0007722615976267736
37,21,0.0007702310544775093
42,31,0.0007689759458749169
45,28,0.0007635044526209682
41,38,0.0007586141274699953
41,16,0.0007580952863576065
45,38,0.000746011085357681
45,16,0.0007455008638796389
31,30,0.0007439068481661233
31,52,0.0007404744798644179
32,6,0.000740294444850046
52,24,0.0007337344543489359
30,27,0.0007280790556144454
43,7,0.0007126150875107948
27,9,0.0007107498884149772
41,34,0.0007106153596583974
34,41,0.0007091426770963731
43,10,0.00070711974999232
36,3,0.0007066452651325742
35,9,0.0007058913001483061
52,20,0.0007044622338165963
32,14,0.0007035042245915493
32,13,0.000702030074215065
26,3,0.0007012653901035041
45,34,0.0006988097328197562
40,6,0.0006960161677916372
24,28,0.0006926996469781444
21,6,0.0006925738306029607
38,30,0.0006876958428377656
49,24,0.00068680466091525
38,52,0.0006845228307624099
28,28,0.000682922067867956
24,38,0.0006768285550858307
24,16,0.0006763656498119882
28,38,0.0006672749992694596
28,16,0.0006668186279861502
23,17,0.000661839316920647
30,31,0.0006615328057401811
40,14,0.0006614264335383753
40,13,0.000660040454617519
49,20,0.0006594046971030163
21,14,0.0006581551692846053
21,13,0.0006567760450993179
55,3,0.0006556213121910728
20,17,0.0006529328813704908
39,17,0.0006487100971255643
29,17,0.0006462782970268439
27,45,0.0006448720894398969
59,3,0.0006433719169021722
35,45,0.0006404638327263523
31,42,0.0006383695310979299
48,21,0.0006378129840027292
24,34,0.0006340044954124772
33,24,0.0006332058642647184
31,59,0.0006280457660878878
28,34,0.0006250554088391645
41,9,0.0006236046114241938
37,27,0.0006214692416124543
25,7,0.0006171460440899526
45,9,0.000613244515435178
25,10,0.0006123869169399616
33,20,0.0006079442160059154
56,3,0.000607797946209386
27,23,0.0006007970228859575
31,48,0.0005983952724608941
34,30,0.000597198282355559
35,23,0.0005966900572520207
34,52,0.0005944428238472213
38,42,0.0005901331246144212
38,59,0.0005805894427712685
51,7,0.0005766246597641144
51,10,0.0005721780136259473
27,35,0.0005679777784687239
36,17,0.0005668593098179133
41,45,0.0005658041109936538
37,31,0.0005646671029949519
35,35,0.0005640951606657833
23,6,0.0005633637120971458
26,17,0.0005625436617886109
31,12,0.0005612623258760856
45,45,0.0005564042688605324
24,9,0.0005563743052119627
20,6,0.0005557824722632307
38,48,0.0005531793963983418
39,6,0.0005521879994859472
29,6,0.0005501180288818021
28,9,0.0005485209826242905
42,28,0.0005365957838201394
23,14,0.0005353663723928115
23,13,0.0005342445446740396
20,14,0.0005281618954608236
41,23,0.0005271331028093833
20,13,0.0005270551642859108
55,17,0.0005259287267152658
39,14,0.0005247460562611785
42,38,0.0005243013340810792
42,16,0.0005239427471822183
52,21,0.0005237173975431984
39,13,0.0005236464827698534
29,14,0.0005227789564471424
29,13,0.0005216835048940091
27,41,0.0005215554982823578
38,12,0.000518852285333776
45,23,0.0005183757115969921
35,41,0.0005179902167878739
59,17,0.0005161024615412535
48,27,0.0005146262918828169
34,42,0.0005124743621054467
31,49,0.0005056839636285465
44,24,0.0005055736684906362
24,45,0.0005048052297452161
34,59,0.0005041865842114289
47,7,0.000500090106371334
41,35,0.0004983378367169951
28,45,0.0004976798138588321
47,10,0.0004962336571151724
42,34,0.0004911279234015317
49,21,0.000490220334486321
45,35,0.0004900588283056308
56,17,0.0004875656022861189
44,20,0.0004854038865869996
36,6,0.00048251585672136
34,48,0.0004803835719005638
26,6,0.00047884233743694427
24,23,0.00047030331151656134
48,31,0.00046758957307128826
38,49,0.000467473529023646
31,19,0.0004638843813388436
28,23,0.00046366489636188773
30,28,0.000461621350216629
36,14,0.00045853639183345067
41,41,0.0004576074075338087
36,13,0.00045757555667280106
26,14,0.0004550454344803552
26,13,0.00045409191440882156
33,21,0.00045196313922053316
30,38,0.00045104471010903955
30,16,0.00045073622582084095
34,12,0.0004505737482997785
45,41,0.00045000506370811486
55,6,0.0004476753680325128
24,35,0.0004446124396531264
59,6,0.00043931116076504663
27,30,0.00043922338590967713
28,35,0.00043833665573863066
27,52,0.0004371968197732307
32,24,0.00043636230115497556
35,30,0.00043622091538662535
35,52,0.00043420820257694356
42,9,0.0004309921445824242
38,19,0.0004288324020547966
55,14,0.00042542736183876666
55,13,0.0004245359046396496
52,27,0.00042256703618787095
30,34,0.0004225063669260891
31,66,0.00041991164964493195
32,20,0.0004189536958541086
59,14,0.00041747882840189384
59,13,0.00041660402687185294
31,37,0.0004157536489013139
56,6,0.00041502032377402825
43,3,0.00041346067916392756
40,24,0.00041026272550261664
24,41,0.0004082731249292885
21,24,0.00040823365965260005
34,49,0.0004059561963143538
28,41,0.0004025102769258653
31,56,0.0003991445373838555
49,27,0.0003955395692307983
56,14,0.00039439516681166325
37,28,0.00039402791251718803
40,20,0.0003938953586631141
56,13,0.00039356873569253723
21,20,0.00039194724207571464
42,45,0.00039104445788780125
38,66,0.0003881823329518293
41,30,0.0003853700624694339
17,7,0.0003850628950220677
37,38,0.0003849999691149097
37,16,0.0003847366549937881
38,37,0.0003843385185912658
52,31,0.0003839445111173566
41,52,0.00038359197427182274
17,10,0.0003820934791184853
31,55,0.0003796861237082561
45,30,0.0003789678153318473
45,52,0.0003772192669485139
27,42,0.00037691120548441573
35,42,0.00037433469243757265
34,19,0.0003724000611502157
27,59,0.0003708157662043165
30,9,0.0003707729015284001
38,56,0.00036898442288433355
35,59,0.0003682809207401902
33,27,0.00036467133821124125
42,23,0.0003643177460496076
44,21,0.0003608631492754811
37,34,0.0003606403856905293
49,31,0.000359387348113851
25,3,0.0003580693518910343
27,48,0.00035330928641206
38,55,0.00035099632366745553
35,48,0.00035089411283068146
31,73,0.0003499229543589898
46,7,0.000349031230747134
46,10,0.0003463396733396926
31,26,0.00034603813538870335
42,35,0.000344416460427879
24,30,0.00034382362931257107
24,52,0.0003422372353580874
28,30,0.0003389704974390077
28,52,0.0003374064957182396
34,66,0.00033709935125243344
30,45,0.0003364068002170566
51,3,0.00033455876479057553
34,37,0.00033376136490610085
23,24,0.00033207149872334265
43,17,0.0003316714153369988
27,12,0.0003313849573539403
33,31,0.0003313404659557448
41,42,0.00033069799892856456
35,12,0.0003291196554639299
20,24,0.00032760278052270146
48,28,0.00032628666060918016
39,24,0.00032548403922530856
41,59,0.00032534992345829915
45,42,0.00032520403215937905
29,24,0.0003242639069624886
38,73,0.0003234821155624697
31,22,0.00032246697727196657
34,56,0.00032042779647057664
45,59,0.00031994480557543265
38,26,0.00031989084084490355
23,20,0.00031882355856526536
48,38,0.0003188108006223078
48,16,0.00031859275544697204
63,7,0.0003178913521440176
31,63,0.0003172259155514868
37,9,0.00031648205252772044
42,41,0.000316266419998683
63,10,0.0003154399301844604
20,20,0.0003145331191736548
30,23,0.00031341440784721057
39,20,0.000312498904726733
32,21,0.0003114621746223258
29,20,0.0003113274494484327
41,48,0.00030998991889663596
31,11,0.0003068966493575784
31,81,0.00030560630592161604
45,48,0.0003048399805277361
34,55,0.0003048068470827887
22,7,0.0003027959585319537
22,10,0.000300460944833078
48,34,0.0002986391151226794
27,49,0.000298569939573344
38,22,0.00029810076391832084
35,49,0.0002965289566216241
30,35,0.00029629377697988255
24,42,0.0002950457164976125
38,63,0.0002932557267122307
40,21,0.00029283308918600954
21,21,0.00029138480352882665
44,27,0.0002911663278212624
28,42,0.0002908810935665016
41,12,0.00029075373901693926
24,59,0.00029027421269619814
47,3,0.0002901532659737861
31,18,0.000289688211300697
25,17,0.0002872373957558733
37,45,0.0002871480471687649
28,59,0.00028617694039258706
45,12,0.00028592337601096124
36,24,0.0002844161955387177
38,11,0.00028370695936504644
38,81,0.0002825141167142067
43,6,0.00028232175841431457
26,24,0.0002822508607324981
34,73,0.00028091338023723253
31,33,0.00027919541641448865
50,7,0.0002780270393518709
34,26,0.0002777947004965679
24,48,0.000276570157739756
50,10,0.0002758830313912232
27,19,0.0002738902984218303
36,20,0.00027306945619803104
28,48,0.00027266632061696464
30,41,0.000272076926860289
35,19,0.0002720180220951538
26,20,0.00027099050708298116
66,7,0.0002689402908441491
51,17,0.0002683775861246863
43,14,0.00026829128750090306
52,28,0.0002679186611644291
38,18,0.0002677988233630428
43,13,0.0002677290994021655
37,23,0.0002675223423242748
66,10,0.00026686635542458363
62,7,0.00026659514424776716
42,30,0.00026634099017042693
42,52,0.0002651120992489904
44,31,0.00026455379576619084
62,10,0.00026453929344681735
55,24,0.0002638796699394897
48,9,0.0002620724795924313
41,49,0.00026196218133188345
52,38,0.00026178012520651993
52,16,0.00026160108518281727
24,12,0.0002594078147752675
59,24,0.0002589494360900272
34,22,0.0002588720959054847
38,33,0.00025809888386015565
45,49,0.00025761013951825396
28,12,0.0002557462271855653
34,63,0.0002546646429630822
55,20,0.00025335223205418043
37,35,0.0002529086195437647
32,27,0.00025130661809631656
49,28,0.0002507825333037945
59,20,0.00024861868910789427
27,66,0.0002479275691501344
31,44,0.0002464110504441889
34,11,0.00024637244879360744
35,66,0.0002462327704620285
27,37,0.000245472569347768
34,81,0.00024533657866348944
52,34,0.00024521686466010234
49,38,0.0002450366192580532
49,16,0.0002448690306678752
56,24,0.0002446313419855547
25,6,0.00024449911238130247
35,37,0.0002437945526999112
41,19,0.0002403085190784855
31,77,0.00024002076280062613
48,45,0.00023778157443873132
23,21,0.0002370225632432314
45,19,0.00023631621485394565
40,27,0.00023627553939501084
27,56,0.00023566608589404878
21,27,0.00023510697447702244
56,20,0.0002348718131133861
35,56,0.00023405510501534535
20,21,0.00023383292773883035
24,49,0.00023372025151878513
47,17,0.00023275621900679735
34,18,0.00023255774917775357
25,14,0.00023234830365905534
39,21,0.00023232063446738718
37,41,0.0002322377495853298
25,13,0.00023186143190002167
29,21,0.00023144974106779946
33,28,0.0002312112595909128
28,49,0.00023042124846768333
31,25,0.00023012225251610113
31,62,0.0002300937382918136
49,34,0.00022953274796536966
30,30,0.00022912719631378492
31,70,0.000228760811348878
42,42,0.00022855546151564048
51,6,0.0002284454690095158
32,31,0.00022833725388520025
30,52,0.00022807000894197244
38,44,0.00022779176645234238
31,15,0.00022671553262905886
33,38,0.0002259137613699836
33,16,0.00022575925153025254
42,59,0.00022485924363320017
27,55,0.00022417729484434012
34,33,0.00022413427640209565
17,3,0.00022341425109700691
35,55,0.0002226448497576251
38,77,0.00022188434100270556
48,23,0.00022152991943565902
31,29,0.00021975884796642792
41,66,0.00021752908856025721
51,14,0.00021709247402166594
51,13,0.00021663756992710022
41,37,0.00021537509708905865
52,9,0.00021519147527930186
40,31,0.00021468001214764666
24,19,0.00021440105299006594
42,48,0.00021424347655009905
45,66,0.00021391522458843616
21,31,0.00021361825378098958
38,25,0.0002127337808354807
38,62,0.00021270742119979162
54,7,0.00021215269447694325
45,37,0.0002117970179045729
33,34,0.00021161982485497788
38,70,0.00021147521273212798
28,19,0.0002113747438731736
54,10,0.0002105166771065041
38,15,0.00020958447913217316
48,35,0.00020942858688117165
31,32,0.0002075259347159132
41,56,0.00020677098978876478
27,73,0.00020660428815779785
35,73,0.00020519196972250978
27,26,0.00020431058250636888
45,56,0.00020333585274405453
38,29,0.00020315345469111814
36,21,0.00020300765333262926
35,26,0.0002029139435267471
46,3,0.00020250860842452412
26,21,0.00020146210302788136
49,9,0.00020142778812560428
42,12,0.00020094876662005295
47,6,0.0001981242337845084
34,44,0.0001978154340714402
41,55,0.00019669084317873212
30,42,0.00019662115120084347
37,30,0.00019557698278484945
52,45,0.00019524586433982628
37,52,0.00019467459529116157
24,66,0.00019407745435797967
30,59,0.0001934413776337838
45,55,0.00019342317007599752
34,77,0.0001926853982156049
48,41,0.00019231145147942489
24,37,0.00019215568295625186
38,32,0.00019184488345143605
28,66,0.00019133801646196324
23,27,0.00019124421401540905
27,22,0.0001903935122396175
28,37,0.0001894433712064578
35,22,0.0001890920084339952
31,69,0.00018875303786361497
20,27,0.00018867062217382203
55,21,0.00018834930428324396
47,14,0.00018827810532820962
47,13,0.00018788357999324876
39,27,0.00018745041202125043
27,63,0.00018729904297870722
29,27,0.00018674772227974913
35,63,0.00018601869253840751
33,9,0.00018570819903440143
59,21,0.00018483025290761928
34,25,0.00018473900902135312
34,62,0.0001847161181905869
44,28,0.00018460714169704796
24,56,0.00018447917746948624
63,3,0.00018444118944620824
30,48,0.00018430887066625055
34,70,0.00018364606260124942
49,45,0.00018275790220592328
34,15,0.00018200414071086024
52,23,0.00018190139710969148
28,56,0.00018187522096429793
41,73,0.00018127246860711674
27,11,0.00018120035564596517
42,49,0.0001810500439916055
27,81,0.00018043850083265502
44,38,0.00018037743417137966
44,16,0.00018025406812109606
35,11,0.0001799616949916224
41,26,0.0001792599949580942
17,17,0.00017921926945420834
35,81,0.0001792050481128012
45,73,0.00017826094473360565
34,29,0.00017641940904498815
45,26,0.000176281904801713
22,3,0.00017568281230197439
24,55,0.00017548576327105163
56,21,0.00017461043163886515
38,69,0.0001744905021130017
23,31,0.00017376453903404816
28,55,0.00017300875041190023
30,12,0.00017287172909023063
52,35,0.0001719648192236982
20,31,0.00017142617286533822
27,18,0.00017104001305980236
39,31,0.0001703174896260681
49,23,0.00017026694960479483
53,7,0.000169924487637793
35,18,0.000169870807106866
29,31,0.0001696790255572619
44,34,0.00016896465622837163
53,10,0.00016861411345600943
33,45,0.00016849532625957017
37,42,0.00016783067275384414
41,22,0.00016704930124245408
34,32,0.0001665989929546922
43,24,0.00016641293612941225
42,19,0.00016608453834638311
37,59,0.00016511650119241638
27,33,0.00016484477381857547
31,40,0.00016456134467408192
41,63,0.00016433424587281132
45,22,0.00016427407032840204
36,27,0.000163798916733806
35,33,0.00016371791766713368
26,27,0.0001625518727848741
46,17,0.00016244910376944963
48,30,0.00016195340121267167
24,73,0.0001617296311279796
45,63,0.00016160412083791685
50,3,0.00016131183654544677
48,52,0.00016120615211549492
49,35,0.00016096591710564203
24,26,0.00015993412062706276
43,20,0.0001597739182436613
28,73,0.00015944678852842893
32,28,0.0001593350330151905
41,11,0.00015898332059470315
41,81,0.00015831487704999096
52,41,0.00015790969361346286
28,26,0.00015767662197859174
37,48,0.00015732123207243934
33,23,0.00015697917780078277
45,11,0.00015634209179068268
66,3,0.00015603968714075493
30,49,0.00015575330310869324
45,81,0.00015568475326212909
32,38,0.00015568435849603815
32,16,0.00015557788085105546
62,3,0.00015467902846053242
17,6,0.00015255309005942144
38,40,0.0001521267789147802
55,27,0.000151971669553813
34,69,0.00015152836713283255
42,66,0.0001503409799576861
41,18,0.00015006874094628344
40,28,0.00014980493213973898
59,27,0.0001491322849602013
21,28,0.00014906403111931014
24,22,0.00014903985187449562
42,37,0.00014885229083227386
36,31,0.000148827735296781
33,35,0.00014840400547400814
44,9,0.00014827590954742044
63,17,0.0001479557148548324
49,41,0.0001478097599678061
26,31,0.00014769467086365843
45,18,0.00014757561223512216
37,12,0.00014755878711999546
28,22,0.000146936127773248
24,63,0.00014661750441711057
40,38,0.00014637261070824466
40,16,0.0001462725016733439
32,34,0.00014583395220282754
21,38,0.00014564868516662492
21,16,0.00014554907124817362
27,44,0.00014548796824288406
17,14,0.00014497169886643844
17,13,0.00014466791947607638
41,33,0.00014463310202086506
28,63,0.00014454797218242484
35,44,0.00014449343254619465
25,24,0.0001441185950418219
42,56,0.00014290573015963564
30,19,0.00014287881335135711
45,33,0.00014223027690912773
24,11,0.0001418434580433203
27,77,0.0001417149638907106
24,81,0.0001412470788537673
22,17,0.00014092988751532006
56,27,0.00014088631183773888
35,77,0.00014074621993169766
28,11,0.00013984131232499714
28,81,0.00013925335113411206
48,42,0.00013897723491417674
25,20,0.00013836900638359472
46,6,0.00013827817082886357
55,31,0.00013808149565311978
40,34,0.00013711137406506032
48,59,0.00013672968354290165
21,34,0.0001364332524871777
33,41,0.0001362745655838298
42,55,0.00013593903375365285
27,25,0.00013587060688102765
27,62,0.00013585377128639772
59,31,0.00013550163012573935
27,70,0.0001350667739809022
35,25,0.0001349418141409404
35,62,0.00013492509363211472
51,24,0.0001346558673226464
44,45,0.0001345325509887639
35,70,0.00013414347613171902
24,18,0.0001338899519798887
27,15,0.00013385918428514585
52,30,0.0001329822627223389
37,49,0.00013294694637233542
35,15,0.0001329441413526674
52,52,0.00013236868576121474
34,40,0.0001321076054397831
28,18,0.00013200007141873406
46,14,0.00013140619657979786
46,13,0.00013113084287559948
48,48,0.0001302745765595957
27,29,0.0001297517633093084
50,17,0.00012940172508260799
30,66,0.00012933498222233604
51,20,0.0001292837926969025
24,33,0.0001290403248682387
35,29,0.0001288647981404494
30,37,0.00012805429626682366
56,31,0.00012800933695551885
32,9,0.00012797742669060257
41,44,0.00012764964072710126
31,39,0.00012735387429313471
28,33,0.0001272188976590468
63,6,0.00012594126491974342
45,44,0.00012552896601323747
44,23,0.0001253376560078831
42,73,0.000125282925378477
66,17,0.00012517249279271234
49,30,0.0001244766922357503
41,77,0.0001243392456763388
62,17,0.0001240809945850169
49,52,0.00012390235977223772
42,26,0.0001238920435312005
54,3,0.00012309141173434028
30,56,0.00012293860313314733
27,32,0.0001225291095715778
45,77,0.00012227356736541875
48,12,0.0001221904904790825
58,7,0.0001221732380729456
37,19,0.00012195761860093477
31,51,0.00012175272854784149
35,32,0.00012169151746809154
23,28,0.0001212538825476956
58,10,0.00012123109807240057
40,9,0.00012032287788823172
22,6,0.00011996081608669854
21,9,0.00011972778838259938
63,14,0.00011968239467120388
20,28,0.00011962215735019311
63,13,0.00011943160748187954
41,25,0.00011921146719694254
41,62,0.00011919669582009336
39,28,0.0001188485118870603
43,21,0.00011878050609542659
41,70,0.00011850619251241098
44,35,0.00011849093904606043
23,38,0.00011847572101605703
29,28,0.00011840298803253676
23,16,0.00011839469158006691
38,39,0.00011773077521275124
41,15,0.00011744666578541935
45,25,0.00011723097792453142
45,62,0.00011721645194818
30,55,0.00011694531004652652
20,38,0.00011688138180635682
20,16,0.00011680144279130554
47,24,0.00011678318967567904
45,70,0.0001165374201408959
39,38,0.00011612546206069913
32,45,0.00011611548857947173
39,16,0.00011604604004398403
29,38,0.00011569014602144763
29,16,0.00011561102173166626
45,15,0.00011549549559065774
42,22,0.00011545286111507972
33,30,0.00011476242951367759
33,52,0.00011423291842467431
52,42,0.00011411620273112993
22,14,0.00011399915464655006
24,44,0.00011388783673023084
41,29,0.00011384285704293072
22,13,0.00011376027634153534
42,63,0.0001135764036370795
38,51,0.00011255286261030343
28,44,0.0001122802895946493
52,59,0.00011227070603455624
47,20,0.00011212414271067063
45,29,0.000111951557804564
27,69,0.00011144506680583863
23,34,0.00011097956662287867
24,77,0.00011093433267877951
31,36,0.00011082342950890894
35,69,0.0001106832436908625
37,66,0.00011039695853885336
50,6,0.00011014793822388304
48,49,0.00011009071639848571
42,11,0.00010987821616562188
20,34,0.00010948610388616816
42,81,0.00010941623446826105
28,77,0.00010936847477985532
37,37,0.00010930379849891194
40,45,0.00010917042258598614
44,41,0.00010880637077514744
39,34,0.00010877801243033817
21,45,0.00010863049058014834
29,34,0.00010837023955530691
32,23,0.00010817934438763912
30,73,0.00010777809836777764
41,32,0.00010750577524948381
52,48,0.00010697032502170207
49,42,0.00010681730898303602
30,26,0.00010658155382588687
66,6,0.00010654797681143287
24,25,0.00010635937582873423
24,62,0.00010634619694201509
24,70,0.00010573013623460474
45,32,0.00010571975550146661
62,6,0.00010561888350084551
49,59,0.00010508985060160401
37,56,0.00010493717662235649
28,25,0.00010485809426202293
28,62,0.00010484510139764125
24,15,0.00010478483622273154
50,14,0.00010467394481968185
50,13,0.00010445460692550839
28,70,0.00010423773649703499
36,28,0.00010385283922618652
42,18,0.00010371707859489643
28,15,0.00010330577956349202
26,28,0.00010306218042746638
25,21,0.00010286748166931644
38,36,0.00010244940203223078
32,35,0.00010226992039066313
34,39,0.00010223795515080637
40,23,0.00010170895275345203
24,29,0.00010156955117113495
36,38,0.0001014733693335326
36,16,0.00010140396836416437
66,14,0.0001012528897521428
21,23,0.00010120592347527388
66,13,0.00010104072047109132
48,19,0.00010099067310976658
26,38,0.0001007008260607907
26,16,0.00010063195345913472
62,14,0.00010036996934988264
52,12,0.00010033236588667223
62,13,0.00010015965017491143
28,29,0.0001001358788340774
49,48,0.0001001284829532971
42,33,9.996034294104768e-05
37,55,9.9821458376403e-05
30,22,9.932151396139197e-05
54,17,9.874192348426773e-05
53,3,9.85905228455327e-05
33,42,9.848119895240645e-05
41,69,9.778075060353935e-05
34,51,9.774143165924512e-05
30,63,9.770723956577186e-05
23,9,9.73907594020408e-05
27,40,9.716161529603081e-05
33,59,9.6888552833875e-05
35,40,9.649743188672932e-05
55,28,9.635405215015042e-05
45,69,9.615629506941952e-05
40,35,9.61529815141105e-05
51,21,9.611327365118009e-05
20,9,9.60801625553155e-05
24,32,9.591566501425074e-05
43,27,9.583933368090879e-05
21,35,9.56774308022379e-05
39,9,9.545877281026703e-05
29,9,9.510092936961098e-05
36,34,9.505298179086402e-05
28,32,9.456179828907721e-05
59,28,9.45538073281356e-05
30,11,9.452577160533648e-05
26,34,9.432931860594281e-05
55,38,9.414639400777507e-05
30,81,9.412833908472882e-05
55,16,9.408200419742802e-05
49,12,9.391508893059338e-05
32,41,9.391113756677813e-05
59,38,9.238739628487963e-05
59,16,9.232420951083548e-05
