index,probability,odds,kelly,unitPercent,unitReturn,legs,betDollars
WEB_CP_NCAAB_awayWin | MSST_TULN_NCAAB_awayWin,0.29850020659725,2960.0,"(0.2748008892525625, 2.2352596505263747)",0.2748008892525625,2.2352596505263747,2.0,0.9822188877606416
UMBC_TOW_NCAAB_homeWin | LAL_IND_NBA_awayWin,0.5492336568712499,667.0,"(0.48165249598238186, 1.5473674763300094)",0.48165249598238186,1.5473674763300094,2.0,1.721567132397991
DAY_TROY_NCAAB_awayWin | MSST_TULN_NCAAB_awayCover,0.31613770638799993,1523.0,"(0.2712353890136073, 1.1204503301387165)",0.2712353890136073,1.1204503301387165,2.0,0.9694747453070186
UMBC_TOW_NCAAB_homeCover | APSU_MUR_NCAAB_awayCover,0.699344453073,281.0,"(0.5923495965153487, 0.9859673050222288)",0.5923495965153487,0.9859673050222288,2.0,2.117231001097807
AMCC_OMA_NCAAB_under | SDSU_UCI_NCAAB_awayWin,0.3707583660125,931.0,"(0.30317065022436895, 0.8557048457960148)",0.30317065022436895,0.8557048457960148,2.0,1.0836207250820364
NAVY_ARMY_NCAAF_over | LAL_IND_NBA_awayCover,0.663900520757,268.0,"(0.5384902673081194, 0.7771243382013275)",0.5384902673081194,0.7771243382013275,2.0,1.924721979117029
CSU_SMC_NCAAB_homeCover | DAV_M-OH_NCAAB_awayWin,0.280263794784,1332.0,"(0.22622954514315916, 0.6817150305144667)",0.22622954514315916,0.6817150305144667,2.0,0.8086106737627217
KU_MIZ_NCAAB_awayWin | APSU_MUR_NCAAB_awayWin,0.28365907482299996,1250.0,"(0.22635180080883996, 0.6404392216175595)",0.22635180080883996,0.6404392216175595,2.0,0.8090476513296212
USM_NWST_NCAAB_awayWin | PUR_ALA_NCAAB_awayWin,0.19864403119349996,2302.0,"(0.16383273802206208, 0.6178836424204855)",0.16383273802206208,0.6178836424204855,2.0,0.5855862044569778
UTAH_BYU_NCAAB_over | CSU_SMC_NCAAB_over,0.6104925370319999,264.0,"(0.4629518313623029, 0.5658164111469147)",0.4629518313623029,0.5658164111469147,2.0,1.6547254782334844
UTAH_BYU_NCAAB_awayCover | WEB_CP_NCAAB_awayCover,0.5995825136399998,268.0,"(0.45017300380417885, 0.543117365388927)",0.45017300380417885,0.543117365388927,2.0,1.609050204673908
MTSU_BEL_NCAAB_awayCover | LT_UL_NCAAB_awayWin,0.38701937280099996,625.0,"(0.28894247244915994, 0.5217984524064597)",0.28894247244915994,0.5217984524064597,2.0,1.0327650492243712
UTAH_BYU_NCAAB_awayWin | MTSU_BEL_NCAAB_awayWin,0.63449282690925,224.0,"(0.47131998177945095, 0.4975992565030637)",0.47131998177945095,0.4975992565030637,2.0,1.6846356994765848
ARIZ_WIS_NCAAB_over | MER_GAST_NCAAB_awayWin,0.5852763572985,244.0,"(0.4153076512732951, 0.4208522863029838)",0.4153076512732951,0.4208522863029838,2.0,1.4844312200795995
DUKE_CLT_NCAAB_over | MER_GAST_NCAAB_awayCover,0.556724249921,268.0,"(0.39132285063779104, 0.41039797679584905)",0.39132285063779104,0.41039797679584905,2.0,1.398702515680417
CSU_SMC_NCAAB_homeWin | SJSU_UNO_NCAAB_under,0.6668886546525,176.0,"(0.47762084479596595, 0.40149414163515734)",0.47762084479596595,0.40149414163515734,2.0,1.7071568298879407
TENN_ILL_NCAAB_awayWin | ORST_UVU_NCAAB_under,0.38431507251,540.0,"(0.2702993451970371, 0.39453337447531384)",0.2702993451970371,0.39453337447531384,2.0,0.966129050469904
TCU_CLEM_NCAAB_over | UTU_IDHO_NCAAB_awayWin,0.363232327095,587.0,"(0.25475401825258087, 0.3809607096189592)",0.25475401825258087,0.3809607096189592,2.0,0.9105654975906189
XAV_CIN_NCAAB_awayWin | FRES_PAC_NCAAB_awayWin,0.20455090841100004,1583.0,"(0.15430143958036202, 0.37689542928153646)",0.15430143958036202,0.37689542928153646,2.0,0.551518551401761
PUR_ALA_NCAAB_over | UPST_KENN_NCAAB_awayWin,0.5693822716275,232.0,"(0.3837711818117672, 0.3416903423749451)",0.3837711818117672,0.3416903423749451,2.0,1.371710638852039
ARIZ_WIS_NCAAB_homeCover | UPST_KENN_NCAAB_awayCover,0.530229339137,264.0,"(0.35228590699192425, 0.32763815109992395)",0.35228590699192425,0.32763815109992395,2.0,1.2591730422725698
DAY_TROY_NCAAB_awayCover | OU_ARK_NCAAB_over,0.5242024099909999,264.0,"(0.3439760501391059, 0.3123635409029538)",0.3439760501391059,0.3123635409029538,2.0,1.2294711793068944
XAV_CIN_NCAAB_awayCover | PUR_ALA_NCAAB_awayCover,0.51948593075,265.0,"(0.33815986688207555, 0.303033053259713)",0.33815986688207555,0.303033053259713,2.0,1.2086824363546038
LSU_KSU_NCAAB_awayWin | SDSU_UCI_NCAAB_awayCover,0.4604690038050001,328.0,"(0.29597784642847574, 0.2873374646907178)",0.29597784642847574,0.2873374646907178,2.0,1.0579115370095422
DART_MRST_NCAAB_awayWin | CREI_CMU_NCAAB_over,0.49925321044399995,264.0,"(0.3095763962182424, 0.25301111905205187)",0.3095763962182424,0.25301111905205187,2.0,1.1065167379824783
MINN_FGCU_NCAAB_homeCover | STBK_BRY_NCAAB_under,0.49619830252999986,264.0,"(0.3053643262156059, 0.24617306135429293)",0.3053643262156059,0.24617306135429293,2.0,1.091461565765196
UCD_MILW_NCAAB_awayWin | DAV_M-OH_NCAAB_awayCover,0.28315673785749984,721.0,"(0.18373326183218774, 0.24339454194020085)",0.18373326183218774,0.24339454194020085,2.0,0.6567165068945037
DART_MRST_NCAAB_awayCover | LSU_KSU_NCAAB_awayCover,0.4867503341999999,264.0,"(0.29233758200303017, 0.22561773128763898)",0.29233758200303017,0.22561773128763898,2.0,1.044900165449425
USM_NWST_NCAAB_awayCover | BING_LEM_NCAAB_awayWin,0.21774757478100001,1045.0,"(0.14289088337248326, 0.213366057557622)",0.14289088337248326,0.213366057557622,2.0,0.510733880516172
HALL_RUTG_NCAAB_over | KENT_CLEV_NCAAB_awayWin,0.20306355477300003,1141.0,"(0.13321811697922264, 0.20249403094989918)",0.13321811697922264,0.20249403094989918,2.0,0.476160579555617
SJSU_UNO_NCAAB_awayWin | OU_ARK_NCAAB_homeCover,0.23299446673799998,911.0,"(0.1488006650626981, 0.2017103214794525)",0.1488006650626981,0.2017103214794525,2.0,0.5318571716905904
TENN_ILL_NCAAB_awayCover | LT_UL_NCAAB_awayCover,0.46162475543799997,273.0,"(0.26441770614789006, 0.19087265467591757)",0.26441770614789006,0.19087265467591757,2.0,0.9451063493397298
ECU_SC_NCAAB_over | APSU_MUR_NCAAB_under,0.46405457900499997,264.0,"(0.2610449498402272, 0.17990138980990902)",0.2610449498402272,0.17990138980990902,2.0,0.9330511301655456
UPST_KENN_NCAAB_under | PSU_OSU_NCAAB_awayCover,0.46149528971999987,264.0,"(0.2575162327957574, 0.17507057080476143)",0.2575162327957574,0.17507057080476143,2.0,0.920438461625541
OU_ARK_NCAAB_homeWin | KU_MIZ_NCAAB_awayCover,0.5325931532920001,197.0,"(0.29533079455697475, 0.1718239480808984)",0.29533079455697475,0.1718239480808984,2.0,1.0555987840512904
INST_USI_NCAAB_homeCover | LAF_LAS_NCAAB_awayCover,0.45712370187500007,264.0,"(0.25148874046401526, 0.1669709885716668)",0.25148874046401526,0.1669709885716668,2.0,0.8988944381321222
UCD_MILW_NCAAB_under | OHIO_MRSH_NCAAB_awayWin,0.2504671699639999,702.0,"(0.1436961115543133, 0.14495297878032415)",0.1436961115543133,0.14495297878032415,2.0,0.5136120019491187
NEV_DRKE_NCAAB_over | UTU_IDHO_NCAAB_awayCover,0.43925611937200004,264.0,"(0.22685313428563644, 0.13586058957297287)",0.22685313428563644,0.13586058957297287,2.0,0.8108395640534687
DEP_LOU_NCAAB_awayCover | GW_COPP_NCAAB_under,0.43724220852199996,261.0,"(0.22162619646146356, 0.12819842620031535)",0.22162619646146356,0.12819842620031535,2.0,0.7921569569119227
VILL_UCLA_NCAAB_over | LAF_LAS_NCAAB_awayWin,0.5080846670235001,190.0,"(0.24918186019376326, 0.11797403895428596)",0.24918186019376326,0.11797403895428596,2.0,0.890648972189829
DEP_LOU_NCAAB_awayWin | TENN_ILL_NCAAB_over,0.42157264115450005,268.0,"(0.2057415371076717, 0.11344327464502561)",0.2057415371076717,0.11344327464502561,2.0,0.7353805305860291
FRES_PAC_NCAAB_awayCover | PITT_CAN_NCAAB_awayCover,0.422963538086,264.0,"(0.20438912069433335, 0.11028576941765529)",0.20438912069433335,0.11028576941765529,2.0,0.7305465981016348
GT_AAMU_NCAAB_awayCover | MINN_FGCU_NCAAB_over,0.41543414620500013,268.0,"(0.1973125589680599, 0.10433841908308462)",0.1973125589680599,0.10433841908308462,2.0,0.7052528932418896
ORST_UVU_NCAAB_awayWin | PSU_OSU_NCAAB_awayWin,0.437212051704,242.0,"(0.20465504827590084, 0.10135852685924336)",0.20465504827590084,0.10135852685924336,2.0,0.7314971011880788
TCU_CLEM_NCAAB_homeWin | SDSU_UCI_NCAAB_over,0.41803754361150014,257.0,"(0.19159300805177254, 0.0943392534872193)",0.19159300805177254,0.0943392534872193,2.0,0.6848095425861975
DUKE_CLT_NCAAB_awayCover | GB_WIU_NCAAB_under,0.40829636671200015,264.0,"(0.18416620258775776, 0.08954138206357089)",0.18416620258775776,0.08954138206357089,2.0,0.6582639639953843
WMU_YSU_NCAAB_awayCover | LT_UL_NCAAB_over,0.4025045969,264.0,"(0.17618058057424246, 0.08194453600469967)",0.17618058057424246,0.08194453600469967,2.0,0.6297210113378221
KENT_CLEV_NCAAB_over | SUU_IDST_NCAAB_under,0.4013807045820001,264.0,"(0.17463097146912138, 0.08050937715809757)",0.17463097146912138,0.08050937715809757,2.0,0.6241822544006241
UCD_MILW_NCAAB_awayCover | WAKE_NJIT_NCAAB_awayCover,0.397065614572,264.0,"(0.16868137766745456, 0.07511699493352678)",0.16868137766745456,0.07511699493352678,2.0,0.6029166630759546
GW_COPP_NCAAB_homeCover | ORST_UVU_NCAAB_awayCover,0.394450371672,264.0,"(0.16507551245684848, 0.0719398015060326)",0.16507551245684848,0.0719398015060326,2.0,0.590028244387756
