homeTeamAbbrev,teamName,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
EMU,Eastern Michigan Eagles,116,67.55096859528105,73.55606126872065,-6.005092673439606,0.9689776045738814,-0.10783466486422744,330.0,241.0,242.0,201.0,-1.331953435945997,230.0
IONA,Iona Gaels,141,73.33996164287261,76.89091716975837,-3.550955526885758,0.907737626263752,0.0010167735860600047,185.0,216.0,217.0,260.0,-1.3429256107964531,231.0
SPU,Saint Peter's Peacocks,128,63.141387018212676,68.19832273091889,-5.056935712706213,0.9394733196287344,0.018342303500285206,142.0,229.0,232.0,231.0,-1.3564098712977257,232.0
FIU,Florida International Panthers,119,70.94752419319914,76.40412654497655,-5.456602351777406,0.9540028696198836,0.054065308856622085,75.0,238.0,236.0,219.0,-1.3689324507788805,233.0
SLU,Saint Louis Billikens,117,72.65002032585667,78.45998248933229,-5.809962163475618,0.9561542340719236,0.04827104264614579,83.0,240.0,239.0,216.0,-1.4007915637946353,234.0
PEPP,Pepperdine Waves,146,73.2424418086971,76.71415857103361,-3.471716762336513,0.8865775034561565,0.050631661258496385,80.0,211.0,215.0,278.0,-1.443478830024091,235.0
ACU,Abilene Christian Wildcats,102,68.2003706280406,74.98279623428026,-6.782425606239656,0.976907653484748,0.0640426760905124,64.0,255.5,253.0,191.0,-1.471593569389048,236.0
NE,Northeastern Huskies,140,74.74261748716248,78.36720498120995,-3.624587494047475,0.8914535455904179,0.0666614257923781,60.0,217.5,218.0,273.0,-1.4780543443324077,237.0
UTM,UT Martin Skyhawks,152,79.4598506847053,82.21666199507446,-2.7568113103691587,0.8634796383484944,-0.02466333856680525,231.0,205.0,204.0,299.0,-1.497707097552246,238.0
ME,Maine Black Bears,118,64.49981644406034,70.33671851449708,-5.836902070436736,0.9380268906695702,-0.03241658770870548,248.0,239.0,240.0,233.0,-1.5263361554451151,239.0
NDSU,North Dakota State Bison,114,70.19024502589579,76.27768160339366,-6.0874365774978685,0.9400466985532376,-0.02195862937686288,228.0,242.5,244.0,230.0,-1.5703141942003163,240.0
UNCO,Northern Colorado Bears,110,68.94948740070538,75.06428447010107,-6.114797069395692,0.9447456580242308,-0.03462729653939167,254.0,247.0,245.0,227.0,-1.5767672116093028,241.0
MRMK,Merrimack Warriors,122,68.55088908544899,74.05639535154019,-5.505506266091203,0.9166985128286838,-0.011327183031579535,201.0,235.0,237.0,253.0,-1.6176393561932687,242.0
UND,North Dakota Fighting Hawks,123,69.46140256389265,74.8364174130482,-5.375014849155548,0.9105240014825704,0.00014526486883315037,186.0,234.0,235.0,257.0,-1.642837706138117,243.0
DEP,DePaul Blue Demons,105,72.4528343659956,78.87625201665689,-6.4234176506612926,0.935900278143996,0.17641776077949667,2.0,251.0,250.0,234.0,-1.7148481267307056,244.0
TXST,Texas State Bobcats,101,65.4470635915966,72.7327533778557,-7.285689786259098,0.9461921995086502,0.07587779882401857,42.0,257.0,259.0,225.0,-1.7470435134642355,245.0
USM,Southern Miss Golden Eagles,80,67.3055453168208,76.6433230685353,-9.337777751714498,0.9936092496652982,-0.06690591326792661,295.0,277.0,275.0,178.0,-1.7666213141224678,246.0
MSM,Mount St. Mary's Mountaineers,137,67.85219767145657,71.54270641678525,-3.6905087453286853,0.8540708342763126,0.03100799135128396,117.0,219.5,219.0,304.0,-1.786838950990044,247.0
UTSA,UTSA Roadrunners,108,73.30829280438337,79.49121465272559,-6.182921848342218,0.919263872772984,0.04519585746675636,87.0,249.0,246.0,252.0,-1.7886690637337217,248.0
QUOC,Queens University Royals,111,73.14746355795727,79.2083220560548,-6.060858498097531,0.9135824528014542,0.02052987602806544,136.0,246.0,243.0,256.0,-1.7915414965730625,249.0
BRWN,Brown Bears,107,67.51732573487712,73.99813554741813,-6.480809812541011,0.9194084589674122,0.07989495626220167,40.0,250.0,252.0,251.0,-1.821132128166484,250.0
ODU,Old Dominion Monarchs,92,66.25470040614907,74.26984173420863,-8.015141328059556,0.9551420893670391,0.04907477563131191,82.0,265.0,263.0,217.0,-1.8269148396655697,251.0
UNCA,UNC Asheville Bulldogs,109,70.75099079086468,77.05478108230143,-6.303790291436755,0.913843574303422,-0.0004838031718774616,187.0,248.0,248.0,255.0,-1.8284420740710114,252.0
AMER,American University Eagles,113,71.18023635757514,77.1503694353144,-5.970133077739263,0.8970456142353322,-0.053189863367877566,278.0,244.5,241.0,267.0,-1.8863049357076083,253.0
M-OH,Miami (OH) RedHawks,113,68.52262667576024,74.80770197594369,-6.2850753001834505,0.9004670959736695,-0.04134372060985947,258.0,244.5,247.0,264.0,-1.8863855320910907,254.0
MORE,Morehead State Eagles,114,69.3068571485057,75.70088577195995,-6.394028623454247,0.8930325756403494,-0.019473998032830564,221.0,242.5,249.0,271.0,-1.9399923152989227,255.0
MONT,Montana Grizzlies,95,67.18076047122753,74.86316888346758,-7.682408412240051,0.9257046662383968,0.022098585044469155,134.0,262.5,262.0,243.0,-1.9873325785190603,256.0
PV,Prairie View A&M Panthers,127,73.79238186404442,78.63444394594421,-4.8420620818997975,0.8498651062487688,-0.015498844735977735,211.0,230.0,229.0,307.0,-2.0067533469255032,257.0
UTU,Utah Tech Trailblazers,93,66.42054985421031,74.48064003950029,-8.06009018528998,0.9294794620820724,0.059638324648535024,72.0,264.0,264.0,240.0,-2.009219536180093,258.0
SUU,Southern Utah Thunderbirds,96,71.44891635815385,78.65292763971377,-7.204011281559914,0.9140477755279348,0.08937967748578457,32.0,260.5,258.0,254.0,-2.024942662777056,259.0
RICE,Rice Owls,87,72.97002235415225,81.82801589561284,-8.857993541460587,0.9358808102365704,0.0932400416051703,27.0,269.0,270.0,235.0,-2.0842070735929963,260.0
TAR,Tarleton State Texans,82,67.20175157675386,76.88599320973502,-9.684241632981156,0.9507369167669736,-0.010193260521419,199.0,275.0,279.0,221.0,-2.0897029831186877,261.0
ETSU,East Tennessee State Buccaneers,99,68.02984587771749,75.11785370312222,-7.0880078254047305,0.8994475057581236,0.04102653714190929,94.0,258.0,257.0,265.0,-2.0937763894400865,262.0
HAMP,Hampton Pirates,86,71.46635041348387,80.30384414277002,-8.837493729286152,0.9338267956180132,-0.05971067582637457,286.0,271.0,269.0,237.0,-2.1073362568559437,263.0
GB,Green Bay Phoenix,91,61.09183321084964,69.7156652481096,-8.623832037259959,0.9239723537806964,0.011833359952156841,152.0,266.0,268.0,245.0,-2.1141351290688695,264.0
BU,Boston University Terriers,104,66.3665675181043,73.32922170303057,-6.962654184926265,0.8835200539372655,-0.0050941247595864825,192.0,252.5,256.0,281.0,-2.152225011543481,265.0
SHU,Sacred Heart Pioneers,104,70.60766237492713,77.08406593719299,-6.476403562265858,0.8775869602223096,-0.06681461163873481,294.0,252.5,251.0,285.0,-2.1568764572414048,266.0
USA,South Alabama Jaguars,86,67.60148661864255,77.06810277808097,-9.466616159438416,0.9311309794851708,0.05111703285919467,79.0,271.0,276.0,239.0,-2.1774640385849358,267.0
IDHO,Idaho Vandals,95,66.59409418545252,74.9701930212181,-8.376098835765575,0.9045686835992772,-0.028460925121831737,240.0,262.5,267.0,262.0,-2.198002314671056,268.0
NAU,Northern Arizona Lumberjacks,90,66.28461966379244,75.27963790770634,-8.995018243913904,0.9096996849188326,0.07166103695622239,50.0,267.0,271.0,259.0,-2.2583050482180416,269.0
W&M,William & Mary Tribe,98,75.34047766946571,82.98333489745383,-7.642857227988117,0.8672829815065666,0.049362181976775665,81.0,259.0,261.0,295.0,-2.3839918670941636,270.0
NAVY,Navy Midshipmen,103,62.81079571118896,69.68382060136501,-6.873024890176055,0.8446191018201687,0.013247333909327086,149.0,254.0,255.0,310.0,-2.4403294771267383,271.0
UPST,South Carolina Upstate Spartans,71,65.9614337100516,76.71633978767042,-10.754906077618827,0.9286368320664864,0.028147282500713522,118.0,286.0,286.0,241.0,-2.444204319432239,272.0
ULM,UL Monroe Warhawks,62,59.80712203379264,73.29848769674221,-13.491365662949576,0.9629440009528693,-0.018138497242553564,217.0,295.5,302.0,205.0,-2.4985020047138464,273.0
IDST,Idaho State Bengals,75,62.955705809197276,73.2214146804099,-10.265708871212617,0.9104988786954252,-0.052685196261848644,276.0,282.0,283.0,258.0,-2.49945960482727,274.0
