DET,GB,probability
34,35,0.000757051
42,24,0.000756128
32,24,0.000751278
27,11,0.000750556
31,11,0.000748935
41,7,0.000746504
35,34,0.000744608
30,15,0.000743587
33,9,0.000743499
37,38,0.000741993
22,13,0.000740935
44,20,0.000737513
24,26,0.000735472
34,11,0.000735189
21,20,0.000730623
33,7,0.000730496
30,48,0.000729261
40,16,0.000728706
23,21,0.000719493
25,27,0.000716285
27,54,0.000707619
31,54,0.000706091
28,38,0.000703033
38,41,0.000702785
23,6,0.000700597
26,31,0.000699913
22,10,0.000696804
38,22,0.00069585
40,24,0.000695222
38,37,0.000694588
35,21,0.000693725
34,54,0.000693131
30,33,0.000688695
45,14,0.00068457
27,42,0.00068005
31,42,0.000678581
37,41,0.000677795
35,6,0.000675506
42,27,0.000673626
37,22,0.000671106
37,37,0.000669889
32,27,0.000669306
34,42,0.000666126
20,14,0.00066386
29,31,0.00066208
24,45,0.000661158
22,17,0.000653568
30,51,0.00065253
28,41,0.000642206
36,14,0.000639442
23,30,0.00063759
26,34,0.000637322
28,22,0.000635868
28,37,0.000634715
24,12,0.000624286
38,26,0.000620323
23,19,0.000620126
40,27,0.000619366
22,20,0.000616576
35,30,0.000614755
27,18,0.000609252
31,18,0.000607936
41,28,0.000603836
29,34,0.000602873
45,23,0.000600061
37,26,0.000598265
24,25,0.000598162
35,19,0.000597917
34,18,0.000596778
23,9,0.000595003
25,14,0.000594561
26,21,0.000593771
33,28,0.000590887
23,7,0.000584597
20,23,0.000581907
39,13,0.000578752
26,6,0.000578177
35,9,0.000573694
28,26,0.000566852
24,15,0.000565759
35,7,0.000563661
29,21,0.000561675
36,23,0.000560504
42,14,0.000559151
38,45,0.000557644
32,14,0.000555565
24,48,0.000554859
30,29,0.00055109
29,6,0.000546924
39,10,0.000544281
27,44,0.000539926
31,44,0.00053876
30,35,0.000538677
37,45,0.000537815
41,38,0.000532669
34,44,0.000528872
38,12,0.000526545
26,30,0.000526179
24,33,0.000523995
30,11,0.000523121
33,38,0.000521247
25,23,0.000521163
40,14,0.000514112
26,19,0.000511767
45,31,0.000511301
39,17,0.000510509
28,45,0.000509576
37,12,0.000507821
48,16,0.000505862
38,25,0.000504511
27,40,0.00050182
31,40,0.000500736
29,30,0.000497737
24,51,0.000496478
20,31,0.000495833
30,54,0.000493195
34,40,0.000491546
26,9,0.000491034
42,23,0.000490125
32,23,0.000486982
41,41,0.000486582
37,25,0.000486571
44,16,0.000485023
51,13,0.00048497
29,19,0.000484105
48,24,0.000482617
26,7,0.000482446
41,22,0.00048178
39,20,0.000481614
28,12,0.000481157
41,37,0.000480907
21,16,0.000480492
36,31,0.000477595
38,15,0.000477181
33,41,0.000476148
30,42,0.000473979
23,28,0.000472872
33,22,0.000471449
33,37,0.000470594
38,48,0.000467988
27,36,0.000467233
31,36,0.000466224
45,34,0.000465578
29,9,0.000464492
44,24,0.000462736
28,25,0.000461023
37,15,0.000460213
21,24,0.000458413
34,36,0.000457667
29,7,0.000456369
51,10,0.000456085
35,28,0.000455937
20,34,0.000451493
37,48,0.000451346
40,23,0.000450645
25,31,0.000444074
38,33,0.000441956
28,15,0.000436049
36,34,0.000434886
45,21,0.000433762
48,27,0.000429959
41,26,0.000429488
51,17,0.000427785
28,48,0.000427648
37,33,0.00042624
30,18,0.000424635
45,6,0.00042237
20,21,0.00042064
33,26,0.000420278
24,29,0.000419298
38,51,0.000418747
42,31,0.000417627
23,38,0.00041714
32,31,0.000414948
44,27,0.000412246
24,35,0.000409853
20,6,0.000409593
21,27,0.000408395
22,16,0.000405489
36,21,0.000405168
25,34,0.000404362
28,33,0.00040386
37,51,0.000403857
51,20,0.000403573
35,38,0.000402201
24,11,0.000398018
27,32,0.000396436
31,32,0.00039558
36,6,0.000394527
26,28,0.000390244
34,32,0.000388319
22,24,0.000386856
41,45,0.000386092
45,30,0.000384385
40,31,0.000383987
28,51,0.000382652
23,41,0.000381049
42,34,0.00038028
32,34,0.000377841
33,45,0.000377812
23,22,0.000377288
25,21,0.00037673
23,37,0.000376604
30,44,0.000376317
24,54,0.000375248
45,19,0.000373857
20,30,0.000372756
29,28,0.00036915
35,41,0.000367402
25,6,0.000366836
41,12,0.00036456
35,22,0.000363776
35,37,0.000363117
20,19,0.000362547
24,42,0.000360628
36,30,0.000359046
45,9,0.000358711
48,14,0.000356892
33,12,0.000356742
42,21,0.000354293
38,29,0.000353651
45,7,0.000352437
32,21,0.000352021
30,40,0.000349758
40,34,0.000349649
41,25,0.000349305
36,19,0.000349212
20,9,0.000347859
38,35,0.000345684
42,6,0.000344989
22,27,0.000344646
26,38,0.00034425
32,6,0.000342776
44,14,0.00034219
33,25,0.000341814
20,7,0.000341775
37,29,0.000341075
21,14,0.000338993
23,26,0.000336338
38,11,0.000335702
36,9,0.000335064
25,30,0.000333845
37,35,0.000333392
41,15,0.000330382
36,7,0.000329204
40,21,0.000325755
30,36,0.000325651
29,38,0.000325642
25,19,0.000324701
35,26,0.000324292
41,48,0.000324017
37,11,0.000323765
33,15,0.000323298
28,29,0.000323166
24,18,0.000323084
40,6,0.0003172
33,48,0.000317069
39,16,0.000316732
38,54,0.000316497
28,35,0.000315887
26,41,0.000314465
42,30,0.000313963
43,13,0.000312929
48,23,0.000312834
32,30,0.000311949
25,9,0.000311546
26,22,0.000311362
26,37,0.000310798
28,11,0.000306765
25,7,0.000306098
41,33,0.000305994
42,19,0.000305363
37,54,0.000305243
38,42,0.000304166
32,19,0.000303405
23,45,0.000302353
39,24,0.000302178
44,23,0.000299947
33,33,0.000299432
29,41,0.000297467
21,23,0.000297145
27,56,0.000295484
31,56,0.000294846
29,22,0.000294532
43,10,0.000294291
29,37,0.000293998
37,42,0.00029335
42,9,0.000292992
35,45,0.000291525
32,9,0.000291113
41,51,0.000289925
34,56,0.000289434
28,54,0.000289216
40,30,0.000288673
42,7,0.000287868
24,44,0.000286321
22,14,0.000286078
32,7,0.000286022
23,12,0.000285492
45,28,0.000285081
33,51,0.000283708
40,19,0.000280766
28,42,0.000277947
26,26,0.000277567
20,28,0.000276457
30,32,0.000276307
43,17,0.00027603
35,12,0.000275267
23,25,0.000273545
38,18,0.000272501
40,9,0.000269392
39,27,0.000269207
48,31,0.000266561
36,28,0.000266288
24,40,0.000266114
51,16,0.000265408
40,7,0.00026468
35,25,0.000263748
27,70,0.000262813
37,18,0.000262811
29,26,0.000262564
31,70,0.000262246
43,20,0.000260407
23,15,0.000258727
34,70,0.000257433
44,31,0.00025558
23,48,0.000253742
51,24,0.000253212
21,31,0.000253192
45,38,0.000251482
22,23,0.000250762
26,45,0.000249521
35,15,0.000249461
28,18,0.000249011
24,36,0.000247772
25,28,0.000247598
41,29,0.000244854
35,48,0.000244655
20,38,0.000243874
48,34,0.000242723
38,44,0.000241493
23,33,0.000239627
33,29,0.000239604
41,35,0.000239339
47,13,0.000236043
29,45,0.000236034
26,12,0.000235606
36,38,0.000234904
33,35,0.000234206
37,44,0.000232906
42,28,0.000232852
44,34,0.000232724
41,11,0.000232427
32,28,0.000231359
35,33,0.000231046
21,34,0.00023055
19,13,0.000229945
45,41,0.000229724
45,22,0.000227457
33,11,0.000227443
45,37,0.000227044
23,51,0.000227044
27,47,0.000226379
48,21,0.000226137
31,47,0.00022589
26,25,0.000225746
51,27,0.000225584
38,40,0.00022445
39,14,0.000223458
29,12,0.00022287
20,41,0.000222774
47,10,0.000221984
34,47,0.000221744
28,44,0.000220677
20,22,0.000220576
48,6,0.000220198
20,37,0.000220176
41,54,0.000219131
35,51,0.000218913
25,38,0.000218417
44,21,0.000216821
37,40,0.000216468
19,10,0.000216249
21,21,0.000214795
36,41,0.00021458
33,54,0.000214432
40,28,0.000214096
22,31,0.00021367
29,25,0.000213544
26,15,0.000213517
36,22,0.000212462
36,37,0.000212077
44,6,0.000211127
41,42,0.000210593
24,32,0.000210229
26,48,0.000209404
21,6,0.000209154
38,36,0.00020898
47,17,0.00020821
33,42,0.000206077
30,56,0.000205946
42,38,0.000205409
54,13,0.0002052
28,40,0.000205102
32,38,0.000204091
19,17,0.000202831
45,26,0.000202769
29,15,0.000201976
37,36,0.000201548
48,30,0.000200394
25,41,0.000199519
27,39,0.000198803
31,39,0.000198373
29,48,0.000198085
26,33,0.000197756
25,22,0.00019755
25,37,0.000197192
20,26,0.000196634
47,20,0.000196426
39,23,0.000195873
17,13,0.000195758
48,19,0.000194906
34,39,0.000194732
22,34,0.000194562
54,10,0.000192979
44,30,0.000192139
23,29,0.000191749
19,20,0.000191351
28,36,0.000190966
21,30,0.000190344
36,26,0.000189402
40,38,0.000188863
41,18,0.000188669
42,41,0.000187636
23,35,0.000187429
26,51,0.000187371
51,14,0.000187249
29,33,0.000187066
27,49,0.000187058
48,9,0.00018701
44,19,0.000186877
31,49,0.000186654
32,41,0.000186433
42,22,0.000185785
42,37,0.000185448
21,19,0.000185131
35,29,0.000184881
33,18,0.000184623
32,22,0.000184593
32,37,0.000184259
17,10,0.000184099
48,7,0.000183739
34,49,0.000183228
30,70,0.000183175
45,45,0.00018228
23,11,0.000182017
22,21,0.000181267
54,17,0.000181005
35,35,0.000180717
44,9,0.000179306
21,9,0.00017763
38,32,0.000177314
29,51,0.000177243
20,45,0.000176766
22,6,0.000176506
44,7,0.00017617
25,26,0.000176108
35,11,0.000175498
21,7,0.000174524
17,17,0.000172676
40,41,0.000172522
45,12,0.000172115
23,54,0.000171604
43,16,0.000171256
37,32,0.000171009
40,22,0.00017082
54,20,0.00017076
40,37,0.00017051
36,45,0.000170264
41,44,0.000167201
20,12,0.000166908
39,31,0.0001669
27,43,0.000166596
31,43,0.000166236
42,26,0.00016562
35,54,0.000165459
23,42,0.000164918
45,25,0.000164913
32,26,0.000164558
51,23,0.000164133
33,44,0.000163615
43,24,0.000163386
34,43,0.000163185
17,20,0.000162902
28,32,0.00016203
36,12,0.000160769
22,30,0.000160632
20,25,0.000159924
35,42,0.000159012
25,45,0.000158314
26,29,0.000158243
30,47,0.000157781
24,56,0.000156694
22,19,0.000156233
45,15,0.000155979
41,40,0.0001554
26,35,0.000154679
36,25,0.000154041
45,48,0.000152974
40,26,0.000152279
33,40,0.000152068
39,34,0.000151975
20,15,0.00015126
26,11,0.000150212
22,9,0.000149903
29,29,0.000149689
25,12,0.000149485
42,45,0.000148885
48,28,0.000148624
20,48,0.000148346
32,45,0.00014793
23,18,0.000147749
22,7,0.000147281
29,35,0.000146318
36,15,0.000145697
43,27,0.000145559
41,36,0.00014469
45,33,0.000144465
25,25,0.000143229
36,48,0.00014289
44,28,0.000142501
35,18,0.000142458
29,11,0.000142092
26,54,0.000141619
39,21,0.000141589
33,36,0.000141587
21,28,0.00014117
42,12,0.000140582
20,33,0.000140094
51,31,0.000139855
32,12,0.00013968
24,70,0.000139369
49,13,0.000139118
30,39,0.000138561
39,6,0.000137871
40,45,0.000136893
45,51,0.000136878
26,42,0.000136101
25,15,0.00013547
36,33,0.000134941
42,25,0.000134699
29,54,0.000133964
32,25,0.000133835
25,48,0.00013286
20,51,0.000132738
38,56,0.000132161
48,38,0.000131107
23,44,0.000130937
49,10,0.000130832
30,49,0.000130375
40,12,0.000129258
47,16,0.000129179
29,42,0.000128744
36,51,0.000127855
37,56,0.000127462
42,15,0.000127402
51,34,0.000127348
32,15,0.000126585
35,44,0.000126248
19,16,0.000125841
44,38,0.000125706
39,30,0.000125472
25,33,0.00012547
42,48,0.000124948
21,38,0.000124532
32,48,0.000124147
40,25,0.000123849
47,24,0.000123243
41,32,0.000122766
49,17,0.000122714
39,19,0.000122035
26,18,0.000121932
23,40,0.000121696
43,14,0.000120823
