CAL,STAN,probability
38,10,0.010798217980411931
45,10,0.009561356350592408
31,10,0.00832291447953382
38,7,0.007965854294163466
34,10,0.007551069371663327
38,17,0.007530246603122984
41,10,0.0073282081181659684
45,7,0.007053420451555669
45,17,0.006667708626636764
31,7,0.006139820863684823
31,17,0.005804068652928023
35,10,0.005793543727622479
52,10,0.0057821399300674115
34,7,0.005570430092160069
42,10,0.005421710618745328
41,7,0.005406025161976684
38,14,0.0053180472294042805
34,17,0.005265814654701444
48,10,0.005128121058422964
41,17,0.00511040010387829
38,13,0.005024588066853296
45,14,0.004708901481879072
38,24,0.004681946124104734
27,10,0.004511212927950599
45,13,0.0044490560488098145
35,7,0.004273901977606197
52,7,0.0042654893867612445
49,10,0.004260956583372154
45,24,0.0041456613848734865
31,14,0.004098977476537763
35,17,0.00404018635798176
52,17,0.0040322338043328595
38,20,0.004030387302175677
42,7,0.003999600387062809
31,13,0.003872788718579917
48,7,0.0037830191267050456
42,17,0.003780884775986468
34,14,0.0037188491308342503
59,10,0.0036450069866969825
41,14,0.003609091513989217
31,24,0.0036086914766302954
24,10,0.0036001821502034638
48,17,0.0035761471245202474
45,20,0.00356873414640351
28,10,0.0035207146586818143
34,13,0.0035136365209209827
41,13,0.003409935521652575
27,7,0.003327925490964218
34,24,0.0032740309597043727
41,24,0.0031774016469864903
27,17,0.0031459399956814513
49,7,0.0031433111795363426
31,20,0.0031064911725487807
38,21,0.0030879891998717448
49,17,0.0029714212008126787
37,10,0.002895498506236532
38,27,0.002878740556853303
35,14,0.0028532799786969956
52,14,0.002847663687740245
34,20,0.002818403385503665
38,31,0.0028100087482388295
41,20,0.0027352214041922963
45,21,0.002734281267549309
38,6,0.002726874861149727
35,13,0.002695830990947839
52,13,0.002690524616764993
59,7,0.002688924654966851
56,10,0.002677660672902777
42,14,0.002670154759512499
55,10,0.0026583500876384545
24,7,0.0026558573361819553
28,7,0.002597234102262021
45,27,0.0025490006179637466
59,17,0.002541882515219184
48,14,0.0025255639436309687
42,13,0.0025228109421662516
35,24,0.0025119940762057657
24,17,0.0025106234617945197
52,24,0.0025070495598179805
45,31,0.002488141565481586
30,10,0.0024855695637722532
28,17,0.002455206002249331
45,6,0.002414530093596991
48,13,0.002386198900806795
31,21,0.002380121430302535
42,24,0.002350772790797451
48,24,0.002223476740048856
27,14,0.002221740981360079
31,27,0.0022188393961779973
31,31,0.002165863158232102
35,20,0.0021624146796042367
34,21,0.002159395254798251
52,20,0.0021581582623929987
44,10,0.002148836840262041
37,7,0.0021360116318719
38,38,0.0021082631129145948
31,6,0.002101786267596169
27,13,0.0020991414218469217
49,14,0.0020984914727522276
41,21,0.0020956631514902685
42,20,0.0020236296093949203
37,17,0.0020192051901978315
34,27,0.002013070090569774
49,13,0.0019826930370389676
56,7,0.001975312482878914
34,31,0.0019650067290198176
55,7,0.001961067048231303
27,24,0.001955994583675161
41,27,0.0019536566086269377
48,20,0.0019140485990725617
41,31,0.0019070117827141345
